,boxScorelink,date,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,oppLink,confLink,srs,game_location,overtimes
0,/cbb/boxscores/2011-11-11-nevada-las-vegas.html,"Fri, Nov 11, 2011",REG,Grand Canyon,,W,83,66,1,0,W 1,Thomas & Mack Center,/cbb/schools/nevada-las-vegas/men/2012.html,,,,,
1,/cbb/boxscores/2011-11-14-nevada-las-vegas.html,"Mon, Nov 14, 2011",REG,Nevada,WAC,W,71,67,2,0,W 2,Thomas & Mack Center,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/nevada/men/2012.html,/cbb/conferences/wac/men/2012.html,4.54,,
2,/cbb/boxscores/2011-11-17-nevada-las-vegas.html,"Thu, Nov 17, 2011",REG,Canisius,MAAC,W,95,70,3,0,W 3,Thomas & Mack Center,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/canisius/men/2012.html,/cbb/conferences/maac/men/2012.html,-14.73,,
3,/cbb/boxscores/2011-11-20-nevada-las-vegas.html,"Sun, Nov 20, 2011",REG,Morgan State,MEAC,W,92,55,4,0,W 4,Thomas & Mack Center,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/morgan-state/men/2012.html,/cbb/conferences/meac/men/2012.html,-8.41,,
4,/cbb/boxscores/2011-11-22-nevada-las-vegas.html,"Tue, Nov 22, 2011",REG,Cal Poly,Big West,W,75,52,5,0,W 5,Thomas & Mack Center,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/cal-poly/men/2012.html,/cbb/conferences/big-west/men/2012.html,-0.58,,
5,/cbb/boxscores/2011-11-25-nevada-las-vegas.html,"Fri, Nov 25, 2011",REG,Southern California,Pac-12,W,66,55,6,0,W 6,Orleans Arena,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/southern-california/men/2012.html,/cbb/conferences/pac-12/men/2012.html,-0.51,N,
6,/cbb/boxscores/2011-11-26-nevada-las-vegas.html,"Sat, Nov 26, 2011",REG,North Carolina,ACC,W,90,80,7,0,W 7,Orleans Arena,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/north-carolina/men/2012.html,/cbb/conferences/acc/men/2012.html,21.34,N,
7,/cbb/boxscores/2011-11-30-california-santa-barbara.html,"Wed, Nov 30, 2011",REG,UC Santa Barbara,Big West,W,94,88,8,0,W 8,The Thunderdome,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/california-santa-barbara/men/2012.html,/cbb/conferences/big-west/men/2012.html,4.00,@,2OT
8,/cbb/boxscores/2011-12-04-wichita-state.html,"Sun, Dec 4, 2011",REG,Wichita State,MVC,L,70,89,8,1,L 1,Charles Koch Arena,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/wichita-state/men/2012.html,/cbb/conferences/mvc/men/2012.html,17.42,@,
9,/cbb/boxscores/2011-12-07-cal-state-san-marcos.html,"Wed, Dec 7, 2011",REG,Cal State San Marcos,,W,94,50,9,1,W 1,,/cbb/schools/nevada-las-vegas/men/2012.html,,,,N,
10,/cbb/boxscores/2011-12-10-wisconsin.html,"Sat, Dec 10, 2011",REG,Wisconsin,Big Ten,L,51,62,9,2,L 1,Kohl Center,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/wisconsin/men/2012.html,/cbb/conferences/big-ten/men/2012.html,19.04,@,
11,/cbb/boxscores/2011-12-14-nevada-las-vegas.html,"Wed, Dec 14, 2011",REG,UTEP,CUSA,W,65,54,10,2,W 1,Thomas & Mack Center,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/texas-el-paso/men/2012.html,/cbb/conferences/cusa/men/2012.html,2.92,,
12,/cbb/boxscores/2011-12-17-illinois.html,"Sat, Dec 17, 2011",REG,Illinois,Big Ten,W,64,48,11,2,W 2,United Center,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/illinois/men/2012.html,/cbb/conferences/big-ten/men/2012.html,9.33,N,
13,/cbb/boxscores/2011-12-19-nevada-las-vegas.html,"Mon, Dec 19, 2011",REG,Louisiana-Monroe,Sun Belt,W,81,63,12,2,W 3,Thomas & Mack Center,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/louisiana-monroe/men/2012.html,/cbb/conferences/sun-belt/men/2012.html,-12.56,,
14,/cbb/boxscores/2011-12-23-nevada-las-vegas.html,"Fri, Dec 23, 2011",REG,California,Pac-12,W,85,68,13,2,W 4,Thomas & Mack Center,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/california/men/2012.html,/cbb/conferences/pac-12/men/2012.html,13.79,,
15,/cbb/boxscores/2011-12-28-nevada-las-vegas.html,"Wed, Dec 28, 2011",REG,Central Arkansas,Southland,W,124,75,14,2,W 5,Thomas & Mack Center,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/central-arkansas/men/2012.html,/cbb/conferences/southland/men/2012.html,-17.26,,
16,/cbb/boxscores/2011-12-31-hawaii.html,"Sat, Dec 31, 2011",REG,Hawaii,WAC,W,74,69,15,2,W 6,Stan Sheriff Center,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/hawaii/men/2012.html,/cbb/conferences/wac/men/2012.html,-2.79,@,
17,/cbb/boxscores/2012-01-05-cal-state-bakersfield.html,"Thu, Jan 5, 2012",REG,Cal State Bakersfield,Ind,W,89,57,16,2,W 7,Rabobank Arena,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/cal-state-bakersfield/men/2012.html,/cbb/conferences/independent/men/2012.html,-7.15,@,
18,/cbb/boxscores/2012-01-14-san-diego-state.html,"Sat, Jan 14, 2012",REG,San Diego State,MWC,L,67,69,16,3,L 1,Viejas Arena,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/san-diego-state/men/2012.html,/cbb/conferences/mwc/men/2012.html,9.04,@,
19,/cbb/boxscores/2012-01-18-nevada-las-vegas.html,"Wed, Jan 18, 2012",REG,TCU,MWC,W,101,78,17,3,W 1,Thomas & Mack Center,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/texas-christian/men/2012.html,/cbb/conferences/mwc/men/2012.html,1.72,,
20,/cbb/boxscores/2012-01-21-nevada-las-vegas.html,"Sat, Jan 21, 2012",REG,New Mexico,MWC,W,80,63,18,3,W 2,Thomas & Mack Center,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/new-mexico/men/2012.html,/cbb/conferences/mwc/men/2012.html,15.60,,
21,/cbb/boxscores/2012-01-25-boise-state.html,"Wed, Jan 25, 2012",REG,Boise State,MWC,W,77,72,19,3,W 3,Taco Bell Arena,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/boise-state/men/2012.html,/cbb/conferences/mwc/men/2012.html,3.52,@,OT
22,/cbb/boxscores/2012-01-28-air-force.html,"Sat, Jan 28, 2012",REG,Air Force,MWC,W,65,63,20,3,W 4,Clune Arena,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/air-force/men/2012.html,/cbb/conferences/mwc/men/2012.html,-0.45,@,OT
23,/cbb/boxscores/2012-02-01-nevada-las-vegas.html,"Wed, Feb 1, 2012",REG,Colorado State,MWC,W,82,63,21,3,W 5,Thomas & Mack Center,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/colorado-state/men/2012.html,/cbb/conferences/mwc/men/2012.html,6.58,,
24,/cbb/boxscores/2012-02-04-wyoming.html,"Sat, Feb 4, 2012",REG,Wyoming,MWC,L,66,68,21,4,L 1,Arena-Auditorium,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/wyoming/men/2012.html,/cbb/conferences/mwc/men/2012.html,6.79,@,
25,/cbb/boxscores/2012-02-11-nevada-las-vegas.html,"Sat, Feb 11, 2012",REG,San Diego State,MWC,W,65,63,22,4,W 1,Thomas & Mack Center,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/san-diego-state/men/2012.html,/cbb/conferences/mwc/men/2012.html,9.04,,
26,/cbb/boxscores/2012-02-14-texas-christian.html,"Tue, Feb 14, 2012",REG,TCU,MWC,L,97,102,22,5,L 1,Daniel-Meyer Coliseum,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/texas-christian/men/2012.html,/cbb/conferences/mwc/men/2012.html,1.72,@,OT
27,/cbb/boxscores/2012-02-18-new-mexico.html,"Sat, Feb 18, 2012",REG,New Mexico,MWC,L,45,65,22,6,L 2,University Arena,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/new-mexico/men/2012.html,/cbb/conferences/mwc/men/2012.html,15.60,@,
28,/cbb/boxscores/2012-02-22-nevada-las-vegas.html,"Wed, Feb 22, 2012",REG,Boise State,MWC,W,75,58,23,6,W 1,Thomas & Mack Center,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/boise-state/men/2012.html,/cbb/conferences/mwc/men/2012.html,3.52,,
29,/cbb/boxscores/2012-02-25-nevada-las-vegas.html,"Sat, Feb 25, 2012",REG,Air Force,MWC,W,68,58,24,6,W 2,Thomas & Mack Center,/cbb/schools/nevada-las-vegas/men/2012.html,/cbb/schools/air-force/men/2012.html,/cbb/conferences/mwc/men/2012.html,-0.45,,
