,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2011-11-11-purdue.html,"Fri, Nov 11, 2011",REG,/cbb/schools/northern-illinois/men/2012.html,Northern Illinois,/cbb/conferences/mac/men/2012.html,MAC,-15.62,W,96,34,1,0,W 1,Mackey Arena,/cbb/schools/purdue/men/2012.html,
1,/cbb/boxscores/2011-11-14-purdue.html,"Mon, Nov 14, 2011",REG,/cbb/schools/high-point/men/2012.html,High Point,/cbb/conferences/big-south/men/2012.html,Big South,-5.92,W,67,65,2,0,W 2,Mackey Arena,/cbb/schools/purdue/men/2012.html,
2,/cbb/boxscores/2011-11-17-iona.html,"Thu, Nov 17, 2011",REG,/cbb/schools/iona/men/2012.html,Iona,/cbb/conferences/maac/men/2012.html,MAAC,8.36,W,91,90,3,0,W 3,José Miguel Agrelot Coliseum,/cbb/schools/purdue/men/2012.html,N
3,/cbb/boxscores/2011-11-18-purdue.html,"Fri, Nov 18, 2011",REG,/cbb/schools/temple/men/2012.html,Temple,/cbb/conferences/atlantic-10/men/2012.html,A-10,10.44,W,85,77,4,0,W 4,José Miguel Agrelot Coliseum,/cbb/schools/purdue/men/2012.html,N
4,/cbb/boxscores/2011-11-20-alabama.html,"Sun, Nov 20, 2011",REG,/cbb/schools/alabama/men/2012.html,Alabama,/cbb/conferences/sec/men/2012.html,SEC,13.76,L,56,65,4,1,L 1,José Miguel Agrelot Coliseum,/cbb/schools/purdue/men/2012.html,N
5,/cbb/boxscores/2011-11-23-purdue.html,"Wed, Nov 23, 2011",REG,/cbb/schools/western-michigan/men/2012.html,Western Michigan,/cbb/conferences/mac/men/2012.html,MAC,-1.80,W,80,37,5,1,W 1,Mackey Arena,/cbb/schools/purdue/men/2012.html,
6,/cbb/boxscores/2011-11-26-purdue.html,"Sat, Nov 26, 2011",REG,/cbb/schools/coppin-state/men/2012.html,Coppin State,/cbb/conferences/meac/men/2012.html,MEAC,-9.07,W,78,57,6,1,W 2,Mackey Arena,/cbb/schools/purdue/men/2012.html,
7,/cbb/boxscores/2011-11-29-purdue.html,"Tue, Nov 29, 2011",REG,/cbb/schools/miami-fl/men/2012.html,Miami (FL),/cbb/conferences/acc/men/2012.html,ACC,10.75,W,76,65,7,1,W 3,Mackey Arena,/cbb/schools/purdue/men/2012.html,
8,/cbb/boxscores/2011-12-03-xavier.html,"Sat, Dec 3, 2011",REG,/cbb/schools/xavier/men/2012.html,Xavier,/cbb/conferences/atlantic-10/men/2012.html,A-10,9.59,L,63,66,7,2,L 1,Cintas Center,/cbb/schools/purdue/men/2012.html,@
9,/cbb/boxscores/2011-12-07-purdue.html,"Wed, Dec 7, 2011",REG,/cbb/schools/western-carolina/men/2012.html,Western Carolina,/cbb/conferences/southern/men/2012.html,Southern,-6.57,W,65,60,8,2,W 1,Mackey Arena,/cbb/schools/purdue/men/2012.html,
10,/cbb/boxscores/2011-12-10-purdue.html,"Sat, Dec 10, 2011",REG,/cbb/schools/eastern-michigan/men/2012.html,Eastern Michigan,/cbb/conferences/mac/men/2012.html,MAC,-7.90,W,61,36,9,2,W 2,Mackey Arena,/cbb/schools/purdue/men/2012.html,
11,/cbb/boxscores/2011-12-17-butler.html,"Sat, Dec 17, 2011",REG,/cbb/schools/butler/men/2012.html,Butler,/cbb/conferences/horizon/men/2012.html,Horizon,2.86,L,65,67,9,3,L 1,,/cbb/schools/purdue/men/2012.html,N
12,/cbb/boxscores/2011-12-20-purdue.html,"Tue, Dec 20, 2011",REG,/cbb/schools/ipfw/men/2012.html,Purdue Fort Wayne,/cbb/conferences/summit/men/2012.html,Summit,-8.79,W,81,56,10,3,W 1,Mackey Arena,/cbb/schools/purdue/men/2012.html,
