,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2011-11-11-saint-louis.html,"Fri, Nov 11, 2011",REG,/cbb/schools/tennessee-state/men/2012.html,Tennessee State,/cbb/conferences/ovc/men/2012.html,OVC,-3.06,W,71,37,1,0,W 1,Chaifetz Arena,/cbb/schools/saint-louis/men/2012.html,,
1,/cbb/boxscores/2011-11-15-southern-illinois.html,"Tue, Nov 15, 2011",REG,/cbb/schools/southern-illinois/men/2012.html,Southern Illinois,/cbb/conferences/mvc/men/2012.html,MVC,-3.51,W,61,42,2,0,W 2,SIU Arena,/cbb/schools/saint-louis/men/2012.html,@,
2,/cbb/boxscores/2011-11-20-saint-louis.html,"Sun, Nov 20, 2011",REG,/cbb/schools/washington/men/2012.html,Washington,/cbb/conferences/pac-12/men/2012.html,Pac-12,10.79,W,77,64,3,0,W 3,Chaifetz Arena,/cbb/schools/saint-louis/men/2012.html,,
3,/cbb/boxscores/2011-11-24-boston-college.html,"Thu, Nov 24, 2011",REG,/cbb/schools/boston-college/men/2012.html,Boston College,/cbb/conferences/acc/men/2012.html,ACC,-4.54,W,62,51,4,0,W 4,Anaheim Convention Center,/cbb/schools/saint-louis/men/2012.html,N,
4,/cbb/boxscores/2011-11-25-saint-louis.html,"Fri, Nov 25, 2011",REG,/cbb/schools/villanova/men/2012.html,Villanova,/cbb/conferences/big-east/men/2012.html,Big East,7.89,W,80,68,5,0,W 5,Anaheim Convention Center,/cbb/schools/saint-louis/men/2012.html,N,
5,/cbb/boxscores/2011-11-27-oklahoma.html,"Sun, Nov 27, 2011",REG,/cbb/schools/oklahoma/men/2012.html,Oklahoma,/cbb/conferences/big-12/men/2012.html,Big 12,7.28,W,83,63,6,0,W 6,Anaheim Convention Center,/cbb/schools/saint-louis/men/2012.html,N,
6,/cbb/boxscores/2011-11-29-loyola-marymount.html,"Tue, Nov 29, 2011",REG,/cbb/schools/loyola-marymount/men/2012.html,Loyola Marymount,/cbb/conferences/wcc/men/2012.html,WCC,2.20,L,68,75,6,1,L 1,Gersten Pavilion,/cbb/schools/saint-louis/men/2012.html,@,
7,/cbb/boxscores/2011-12-03-saint-louis.html,"Sat, Dec 3, 2011",REG,/cbb/schools/portland/men/2012.html,Portland,/cbb/conferences/wcc/men/2012.html,WCC,-7.88,W,73,53,7,1,W 1,Chaifetz Arena,/cbb/schools/saint-louis/men/2012.html,,
8,/cbb/boxscores/2011-12-07-saint-louis.html,"Wed, Dec 7, 2011",REG,/cbb/schools/vermont/men/2012.html,Vermont,/cbb/conferences/america-east/men/2012.html,AEC,0.98,W,62,43,8,1,W 2,Chaifetz Arena,/cbb/schools/saint-louis/men/2012.html,,
9,/cbb/boxscores/2011-12-10-saint-louis.html,"Sat, Dec 10, 2011",REG,,Illinois-Springfield,,,,W,72,62,9,1,W 3,Chaifetz Arena,/cbb/schools/saint-louis/men/2012.html,,
10,/cbb/boxscores/2011-12-17-saint-louis.html,"Sat, Dec 17, 2011",REG,/cbb/schools/alabama-state/men/2012.html,Alabama State,/cbb/conferences/swac/men/2012.html,SWAC,-15.79,W,65,35,10,1,W 4,Chaifetz Arena,/cbb/schools/saint-louis/men/2012.html,,
11,/cbb/boxscores/2011-12-22-saint-louis.html,"Thu, Dec 22, 2011",REG,/cbb/schools/arkansas-state/men/2012.html,Arkansas State,/cbb/conferences/sun-belt/men/2012.html,Sun Belt,-3.18,W,70,46,11,1,W 5,Chaifetz Arena,/cbb/schools/saint-louis/men/2012.html,,
12,/cbb/boxscores/2011-12-27-saint-louis.html,"Tue, Dec 27, 2011",REG,/cbb/schools/texas-southern/men/2012.html,Texas Southern,/cbb/conferences/swac/men/2012.html,SWAC,-10.26,W,71,39,12,1,W 6,Chaifetz Arena,/cbb/schools/saint-louis/men/2012.html,,
13,/cbb/boxscores/2011-12-31-new-mexico.html,"Sat, Dec 31, 2011",REG,/cbb/schools/new-mexico/men/2012.html,New Mexico,/cbb/conferences/mwc/men/2012.html,MWC,15.60,L,60,64,12,2,L 1,University Arena,/cbb/schools/saint-louis/men/2012.html,@,
14,/cbb/boxscores/2012-01-04-dayton.html,"Wed, Jan 4, 2012",REG,/cbb/schools/dayton/men/2012.html,Dayton,/cbb/conferences/atlantic-10/men/2012.html,A-10,8.48,L,72,79,12,3,L 2,University of Dayton Arena,/cbb/schools/saint-louis/men/2012.html,@,OT
15,/cbb/boxscores/2012-01-07-saint-louis.html,"Sat, Jan 7, 2012",REG,/cbb/schools/george-washington/men/2012.html,George Washington,/cbb/conferences/atlantic-10/men/2012.html,A-10,-0.63,W,78,56,13,3,W 1,Chaifetz Arena,/cbb/schools/saint-louis/men/2012.html,,
16,/cbb/boxscores/2012-01-11-saint-louis.html,"Wed, Jan 11, 2012",REG,/cbb/schools/temple/men/2012.html,Temple,/cbb/conferences/atlantic-10/men/2012.html,A-10,10.44,L,67,72,13,4,L 1,Chaifetz Arena,/cbb/schools/saint-louis/men/2012.html,,
17,/cbb/boxscores/2012-01-14-charlotte.html,"Sat, Jan 14, 2012",REG,/cbb/schools/charlotte/men/2012.html,Charlotte,/cbb/conferences/atlantic-10/men/2012.html,A-10,0.99,W,68,67,14,4,W 1,Dale F. Halton Arena,/cbb/schools/saint-louis/men/2012.html,@,
18,/cbb/boxscores/2012-01-21-saint-louis.html,"Sat, Jan 21, 2012",REG,/cbb/schools/duquesne/men/2012.html,Duquesne,/cbb/conferences/atlantic-10/men/2012.html,A-10,4.09,W,68,41,15,4,W 2,Chaifetz Arena,/cbb/schools/saint-louis/men/2012.html,,
19,/cbb/boxscores/2012-01-25-xavier.html,"Wed, Jan 25, 2012",REG,/cbb/schools/xavier/men/2012.html,Xavier,/cbb/conferences/atlantic-10/men/2012.html,A-10,9.59,W,73,68,16,4,W 3,Cintas Center,/cbb/schools/saint-louis/men/2012.html,@,
20,/cbb/boxscores/2012-01-28-massachusetts.html,"Sat, Jan 28, 2012",REG,/cbb/schools/massachusetts/men/2012.html,Massachusetts,/cbb/conferences/atlantic-10/men/2012.html,A-10,7.49,L,59,72,16,5,L 1,Mullins Center,/cbb/schools/saint-louis/men/2012.html,@,
21,/cbb/boxscores/2012-02-01-saint-louis.html,"Wed, Feb 1, 2012",REG,/cbb/schools/st-bonaventure/men/2012.html,St. Bonaventure,/cbb/conferences/atlantic-10/men/2012.html,A-10,8.25,W,86,62,17,5,W 1,Chaifetz Arena,/cbb/schools/saint-louis/men/2012.html,,
22,/cbb/boxscores/2012-02-04-saint-louis.html,"Sat, Feb 4, 2012",REG,/cbb/schools/dayton/men/2012.html,Dayton,/cbb/conferences/atlantic-10/men/2012.html,A-10,8.48,W,58,50,18,5,W 2,Chaifetz Arena,/cbb/schools/saint-louis/men/2012.html,,
23,/cbb/boxscores/2012-02-08-saint-josephs.html,"Wed, Feb 8, 2012",REG,/cbb/schools/saint-josephs/men/2012.html,Saint Joseph's,/cbb/conferences/atlantic-10/men/2012.html,A-10,8.25,W,72,60,19,5,W 3,Hagan Arena,/cbb/schools/saint-louis/men/2012.html,@,
24,/cbb/boxscores/2012-02-11-la-salle.html,"Sat, Feb 11, 2012",REG,/cbb/schools/la-salle/men/2012.html,La Salle,/cbb/conferences/atlantic-10/men/2012.html,A-10,8.56,W,59,51,20,5,W 4,Tom Gola Arena,/cbb/schools/saint-louis/men/2012.html,@,
25,/cbb/boxscores/2012-02-15-saint-louis.html,"Wed, Feb 15, 2012",REG,/cbb/schools/richmond/men/2012.html,Richmond,/cbb/conferences/atlantic-10/men/2012.html,A-10,4.71,W,64,50,21,5,W 5,Chaifetz Arena,/cbb/schools/saint-louis/men/2012.html,,
26,/cbb/boxscores/2012-02-18-saint-louis.html,"Sat, Feb 18, 2012",REG,/cbb/schools/fordham/men/2012.html,Fordham,/cbb/conferences/atlantic-10/men/2012.html,A-10,-7.63,W,66,46,22,5,W 6,Chaifetz Arena,/cbb/schools/saint-louis/men/2012.html,,
27,/cbb/boxscores/2012-02-25-rhode-island.html,"Sat, Feb 25, 2012",REG,/cbb/schools/rhode-island/men/2012.html,Rhode Island,/cbb/conferences/atlantic-10/men/2012.html,A-10,-3.78,L,62,64,22,6,L 1,Thomas M. Ryan Center,/cbb/schools/saint-louis/men/2012.html,@,
