,boxScorelink,date,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,oppLink,confLink,srs,game_location,overtimes
0,/cbb/boxscores/2011-11-11-saint-marys-ca.html,"Fri, Nov 11, 2011",REG,Fresno Pacific,,W,98,58,1,0,W 1,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2012.html,,,,,
1,/cbb/boxscores/2011-11-15-saint-marys-ca.html,"Tue, Nov 15, 2011",REG,Northern Iowa,MVC,W,57,41,2,0,W 2,,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/northern-iowa/men/2012.html,/cbb/conferences/mvc/men/2012.html,6.99,,
2,/cbb/boxscores/2011-11-23-denver.html,"Wed, Nov 23, 2011",REG,Denver,Sun Belt,L,58,70,2,1,L 1,Magness Arena,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/denver/men/2012.html,/cbb/conferences/sun-belt/men/2012.html,6.14,@,
3,/cbb/boxscores/2011-11-27-saint-marys-ca.html,"Sun, Nov 27, 2011",REG,San Francisco State,,W,86,52,3,1,W 1,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2012.html,,,,,
4,/cbb/boxscores/2011-11-28-saint-marys-ca.html,"Mon, Nov 28, 2011",REG,Weber State,Big Sky,W,87,70,4,1,W 2,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/weber-state/men/2012.html,/cbb/conferences/big-sky/men/2012.html,1.51,,
5,/cbb/boxscores/2011-12-03-cal-poly.html,"Sat, Dec 3, 2011",REG,Cal Poly,Big West,W,59,54,5,1,W 3,Mott Gymn,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/cal-poly/men/2012.html,/cbb/conferences/big-west/men/2012.html,-0.58,@,
6,/cbb/boxscores/2011-12-13-saint-marys-ca.html,"Tue, Dec 13, 2011",REG,Jackson State,SWAC,W,77,53,6,1,W 4,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/jackson-state/men/2012.html,/cbb/conferences/swac/men/2012.html,-17.50,,
7,/cbb/boxscores/2011-12-15-saint-marys-ca.html,"Thu, Dec 15, 2011",REG,North Carolina A&T,MEAC,W,84,45,7,1,W 5,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/north-carolina-at/men/2012.html,/cbb/conferences/meac/men/2012.html,-12.34,,
8,/cbb/boxscores/2011-12-17-saint-marys-ca.html,"Sat, Dec 17, 2011",REG,Bethune-Cookman,MEAC,W,77,52,8,1,W 6,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/bethune-cookman/men/2012.html,/cbb/conferences/meac/men/2012.html,-9.11,,
9,/cbb/boxscores/2011-12-19-saint-marys-ca.html,"Mon, Dec 19, 2011",REG,Kennesaw State,A-Sun,W,74,51,9,1,W 7,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/kennesaw-state/men/2012.html,/cbb/conferences/atlantic-sun/men/2012.html,-15.02,,
10,/cbb/boxscores/2011-12-20-saint-marys-ca.html,"Tue, Dec 20, 2011",REG,Eastern Washington,Big Sky,W,77,61,10,1,W 8,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/eastern-washington/men/2012.html,/cbb/conferences/big-sky/men/2012.html,-3.87,,
11,/cbb/boxscores/2011-12-22-baylor.html,"Thu, Dec 22, 2011",REG,Baylor,Big 12,L,59,72,10,2,L 1,Orleans Arena,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/baylor/men/2012.html,/cbb/conferences/big-12/men/2012.html,16.54,N,
12,/cbb/boxscores/2011-12-23-missouri-state.html,"Fri, Dec 23, 2011",REG,Missouri State,MVC,W,77,61,11,2,W 1,Orleans Arena,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/missouri-state/men/2012.html,/cbb/conferences/mvc/men/2012.html,6.15,N,
13,/cbb/boxscores/2011-12-29-saint-marys-ca.html,"Thu, Dec 29, 2011",REG,Brigham Young,WCC,W,98,82,12,2,W 2,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/brigham-young/men/2012.html,/cbb/conferences/wcc/men/2012.html,11.25,,
14,/cbb/boxscores/2011-12-31-pepperdine.html,"Sat, Dec 31, 2011",REG,Pepperdine,WCC,W,74,45,13,2,W 3,Firestone Fieldhouse,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/pepperdine/men/2012.html,/cbb/conferences/wcc/men/2012.html,-7.40,@,
15,/cbb/boxscores/2012-01-05-san-diego.html,"Thu, Jan 5, 2012",REG,San Diego,WCC,W,78,72,14,2,W 4,Jenny Craig Pavilion,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/san-diego/men/2012.html,/cbb/conferences/wcc/men/2012.html,-3.76,@,
16,/cbb/boxscores/2012-01-09-saint-marys-ca.html,"Mon, Jan 9, 2012",REG,San Francisco,WCC,W,87,72,15,2,W 5,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/san-francisco/men/2012.html,/cbb/conferences/wcc/men/2012.html,1.90,,
17,/cbb/boxscores/2012-01-12-saint-marys-ca.html,"Thu, Jan 12, 2012",REG,Gonzaga,WCC,W,83,62,16,2,W 6,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/gonzaga/men/2012.html,/cbb/conferences/wcc/men/2012.html,13.86,,
18,/cbb/boxscores/2012-01-14-saint-marys-ca.html,"Sat, Jan 14, 2012",REG,Portland,WCC,W,69,61,17,2,W 7,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/portland/men/2012.html,/cbb/conferences/wcc/men/2012.html,-7.88,,
19,/cbb/boxscores/2012-01-19-saint-marys-ca.html,"Thu, Jan 19, 2012",REG,Pepperdine,WCC,W,61,47,18,2,W 8,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/pepperdine/men/2012.html,/cbb/conferences/wcc/men/2012.html,-7.40,,
20,/cbb/boxscores/2012-01-21-santa-clara.html,"Sat, Jan 21, 2012",REG,Santa Clara,WCC,W,93,77,19,2,W 9,Leavey Center,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/santa-clara/men/2012.html,/cbb/conferences/wcc/men/2012.html,-6.79,@,
21,/cbb/boxscores/2012-01-26-loyola-marymount.html,"Thu, Jan 26, 2012",REG,Loyola Marymount,WCC,W,71,64,20,2,W 10,Gersten Pavilion,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/loyola-marymount/men/2012.html,/cbb/conferences/wcc/men/2012.html,2.20,@,
22,/cbb/boxscores/2012-01-28-brigham-young.html,"Sat, Jan 28, 2012",REG,Brigham Young,WCC,W,80,66,21,2,W 11,Marriott Center,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/brigham-young/men/2012.html,/cbb/conferences/wcc/men/2012.html,11.25,@,
23,/cbb/boxscores/2012-02-02-saint-marys-ca.html,"Thu, Feb 2, 2012",REG,San Diego,WCC,W,84,73,22,2,W 12,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/san-diego/men/2012.html,/cbb/conferences/wcc/men/2012.html,-3.76,,
24,/cbb/boxscores/2012-02-09-gonzaga.html,"Thu, Feb 9, 2012",REG,Gonzaga,WCC,L,59,73,22,3,L 1,McCarthey Athletic Center,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/gonzaga/men/2012.html,/cbb/conferences/wcc/men/2012.html,13.86,@,
25,/cbb/boxscores/2012-02-11-saint-marys-ca.html,"Sat, Feb 11, 2012",REG,Santa Clara,WCC,W,82,67,23,3,W 1,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/santa-clara/men/2012.html,/cbb/conferences/wcc/men/2012.html,-6.79,,
26,/cbb/boxscores/2012-02-15-saint-marys-ca.html,"Wed, Feb 15, 2012",REG,Loyola Marymount,WCC,L,60,75,23,4,L 1,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/loyola-marymount/men/2012.html,/cbb/conferences/wcc/men/2012.html,2.20,,
27,/cbb/boxscores/2012-02-18-murray-state.html,"Sat, Feb 18, 2012",REG,Murray State,OVC,L,51,65,23,5,L 2,Regional Special Events Center,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/murray-state/men/2012.html,/cbb/conferences/ovc/men/2012.html,8.74,@,
28,/cbb/boxscores/2012-02-23-portland.html,"Thu, Feb 23, 2012",REG,Portland,WCC,W,70,43,24,5,W 1,Chiles Center,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/portland/men/2012.html,/cbb/conferences/wcc/men/2012.html,-7.88,@,
29,/cbb/boxscores/2012-02-25-san-francisco.html,"Sat, Feb 25, 2012",REG,San Francisco,WCC,W,67,60,25,5,W 2,War Memorial Gymnasium,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/san-francisco/men/2012.html,/cbb/conferences/wcc/men/2012.html,1.90,@,
30,/cbb/boxscores/2012-03-03-saint-marys-ca.html,"Sat, Mar 3, 2012",CTOURN,San Francisco,WCC,W,83,78,26,5,W 3,Orleans Arena,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/san-francisco/men/2012.html,/cbb/conferences/wcc/men/2012.html,1.90,N,
31,/cbb/boxscores/2012-03-05-gonzaga.html,"Mon, Mar 5, 2012",CTOURN,Gonzaga,WCC,W,78,74,27,5,W 4,Orleans Arena,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/gonzaga/men/2012.html,/cbb/conferences/wcc/men/2012.html,13.86,N,OT
32,/cbb/boxscores/2012-03-16-purdue.html,"Fri, Mar 16, 2012",NCAA,Purdue,Big Ten,L,69,72,27,6,L 1,CenturyLink Center Omaha,/cbb/schools/saint-marys-ca/men/2012.html,/cbb/schools/purdue/men/2012.html,/cbb/conferences/big-ten/men/2012.html,13.88,N,
