,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2011-11-11-st-bonaventure.html,"Fri, Nov 11, 2011",REG,/cbb/schools/cornell/men/2012.html,Cornell,/cbb/conferences/ivy/men/2012.html,Ivy,-4.05,W,79,58,1,0,W 1,Reilly Center,/cbb/schools/st-bonaventure/men/2012.html,,
1,/cbb/boxscores/2011-11-18-cleveland-state.html,"Fri, Nov 18, 2011",REG,/cbb/schools/cleveland-state/men/2012.html,Cleveland State,/cbb/conferences/horizon/men/2012.html,Horizon,5.27,L,64,67,1,1,L 1,Henry J. Goodman Arena,/cbb/schools/st-bonaventure/men/2012.html,@,
2,/cbb/boxscores/2011-11-21-siena.html,"Mon, Nov 21, 2011",REG,/cbb/schools/siena/men/2012.html,Siena,/cbb/conferences/maac/men/2012.html,MAAC,-5.71,W,64,58,2,1,W 1,Times Union Center,/cbb/schools/st-bonaventure/men/2012.html,@,
3,/cbb/boxscores/2011-11-27-virginia-tech.html,"Sun, Nov 27, 2011",REG,/cbb/schools/virginia-tech/men/2012.html,Virginia Tech,/cbb/conferences/acc/men/2012.html,ACC,8.93,L,64,73,2,2,L 1,Cassell Coliseum,/cbb/schools/st-bonaventure/men/2012.html,@,
4,/cbb/boxscores/2011-12-01-st-bonaventure.html,"Thu, Dec 1, 2011",REG,/cbb/schools/arkansas-state/men/2012.html,Arkansas State,/cbb/conferences/sun-belt/men/2012.html,Sun Belt,-3.18,L,52,58,2,3,L 2,Reilly Center,/cbb/schools/st-bonaventure/men/2012.html,,
5,/cbb/boxscores/2011-12-03-buffalo.html,"Sat, Dec 3, 2011",REG,/cbb/schools/buffalo/men/2012.html,Buffalo,/cbb/conferences/mac/men/2012.html,MAC,4.15,W,66,60,3,3,W 1,Alumni Arena,/cbb/schools/st-bonaventure/men/2012.html,@,
6,/cbb/boxscores/2011-12-07-illinois.html,"Wed, Dec 7, 2011",REG,/cbb/schools/illinois/men/2012.html,Illinois,/cbb/conferences/big-ten/men/2012.html,Big Ten,9.33,L,43,48,3,4,L 1,Assembly Hall,/cbb/schools/st-bonaventure/men/2012.html,@,
7,/cbb/boxscores/2011-12-10-st-bonaventure.html,"Sat, Dec 10, 2011",REG,/cbb/schools/canisius/men/2012.html,Canisius,/cbb/conferences/maac/men/2012.html,MAAC,-14.73,W,81,62,4,4,W 1,Reilly Center,/cbb/schools/st-bonaventure/men/2012.html,,
8,/cbb/boxscores/2011-12-18-st-bonaventure.html,"Sun, Dec 18, 2011",REG,/cbb/schools/loyola-md/men/2012.html,Loyola (MD),/cbb/conferences/maac/men/2012.html,MAAC,0.37,W,76,66,5,4,W 2,Reilly Center,/cbb/schools/st-bonaventure/men/2012.html,,
9,/cbb/boxscores/2011-12-20-north-carolina-state.html,"Tue, Dec 20, 2011",REG,/cbb/schools/north-carolina-state/men/2012.html,NC State,/cbb/conferences/acc/men/2012.html,ACC,12.10,L,65,67,5,5,L 1,Blue Cross Arena,/cbb/schools/st-bonaventure/men/2012.html,N,
