,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2011-11-12-syracuse.html,"Sat, Nov 12, 2011",REG,/cbb/schools/fordham/men/2012.html,Fordham,/cbb/conferences/atlantic-10/men/2012.html,A-10,-7.63,W,78,53,1,0,W 1,Carrier Dome,/cbb/schools/syracuse/men/2012.html,,
1,/cbb/boxscores/2011-11-14-syracuse.html,"Mon, Nov 14, 2011",REG,/cbb/schools/manhattan/men/2012.html,Manhattan,/cbb/conferences/maac/men/2012.html,MAAC,1.46,W,92,56,2,0,W 2,Carrier Dome,/cbb/schools/syracuse/men/2012.html,,
2,/cbb/boxscores/2011-11-15-syracuse.html,"Tue, Nov 15, 2011",REG,/cbb/schools/albany-ny/men/2012.html,Albany (NY),/cbb/conferences/america-east/men/2012.html,AEC,-3.92,W,98,74,3,0,W 3,Carrier Dome,/cbb/schools/syracuse/men/2012.html,,
3,/cbb/boxscores/2011-11-19-syracuse.html,"Sat, Nov 19, 2011",REG,/cbb/schools/colgate/men/2012.html,Colgate,/cbb/conferences/patriot/men/2012.html,Patriot,-14.91,W,92,47,4,0,W 4,Carrier Dome,/cbb/schools/syracuse/men/2012.html,,
4,/cbb/boxscores/2011-11-23-syracuse.html,"Wed, Nov 23, 2011",REG,/cbb/schools/virginia-tech/men/2012.html,Virginia Tech,/cbb/conferences/acc/men/2012.html,ACC,8.93,W,69,58,5,0,W 5,,/cbb/schools/syracuse/men/2012.html,N,
5,/cbb/boxscores/2011-11-25-stanford.html,"Fri, Nov 25, 2011",REG,/cbb/schools/stanford/men/2012.html,Stanford,/cbb/conferences/pac-12/men/2012.html,Pac-12,12.64,W,69,63,6,0,W 6,Madison Square Garden (IV),/cbb/schools/syracuse/men/2012.html,N,
6,/cbb/boxscores/2011-11-29-syracuse.html,"Tue, Nov 29, 2011",REG,/cbb/schools/eastern-michigan/men/2012.html,Eastern Michigan,/cbb/conferences/mac/men/2012.html,MAC,-7.90,W,84,48,7,0,W 7,Carrier Dome,/cbb/schools/syracuse/men/2012.html,,
7,/cbb/boxscores/2011-12-02-syracuse.html,"Fri, Dec 2, 2011",REG,/cbb/schools/florida/men/2012.html,Florida,/cbb/conferences/sec/men/2012.html,SEC,18.25,W,72,68,8,0,W 8,Carrier Dome,/cbb/schools/syracuse/men/2012.html,,
8,/cbb/boxscores/2011-12-06-syracuse.html,"Tue, Dec 6, 2011",REG,/cbb/schools/marshall/men/2012.html,Marshall,/cbb/conferences/cusa/men/2012.html,CUSA,7.00,W,62,56,9,0,W 9,Carrier Dome,/cbb/schools/syracuse/men/2012.html,,
9,/cbb/boxscores/2011-12-10-syracuse.html,"Sat, Dec 10, 2011",REG,/cbb/schools/george-washington/men/2012.html,George Washington,/cbb/conferences/atlantic-10/men/2012.html,A-10,-0.63,W,85,50,10,0,W 10,Carrier Dome,/cbb/schools/syracuse/men/2012.html,,
10,/cbb/boxscores/2011-12-17-north-carolina-state.html,"Sat, Dec 17, 2011",REG,/cbb/schools/north-carolina-state/men/2012.html,NC State,/cbb/conferences/acc/men/2012.html,ACC,12.10,W,88,72,11,0,W 11,RBC Center,/cbb/schools/syracuse/men/2012.html,@,
11,/cbb/boxscores/2011-12-20-syracuse.html,"Tue, Dec 20, 2011",REG,/cbb/schools/bucknell/men/2012.html,Bucknell,/cbb/conferences/patriot/men/2012.html,Patriot,3.57,W,80,61,12,0,W 12,Carrier Dome,/cbb/schools/syracuse/men/2012.html,,
12,/cbb/boxscores/2011-12-22-syracuse.html,"Thu, Dec 22, 2011",REG,/cbb/schools/tulane/men/2012.html,Tulane,/cbb/conferences/cusa/men/2012.html,CUSA,-0.12,W,80,61,13,0,W 13,Carrier Dome,/cbb/schools/syracuse/men/2012.html,,
13,/cbb/boxscores/2011-12-28-syracuse.html,"Wed, Dec 28, 2011",REG,/cbb/schools/seton-hall/men/2012.html,Seton Hall,/cbb/conferences/big-east/men/2012.html,Big East,10.23,W,75,49,14,0,W 14,Carrier Dome,/cbb/schools/syracuse/men/2012.html,,
14,/cbb/boxscores/2012-01-01-depaul.html,"Sun, Jan 1, 2012",REG,/cbb/schools/depaul/men/2012.html,DePaul,/cbb/conferences/big-east/men/2012.html,Big East,1.99,W,87,68,15,0,W 15,Allstate Arena,/cbb/schools/syracuse/men/2012.html,@,
15,/cbb/boxscores/2012-01-04-providence.html,"Wed, Jan 4, 2012",REG,/cbb/schools/providence/men/2012.html,Providence,/cbb/conferences/big-east/men/2012.html,Big East,4.16,W,87,73,16,0,W 16,Dunkin Donuts Center,/cbb/schools/syracuse/men/2012.html,@,
16,/cbb/boxscores/2012-01-07-syracuse.html,"Sat, Jan 7, 2012",REG,/cbb/schools/marquette/men/2012.html,Marquette,/cbb/conferences/big-east/men/2012.html,Big East,16.92,W,73,66,17,0,W 17,Carrier Dome,/cbb/schools/syracuse/men/2012.html,,
