,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2011-11-13-texas.html,"Sun, Nov 13, 2011",REG,/cbb/schools/boston-university/men/2012.html,Boston University,/cbb/conferences/america-east/men/2012.html,AEC,-3.74,W,82,46,1,0,W 1,Frank Erwin Center,/cbb/schools/texas/men/2012.html,,
1,/cbb/boxscores/2011-11-15-texas.html,"Tue, Nov 15, 2011",REG,/cbb/schools/rhode-island/men/2012.html,Rhode Island,/cbb/conferences/atlantic-10/men/2012.html,A-10,-3.78,W,100,90,2,0,W 2,Frank Erwin Center,/cbb/schools/texas/men/2012.html,,
2,/cbb/boxscores/2011-11-19-oregon-state.html,"Sat, Nov 19, 2011",REG,/cbb/schools/oregon-state/men/2012.html,Oregon State,/cbb/conferences/pac-12/men/2012.html,Pac-12,8.84,L,95,100,2,1,L 1,,/cbb/schools/texas/men/2012.html,N,OT
3,/cbb/boxscores/2011-11-21-north-carolina-state.html,"Mon, Nov 21, 2011",REG,/cbb/schools/north-carolina-state/men/2012.html,NC State,/cbb/conferences/acc/men/2012.html,ACC,12.10,L,74,77,2,2,L 2,,/cbb/schools/texas/men/2012.html,N,
4,/cbb/boxscores/2011-11-26-texas.html,"Sat, Nov 26, 2011",REG,/cbb/schools/sam-houston-state/men/2012.html,Sam Houston,/cbb/conferences/southland/men/2012.html,Southland,-9.09,W,56,40,3,2,W 1,Frank Erwin Center,/cbb/schools/texas/men/2012.html,,
5,/cbb/boxscores/2011-11-29-texas.html,"Tue, Nov 29, 2011",REG,/cbb/schools/north-texas/men/2012.html,North Texas,/cbb/conferences/sun-belt/men/2012.html,Sun Belt,-0.39,W,73,57,4,2,W 2,Frank Erwin Center,/cbb/schools/texas/men/2012.html,,
6,/cbb/boxscores/2011-12-03-ucla.html,"Sat, Dec 3, 2011",REG,/cbb/schools/ucla/men/2012.html,UCLA,/cbb/conferences/pac-12/men/2012.html,Pac-12,10.53,W,69,59,5,2,W 3,L.A. Sports Arena,/cbb/schools/texas/men/2012.html,@,
7,/cbb/boxscores/2011-12-06-texas.html,"Tue, Dec 6, 2011",REG,/cbb/schools/texas-arlington/men/2012.html,UT Arlington,/cbb/conferences/southland/men/2012.html,Southland,3.35,W,80,62,6,2,W 4,Frank Erwin Center,/cbb/schools/texas/men/2012.html,,
8,/cbb/boxscores/2011-12-10-texas.html,"Sat, Dec 10, 2011",REG,/cbb/schools/texas-state/men/2012.html,Texas State,/cbb/conferences/southland/men/2012.html,Southland,-8.66,W,86,52,7,2,W 5,Frank Erwin Center,/cbb/schools/texas/men/2012.html,,
9,/cbb/boxscores/2011-12-13-texas.html,"Tue, Dec 13, 2011",REG,/cbb/schools/nicholls-state/men/2012.html,Nicholls State,/cbb/conferences/southland/men/2012.html,Southland,-18.55,W,93,40,8,2,W 6,Frank Erwin Center,/cbb/schools/texas/men/2012.html,,
10,/cbb/boxscores/2011-12-17-texas.html,"Sat, Dec 17, 2011",REG,/cbb/schools/temple/men/2012.html,Temple,/cbb/conferences/atlantic-10/men/2012.html,A-10,10.44,W,77,65,9,2,W 7,Frank Erwin Center,/cbb/schools/texas/men/2012.html,,
11,/cbb/boxscores/2011-12-21-north-carolina.html,"Wed, Dec 21, 2011",REG,/cbb/schools/north-carolina/men/2012.html,North Carolina,/cbb/conferences/acc/men/2012.html,ACC,21.34,L,63,82,9,3,L 1,Dean Smith Center,/cbb/schools/texas/men/2012.html,@,
12,/cbb/boxscores/2011-12-31-texas.html,"Sat, Dec 31, 2011",REG,/cbb/schools/rice/men/2012.html,Rice,/cbb/conferences/cusa/men/2012.html,CUSA,1.42,W,73,59,10,3,W 1,Frank Erwin Center,/cbb/schools/texas/men/2012.html,,
13,/cbb/boxscores/2012-01-04-iowa-state.html,"Wed, Jan 4, 2012",REG,/cbb/schools/iowa-state/men/2012.html,Iowa State,/cbb/conferences/big-12/men/2012.html,Big 12,13.32,L,71,77,10,4,L 1,James H. Hilton Coliseum,/cbb/schools/texas/men/2012.html,@,
14,/cbb/boxscores/2012-01-07-texas.html,"Sat, Jan 7, 2012",REG,/cbb/schools/oklahoma-state/men/2012.html,Oklahoma State,/cbb/conferences/big-12/men/2012.html,Big 12,7.02,W,58,49,11,4,W 1,Frank Erwin Center,/cbb/schools/texas/men/2012.html,,
15,/cbb/boxscores/2012-01-11-texas.html,"Wed, Jan 11, 2012",REG,/cbb/schools/texas-am/men/2012.html,Texas A&M,/cbb/conferences/big-12/men/2012.html,Big 12,5.57,W,61,51,12,4,W 2,Frank Erwin Center,/cbb/schools/texas/men/2012.html,,
16,/cbb/boxscores/2012-01-14-missouri.html,"Sat, Jan 14, 2012",REG,/cbb/schools/missouri/men/2012.html,Missouri,/cbb/conferences/big-12/men/2012.html,Big 12,19.77,L,73,84,12,5,L 1,Mizzou Arena,/cbb/schools/texas/men/2012.html,@,
17,/cbb/boxscores/2012-01-18-kansas-state.html,"Wed, Jan 18, 2012",REG,/cbb/schools/kansas-state/men/2012.html,Kansas State,/cbb/conferences/big-12/men/2012.html,Big 12,14.47,L,80,84,12,6,L 2,Bramlage Coliseum,/cbb/schools/texas/men/2012.html,@,
18,/cbb/boxscores/2012-01-21-texas.html,"Sat, Jan 21, 2012",REG,/cbb/schools/kansas/men/2012.html,Kansas,/cbb/conferences/big-12/men/2012.html,Big 12,21.72,L,66,69,12,7,L 3,Frank Erwin Center,/cbb/schools/texas/men/2012.html,,
19,/cbb/boxscores/2012-01-24-texas.html,"Tue, Jan 24, 2012",REG,/cbb/schools/iowa-state/men/2012.html,Iowa State,/cbb/conferences/big-12/men/2012.html,Big 12,13.32,W,62,55,13,7,W 1,Frank Erwin Center,/cbb/schools/texas/men/2012.html,,
20,/cbb/boxscores/2012-01-28-baylor.html,"Sat, Jan 28, 2012",REG,/cbb/schools/baylor/men/2012.html,Baylor,/cbb/conferences/big-12/men/2012.html,Big 12,16.54,L,71,76,13,8,L 1,Ferrell Center,/cbb/schools/texas/men/2012.html,@,
21,/cbb/boxscores/2012-01-30-texas.html,"Mon, Jan 30, 2012",REG,/cbb/schools/missouri/men/2012.html,Missouri,/cbb/conferences/big-12/men/2012.html,Big 12,19.77,L,66,67,13,9,L 2,Frank Erwin Center,/cbb/schools/texas/men/2012.html,,
