,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2011-11-13-virginia.html,"Sun, Nov 13, 2011",REG,/cbb/schools/south-carolina-state/men/2012.html,South Carolina State,/cbb/conferences/meac/men/2012.html,MEAC,-20.80,W,75,38,1,0,W 1,John Paul Jones Arena,/cbb/schools/virginia/men/2012.html,,
1,/cbb/boxscores/2011-11-15-virginia.html,"Tue, Nov 15, 2011",REG,/cbb/schools/winthrop/men/2012.html,Winthrop,/cbb/conferences/big-south/men/2012.html,Big South,-7.64,W,69,48,2,0,W 2,John Paul Jones Arena,/cbb/schools/virginia/men/2012.html,,
2,/cbb/boxscores/2011-11-18-texas-christian.html,"Fri, Nov 18, 2011",REG,/cbb/schools/texas-christian/men/2012.html,TCU,/cbb/conferences/mwc/men/2012.html,MWC,1.72,L,55,57,2,1,L 1,Virgin Islands Sport & Fitness Center,/cbb/schools/virginia/men/2012.html,N,
3,/cbb/boxscores/2011-11-19-drexel.html,"Sat, Nov 19, 2011",REG,/cbb/schools/drexel/men/2012.html,Drexel,/cbb/conferences/colonial/men/2012.html,CAA,7.37,W,49,35,3,1,W 1,Virgin Islands Sport & Fitness Center,/cbb/schools/virginia/men/2012.html,N,
4,/cbb/boxscores/2011-11-21-drake.html,"Mon, Nov 21, 2011",REG,/cbb/schools/drake/men/2012.html,Drake,/cbb/conferences/mvc/men/2012.html,MVC,2.44,W,60,52,4,1,W 2,Virgin Islands Sport & Fitness Center,/cbb/schools/virginia/men/2012.html,N,
5,/cbb/boxscores/2011-11-25-virginia.html,"Fri, Nov 25, 2011",REG,/cbb/schools/green-bay/men/2012.html,Green Bay,/cbb/conferences/horizon/men/2012.html,Horizon,-2.32,W,68,42,5,1,W 3,John Paul Jones Arena,/cbb/schools/virginia/men/2012.html,,
6,/cbb/boxscores/2011-11-29-virginia.html,"Tue, Nov 29, 2011",REG,/cbb/schools/michigan/men/2012.html,Michigan,/cbb/conferences/big-ten/men/2012.html,Big Ten,13.19,W,70,58,6,1,W 4,John Paul Jones Arena,/cbb/schools/virginia/men/2012.html,,
7,/cbb/boxscores/2011-12-03-virginia.html,"Sat, Dec 3, 2011",REG,/cbb/schools/longwood/men/2012.html,Longwood,/cbb/conferences/independent/men/2012.html,Ind,-20.47,W,86,53,7,1,W 5,John Paul Jones Arena,/cbb/schools/virginia/men/2012.html,,
8,/cbb/boxscores/2011-12-06-virginia.html,"Tue, Dec 6, 2011",REG,/cbb/schools/george-mason/men/2012.html,George Mason,/cbb/conferences/colonial/men/2012.html,CAA,3.81,W,68,48,8,1,W 6,John Paul Jones Arena,/cbb/schools/virginia/men/2012.html,,
9,/cbb/boxscores/2011-12-18-oregon.html,"Sun, Dec 18, 2011",REG,/cbb/schools/oregon/men/2012.html,Oregon,/cbb/conferences/pac-12/men/2012.html,Pac-12,10.19,W,67,54,9,1,W 7,Matthew Knight Arena,/cbb/schools/virginia/men/2012.html,@,
