,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,overtimes,wins,losses,game_streak,arena,homeLink
0,/cbb/boxscores/2013-03-21-akron.html,"Thu, Mar 21, 2013",NCAA,N,/cbb/schools/virginia-commonwealth/men/2013.html,Virginia Commonwealth,/cbb/conferences/atlantic-10/men/2013.html,A-10,16.97,L,42,88,,26,7,L 1,Palace of Auburn Hills,/cbb/schools/akron/men/2013.html
1,/cbb/boxscores/2013-03-22-albany-ny.html,"Fri, Mar 22, 2013",NCAA,N,/cbb/schools/duke/men/2013.html,Duke,/cbb/conferences/acc/men/2013.html,ACC,21.46,L,61,73,,24,11,L 1,Wells Fargo Center,/cbb/schools/albany-ny/men/2013.html
2,/cbb/boxscores/2013-03-21-arizona.html,"Thu, Mar 21, 2013",NCAA,N,/cbb/schools/belmont/men/2013.html,Belmont,/cbb/conferences/ovc/men/2013.html,OVC,10.41,W,81,64,,26,7,W 1,EnergySolutions Arena,/cbb/schools/arizona/men/2013.html
3,/cbb/boxscores/2013-03-23-arizona.html,"Sat, Mar 23, 2013",NCAA,N,/cbb/schools/harvard/men/2013.html,Harvard,/cbb/conferences/ivy/men/2013.html,Ivy,3.96,W,74,51,,27,7,W 2,EnergySolutions Arena,/cbb/schools/arizona/men/2013.html
4,/cbb/boxscores/2013-03-28-arizona.html,"Thu, Mar 28, 2013",NCAA,N,/cbb/schools/ohio-state/men/2013.html,Ohio State,/cbb/conferences/big-ten/men/2013.html,Big Ten,20.19,L,70,73,,27,8,L 1,Staples Center,/cbb/schools/arizona/men/2013.html
5,/cbb/boxscores/2013-03-20-boise-state.html,"Wed, Mar 20, 2013",NCAA,N,/cbb/schools/la-salle/men/2013.html,La Salle,/cbb/conferences/atlantic-10/men/2013.html,A-10,10.15,L,71,80,,21,11,L 2,University of Dayton Arena,/cbb/schools/boise-state/men/2013.html
6,/cbb/boxscores/2013-03-21-bucknell.html,"Thu, Mar 21, 2013",NCAA,N,/cbb/schools/butler/men/2013.html,Butler,/cbb/conferences/atlantic-10/men/2013.html,A-10,11.01,L,56,68,,28,6,L 1,Rupp Arena,/cbb/schools/bucknell/men/2013.html
7,/cbb/boxscores/2013-03-23-butler.html,"Sat, Mar 23, 2013",NCAA,N,/cbb/schools/marquette/men/2013.html,Marquette,/cbb/conferences/big-east/men/2013.html,Big East,14.05,L,72,74,,27,9,L 1,Rupp Arena,/cbb/schools/butler/men/2013.html
8,/cbb/boxscores/2013-03-21-california.html,"Thu, Mar 21, 2013",NCAA,N,/cbb/schools/nevada-las-vegas/men/2013.html,Nevada-Las Vegas,/cbb/conferences/mwc/men/2013.html,MWC,12.81,W,64,61,,21,11,W 1,SAP Center,/cbb/schools/california/men/2013.html
9,/cbb/boxscores/2013-03-23-california.html,"Sat, Mar 23, 2013",NCAA,N,/cbb/schools/syracuse/men/2013.html,Syracuse,/cbb/conferences/big-east/men/2013.html,Big East,20.3,L,60,66,,21,12,L 1,SAP Center,/cbb/schools/california/men/2013.html
