,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2012-11-09-albany-ny.html,"Fri, Nov 9, 2012",REG,/cbb/schools/duquesne/men/2013.html,Duquesne,/cbb/conferences/atlantic-10/men/2013.html,A-10,-4.52,W,69,66,1,0,W 1,SEFCU Arena,/cbb/schools/albany-ny/men/2013.html,,
1,/cbb/boxscores/2012-11-11-ohio-state.html,"Sun, Nov 11, 2012",REG,/cbb/schools/ohio-state/men/2013.html,Ohio State,/cbb/conferences/big-ten/men/2013.html,Big Ten,20.19,L,60,82,1,1,L 1,Value City Arena,/cbb/schools/albany-ny/men/2013.html,@,
2,/cbb/boxscores/2012-11-13-washington.html,"Tue, Nov 13, 2012",REG,/cbb/schools/washington/men/2013.html,Washington,/cbb/conferences/pac-12/men/2013.html,Pac-12,7.88,W,63,62,2,1,W 1,Alaska Airlines Arena,/cbb/schools/albany-ny/men/2013.html,@,
3,/cbb/boxscores/2012-11-17-albany-ny.html,"Sat, Nov 17, 2012",REG,/cbb/schools/missouri-kansas-city/men/2013.html,Kansas City,/cbb/conferences/summit/men/2013.html,Summit,-13.61,W,62,59,3,1,W 2,Mohegan Sun Arena,/cbb/schools/albany-ny/men/2013.html,N,
4,/cbb/boxscores/2012-11-18-albany-ny.html,"Sun, Nov 18, 2012",REG,/cbb/schools/loyola-md/men/2013.html,Loyola (MD),/cbb/conferences/maac/men/2013.html,MAAC,1.35,L,64,67,3,2,L 1,Mohegan Sun Arena,/cbb/schools/albany-ny/men/2013.html,N,
5,/cbb/boxscores/2012-11-20-south-carolina-state.html,"Tue, Nov 20, 2012",REG,/cbb/schools/south-carolina-state/men/2013.html,South Carolina State,/cbb/conferences/meac/men/2013.html,MEAC,-18.14,W,83,55,4,2,W 1,SHM Memorial Center,/cbb/schools/albany-ny/men/2013.html,@,
6,/cbb/boxscores/2012-11-26-albany-ny.html,"Mon, Nov 26, 2012",REG,/cbb/schools/wagner/men/2013.html,Wagner,/cbb/conferences/northeast/men/2013.html,NEC,-3.22,W,66,63,5,2,W 2,SEFCU Arena,/cbb/schools/albany-ny/men/2013.html,,
7,/cbb/boxscores/2012-12-01-siena.html,"Sat, Dec 1, 2012",REG,/cbb/schools/siena/men/2013.html,Siena,/cbb/conferences/maac/men/2013.html,MAAC,-10.23,W,69,56,6,2,W 3,Times Union Center,/cbb/schools/albany-ny/men/2013.html,@,
8,/cbb/boxscores/2012-12-05-albany-ny.html,"Wed, Dec 5, 2012",REG,/cbb/schools/st-francis-ny/men/2013.html,St. Francis (NY),/cbb/conferences/northeast/men/2013.html,NEC,-5.91,W,77,73,7,2,W 4,SEFCU Arena,/cbb/schools/albany-ny/men/2013.html,,
9,/cbb/boxscores/2012-12-08-colgate.html,"Sat, Dec 8, 2012",REG,/cbb/schools/colgate/men/2013.html,Colgate,/cbb/conferences/patriot/men/2013.html,Patriot,-8.72,W,67,61,8,2,W 5,Cotterell Court,/cbb/schools/albany-ny/men/2013.html,@,
