,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2012-11-11-boise-state.html,"Sun, Nov 11, 2012",REG,/cbb/schools/texas-southern/men/2013.html,Texas Southern,/cbb/conferences/swac/men/2013.html,SWAC,-2.12,W,81,63,1,0,W 1,Taco Bell Arena,/cbb/schools/boise-state/men/2013.html,,
1,/cbb/boxscores/2012-11-13-boise-state.html,"Tue, Nov 13, 2012",REG,/cbb/schools/oakland/men/2013.html,Oakland,/cbb/conferences/summit/men/2013.html,Summit,-4.38,W,88,80,2,0,W 2,Taco Bell Arena,/cbb/schools/boise-state/men/2013.html,,
2,/cbb/boxscores/2012-11-18-boise-state.html,"Sun, Nov 18, 2012",REG,/cbb/schools/louisiana-lafayette/men/2013.html,Louisiana,/cbb/conferences/sun-belt/men/2013.html,Sun Belt,-4.90,W,63,57,3,0,W 3,Taco Bell Arena,/cbb/schools/boise-state/men/2013.html,,
3,/cbb/boxscores/2012-11-20-michigan-state.html,"Tue, Nov 20, 2012",REG,/cbb/schools/michigan-state/men/2013.html,Michigan State,/cbb/conferences/big-ten/men/2013.html,Big Ten,18.63,L,70,74,3,1,L 1,Breslin Student Events Center,/cbb/schools/boise-state/men/2013.html,@,
4,/cbb/boxscores/2012-11-24-boise-state.html,"Sat, Nov 24, 2012",REG,/cbb/schools/california-santa-barbara/men/2013.html,UC Santa Barbara,/cbb/conferences/big-west/men/2013.html,Big West,-4.53,W,72,56,4,1,W 1,Taco Bell Arena,/cbb/schools/boise-state/men/2013.html,,
5,/cbb/boxscores/2012-11-28-creighton.html,"Wed, Nov 28, 2012",REG,/cbb/schools/creighton/men/2013.html,Creighton,/cbb/conferences/mvc/men/2013.html,MVC,16.43,W,83,70,5,1,W 2,CenturyLink Center Omaha,/cbb/schools/boise-state/men/2013.html,@,
6,/cbb/boxscores/2012-12-02-seattle.html,"Sun, Dec 2, 2012",REG,/cbb/schools/seattle/men/2013.html,Seattle,/cbb/conferences/wac/men/2013.html,WAC,-4.56,W,87,64,6,1,W 3,KeyArena,/cbb/schools/boise-state/men/2013.html,@,
7,/cbb/boxscores/2012-12-05-utah.html,"Wed, Dec 5, 2012",REG,/cbb/schools/utah/men/2013.html,Utah,/cbb/conferences/pac-12/men/2013.html,Pac-12,4.70,L,55,76,6,2,L 1,Jon M. Huntsman Center,/cbb/schools/boise-state/men/2013.html,@,
8,/cbb/boxscores/2012-12-14-boise-state.html,"Fri, Dec 14, 2012",REG,/cbb/schools/louisiana-state/men/2013.html,Louisiana State,/cbb/conferences/sec/men/2013.html,SEC,5.82,W,89,70,7,2,W 1,Taco Bell Arena,/cbb/schools/boise-state/men/2013.html,,
9,/cbb/boxscores/2012-12-20-boise-state.html,"Thu, Dec 20, 2012",REG,/cbb/schools/idaho/men/2013.html,Idaho,/cbb/conferences/wac/men/2013.html,WAC,-2.23,W,78,68,8,2,W 2,Taco Bell Arena,/cbb/schools/boise-state/men/2013.html,N,
