,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2012-11-09-creighton.html,"Fri, Nov 9, 2012",REG,/cbb/schools/north-texas/men/2013.html,North Texas,/cbb/conferences/sun-belt/men/2013.html,Sun Belt,-6.38,W,71,51,1,0,W 1,CenturyLink Center Omaha,/cbb/schools/creighton/men/2013.html,
1,/cbb/boxscores/2012-11-14-creighton.html,"Wed, Nov 14, 2012",REG,/cbb/schools/alabama-birmingham/men/2013.html,UAB,/cbb/conferences/cusa/men/2013.html,CUSA,0.27,W,77,60,2,0,W 2,CenturyLink Center Omaha,/cbb/schools/creighton/men/2013.html,
2,/cbb/boxscores/2012-11-18-creighton.html,"Sun, Nov 18, 2012",REG,/cbb/schools/presbyterian/men/2013.html,Presbyterian,/cbb/conferences/big-south/men/2013.html,Big South,-17.43,W,87,58,3,0,W 3,CenturyLink Center Omaha,/cbb/schools/creighton/men/2013.html,
3,/cbb/boxscores/2012-11-20-creighton.html,"Tue, Nov 20, 2012",REG,/cbb/schools/longwood/men/2013.html,Longwood,/cbb/conferences/big-south/men/2013.html,Big South,-19.32,W,105,57,4,0,W 4,CenturyLink Center Omaha,/cbb/schools/creighton/men/2013.html,
4,/cbb/boxscores/2012-11-23-creighton.html,"Fri, Nov 23, 2012",REG,/cbb/schools/wisconsin/men/2013.html,Wisconsin,/cbb/conferences/big-ten/men/2013.html,Big Ten,18.76,W,84,74,5,0,W 5,Orleans Arena,/cbb/schools/creighton/men/2013.html,N
5,/cbb/boxscores/2012-11-24-arizona-state.html,"Sat, Nov 24, 2012",REG,/cbb/schools/arizona-state/men/2013.html,Arizona State,/cbb/conferences/pac-12/men/2013.html,Pac-12,8.82,W,87,73,6,0,W 6,Orleans Arena,/cbb/schools/creighton/men/2013.html,N
6,/cbb/boxscores/2012-11-28-creighton.html,"Wed, Nov 28, 2012",REG,/cbb/schools/boise-state/men/2013.html,Boise State,/cbb/conferences/mwc/men/2013.html,MWC,9.38,L,70,83,6,1,L 1,CenturyLink Center Omaha,/cbb/schools/creighton/men/2013.html,
7,/cbb/boxscores/2012-12-01-creighton.html,"Sat, Dec 1, 2012",REG,/cbb/schools/saint-josephs/men/2013.html,Saint Joseph's,/cbb/conferences/atlantic-10/men/2013.html,A-10,7.33,W,80,51,7,1,W 1,CenturyLink Center Omaha,/cbb/schools/creighton/men/2013.html,
8,/cbb/boxscores/2012-12-06-nebraska.html,"Thu, Dec 6, 2012",REG,/cbb/schools/nebraska/men/2013.html,Nebraska,/cbb/conferences/big-ten/men/2013.html,Big Ten,4.40,W,64,42,8,1,W 2,Bob Devaney Sports Center,/cbb/schools/creighton/men/2013.html,@
9,/cbb/boxscores/2012-12-09-creighton.html,"Sun, Dec 9, 2012",REG,/cbb/schools/akron/men/2013.html,Akron,/cbb/conferences/mac/men/2013.html,MAC,8.12,W,77,61,9,1,W 3,CenturyLink Center Omaha,/cbb/schools/creighton/men/2013.html,
10,/cbb/boxscores/2012-12-15-california.html,"Sat, Dec 15, 2012",REG,/cbb/schools/california/men/2013.html,California,/cbb/conferences/pac-12/men/2013.html,Pac-12,10.59,W,74,64,10,1,W 4,Haas Pavilion,/cbb/schools/creighton/men/2013.html,@
11,/cbb/boxscores/2012-12-19-creighton.html,"Wed, Dec 19, 2012",REG,/cbb/schools/tulsa/men/2013.html,Tulsa,/cbb/conferences/cusa/men/2013.html,CUSA,-1.06,W,71,54,11,1,W 5,CenturyLink Center Omaha,/cbb/schools/creighton/men/2013.html,
12,/cbb/boxscores/2012-12-29-creighton.html,"Sat, Dec 29, 2012",REG,/cbb/schools/evansville/men/2013.html,Evansville,/cbb/conferences/mvc/men/2013.html,MVC,5.26,W,87,70,12,1,W 6,CenturyLink Center Omaha,/cbb/schools/creighton/men/2013.html,
13,/cbb/boxscores/2013-01-02-illinois-state.html,"Wed, Jan 2, 2013",REG,/cbb/schools/illinois-state/men/2013.html,Illinois State,/cbb/conferences/mvc/men/2013.html,MVC,9.61,W,79,72,13,1,W 7,Redbird Arena,/cbb/schools/creighton/men/2013.html,@
14,/cbb/boxscores/2013-01-05-creighton.html,"Sat, Jan 5, 2013",REG,/cbb/schools/indiana-state/men/2013.html,Indiana State,/cbb/conferences/mvc/men/2013.html,MVC,5.08,W,79,66,14,1,W 8,CenturyLink Center Omaha,/cbb/schools/creighton/men/2013.html,
15,/cbb/boxscores/2013-01-08-creighton.html,"Tue, Jan 8, 2013",REG,/cbb/schools/drake/men/2013.html,Drake,/cbb/conferences/mvc/men/2013.html,MVC,3.42,W,91,61,15,1,W 9,CenturyLink Center Omaha,/cbb/schools/creighton/men/2013.html,
