,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2012-11-11-florida.html,"Sun, Nov 11, 2012",REG,/cbb/schools/alabama-state/men/2013.html,Alabama State,/cbb/conferences/swac/men/2013.html,SWAC,-17.90,W,84,35,1,0,W 1,Stephen C. O''Connell Center,/cbb/schools/florida/men/2013.html,
1,/cbb/boxscores/2012-11-14-florida.html,"Wed, Nov 14, 2012",REG,/cbb/schools/wisconsin/men/2013.html,Wisconsin,/cbb/conferences/big-ten/men/2013.html,Big Ten,18.76,W,74,56,2,0,W 2,Stephen C. O''Connell Center,/cbb/schools/florida/men/2013.html,
2,/cbb/boxscores/2012-11-18-florida.html,"Sun, Nov 18, 2012",REG,/cbb/schools/middle-tennessee/men/2013.html,Middle Tennessee,/cbb/conferences/sun-belt/men/2013.html,Sun Belt,11.18,W,66,45,3,0,W 3,Stephen C. O''Connell Center,/cbb/schools/florida/men/2013.html,N
3,/cbb/boxscores/2012-11-20-florida.html,"Tue, Nov 20, 2012",REG,/cbb/schools/savannah-state/men/2013.html,Savannah State,/cbb/conferences/meac/men/2013.html,MEAC,-5.40,W,58,40,4,0,W 4,Stephen C. O''Connell Center,/cbb/schools/florida/men/2013.html,
4,/cbb/boxscores/2012-11-23-florida.html,"Fri, Nov 23, 2012",REG,/cbb/schools/central-florida/men/2013.html,UCF,/cbb/conferences/cusa/men/2013.html,CUSA,3.46,W,79,66,5,0,W 5,Stephen C. O''Connell Center,/cbb/schools/florida/men/2013.html,
5,/cbb/boxscores/2012-11-29-florida.html,"Thu, Nov 29, 2012",REG,/cbb/schools/marquette/men/2013.html,Marquette,/cbb/conferences/big-east/men/2013.html,Big East,14.05,W,82,49,6,0,W 6,Stephen C. O''Connell Center,/cbb/schools/florida/men/2013.html,
6,/cbb/boxscores/2012-12-05-florida-state.html,"Wed, Dec 5, 2012",REG,/cbb/schools/florida-state/men/2013.html,Florida State,/cbb/conferences/acc/men/2013.html,ACC,5.71,W,72,47,7,0,W 7,Donald L. Tucker Civic Center,/cbb/schools/florida/men/2013.html,@
7,/cbb/boxscores/2012-12-15-arizona.html,"Sat, Dec 15, 2012",REG,/cbb/schools/arizona/men/2013.html,Arizona,/cbb/conferences/pac-12/men/2013.html,Pac-12,17.31,L,64,65,7,1,L 1,McKale Center,/cbb/schools/florida/men/2013.html,@
8,/cbb/boxscores/2012-12-19-florida.html,"Wed, Dec 19, 2012",REG,/cbb/schools/southeastern-louisiana/men/2013.html,Southeastern Louisiana,/cbb/conferences/southland/men/2013.html,Southland,-10.67,W,82,43,8,1,W 1,Stephen C. O''Connell Center,/cbb/schools/florida/men/2013.html,
9,/cbb/boxscores/2012-12-22-florida.html,"Sat, Dec 22, 2012",REG,/cbb/schools/kansas-state/men/2013.html,Kansas State,/cbb/conferences/big-12/men/2013.html,Big 12,13.54,L,61,67,8,2,L 1,,/cbb/schools/florida/men/2013.html,N
10,/cbb/boxscores/2012-12-29-air-force.html,"Sat, Dec 29, 2012",REG,/cbb/schools/air-force/men/2013.html,Air Force,/cbb/conferences/mwc/men/2013.html,MWC,4.06,W,78,61,9,2,W 1,,/cbb/schools/florida/men/2013.html,N
11,/cbb/boxscores/2013-01-06-yale.html,"Sun, Jan 6, 2013",REG,/cbb/schools/yale/men/2013.html,Yale,/cbb/conferences/ivy/men/2013.html,Ivy,-3.94,W,79,58,10,2,W 2,John J. Lee Amphitheater,/cbb/schools/florida/men/2013.html,@
12,/cbb/boxscores/2013-01-09-florida.html,"Wed, Jan 9, 2013",REG,/cbb/schools/georgia/men/2013.html,Georgia,/cbb/conferences/sec/men/2013.html,SEC,5.39,W,77,44,11,2,W 3,Stephen C. O''Connell Center,/cbb/schools/florida/men/2013.html,
13,/cbb/boxscores/2013-01-12-louisiana-state.html,"Sat, Jan 12, 2013",REG,/cbb/schools/louisiana-state/men/2013.html,Louisiana State,/cbb/conferences/sec/men/2013.html,SEC,5.82,W,74,52,12,2,W 4,Maravich Assembly Center,/cbb/schools/florida/men/2013.html,@
14,/cbb/boxscores/2013-01-17-texas-am.html,"Thu, Jan 17, 2013",REG,/cbb/schools/texas-am/men/2013.html,Texas A&M,/cbb/conferences/sec/men/2013.html,SEC,6.51,W,68,47,13,2,W 5,Reed Arena,/cbb/schools/florida/men/2013.html,@
15,/cbb/boxscores/2013-01-19-florida.html,"Sat, Jan 19, 2013",REG,/cbb/schools/missouri/men/2013.html,Missouri,/cbb/conferences/sec/men/2013.html,SEC,15.42,W,83,52,14,2,W 6,Stephen C. O''Connell Center,/cbb/schools/florida/men/2013.html,
16,/cbb/boxscores/2013-01-23-georgia.html,"Wed, Jan 23, 2013",REG,/cbb/schools/georgia/men/2013.html,Georgia,/cbb/conferences/sec/men/2013.html,SEC,5.39,W,64,47,15,2,W 7,Stegeman Coliseum,/cbb/schools/florida/men/2013.html,@
17,/cbb/boxscores/2013-01-26-mississippi-state.html,"Sat, Jan 26, 2013",REG,/cbb/schools/mississippi-state/men/2013.html,Mississippi State,/cbb/conferences/sec/men/2013.html,SEC,-4.52,W,82,47,16,2,W 8,Humphrey Coliseum,/cbb/schools/florida/men/2013.html,@
18,/cbb/boxscores/2013-01-30-florida.html,"Wed, Jan 30, 2013",REG,/cbb/schools/south-carolina/men/2013.html,South Carolina,/cbb/conferences/sec/men/2013.html,SEC,-0.68,W,75,36,17,2,W 9,Stephen C. O''Connell Center,/cbb/schools/florida/men/2013.html,
19,/cbb/boxscores/2013-02-02-florida.html,"Sat, Feb 2, 2013",REG,/cbb/schools/mississippi/men/2013.html,Mississippi,/cbb/conferences/sec/men/2013.html,SEC,14.44,W,78,64,18,2,W 10,Stephen C. O''Connell Center,/cbb/schools/florida/men/2013.html,
20,/cbb/boxscores/2013-02-05-arkansas.html,"Tue, Feb 5, 2013",REG,/cbb/schools/arkansas/men/2013.html,Arkansas,/cbb/conferences/sec/men/2013.html,SEC,9.83,L,69,80,18,3,L 1,Bud Walton Arena,/cbb/schools/florida/men/2013.html,@
21,/cbb/boxscores/2013-02-09-florida.html,"Sat, Feb 9, 2013",REG,/cbb/schools/mississippi-state/men/2013.html,Mississippi State,/cbb/conferences/sec/men/2013.html,SEC,-4.52,W,83,58,19,3,W 1,Stephen C. O''Connell Center,/cbb/schools/florida/men/2013.html,
22,/cbb/boxscores/2013-02-12-florida.html,"Tue, Feb 12, 2013",REG,/cbb/schools/kentucky/men/2013.html,Kentucky,/cbb/conferences/sec/men/2013.html,SEC,13.96,W,69,52,20,3,W 2,Stephen C. O''Connell Center,/cbb/schools/florida/men/2013.html,
23,/cbb/boxscores/2013-02-16-auburn.html,"Sat, Feb 16, 2013",REG,/cbb/schools/auburn/men/2013.html,Auburn,/cbb/conferences/sec/men/2013.html,SEC,0.23,W,83,52,21,3,W 3,Auburn Arena,/cbb/schools/florida/men/2013.html,@
24,/cbb/boxscores/2013-02-19-missouri.html,"Tue, Feb 19, 2013",REG,/cbb/schools/missouri/men/2013.html,Missouri,/cbb/conferences/sec/men/2013.html,SEC,15.42,L,60,63,21,4,L 1,Mizzou Arena,/cbb/schools/florida/men/2013.html,@
