,boxScorelink,date,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs,overtimes
0,/cbb/boxscores/2012-11-09-harvard.html,"Fri, Nov 9, 2012",REG,Massachusetts Institute of Technology,,W,69,54,1,0,W 1,Lavietes Pavilion,/cbb/schools/harvard/men/2013.html,,,,,
1,/cbb/boxscores/2012-11-13-massachusetts.html,"Tue, Nov 13, 2012",REG,Massachusetts,A-10,L,64,67,1,1,L 1,Mullins Center,/cbb/schools/harvard/men/2013.html,@,/cbb/schools/massachusetts/men/2013.html,/cbb/conferences/atlantic-10/men/2013.html,5.84,
2,/cbb/boxscores/2012-11-16-harvard.html,"Fri, Nov 16, 2012",REG,Manhattan,MAAC,W,79,45,2,1,W 1,Lavietes Pavilion,/cbb/schools/harvard/men/2013.html,,/cbb/schools/manhattan/men/2013.html,/cbb/conferences/maac/men/2013.html,-1.96,
3,/cbb/boxscores/2012-11-20-saint-josephs.html,"Tue, Nov 20, 2012",REG,Saint Joseph's,A-10,L,56,75,2,2,L 1,Hagan Arena,/cbb/schools/harvard/men/2013.html,@,/cbb/schools/saint-josephs/men/2013.html,/cbb/conferences/atlantic-10/men/2013.html,7.33,
4,/cbb/boxscores/2012-11-27-harvard.html,"Tue, Nov 27, 2012",REG,Vermont,AEC,L,78,85,2,3,L 2,Lavietes Pavilion,/cbb/schools/harvard/men/2013.html,,/cbb/schools/vermont/men/2013.html,/cbb/conferences/america-east/men/2013.html,-0.12,
5,/cbb/boxscores/2012-12-01-harvard.html,"Sat, Dec 1, 2012",REG,Fordham,A-10,W,73,64,3,3,W 1,Lavietes Pavilion,/cbb/schools/harvard/men/2013.html,,/cbb/schools/fordham/men/2013.html,/cbb/conferences/atlantic-10/men/2013.html,-6.88,
6,/cbb/boxscores/2012-12-04-boston-college.html,"Tue, Dec 4, 2012",REG,Boston College,ACC,W,79,63,4,3,W 2,Silvio O. Conte Forum,/cbb/schools/harvard/men/2013.html,@,/cbb/schools/boston-college/men/2013.html,/cbb/conferences/acc/men/2013.html,6.11,
7,/cbb/boxscores/2012-12-07-connecticut.html,"Fri, Dec 7, 2012",REG,Connecticut,Big East,L,49,57,4,4,L 1,Harry A. Gampel Pavilion,/cbb/schools/harvard/men/2013.html,@,/cbb/schools/connecticut/men/2013.html,/cbb/conferences/big-east/men/2013.html,11.89,
8,/cbb/boxscores/2012-12-11-harvard.html,"Tue, Dec 11, 2012",REG,Boston University,AEC,W,65,64,5,4,W 1,Lavietes Pavilion,/cbb/schools/harvard/men/2013.html,,/cbb/schools/boston-university/men/2013.html,/cbb/conferences/america-east/men/2013.html,-0.58,
9,/cbb/boxscores/2012-12-22-harvard.html,"Sat, Dec 22, 2012",REG,Holy Cross,Patriot,W,72,65,6,4,W 2,Lavietes Pavilion,/cbb/schools/harvard/men/2013.html,,/cbb/schools/holy-cross/men/2013.html,/cbb/conferences/patriot/men/2013.html,-6.12,
