,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2012-11-15-ucla.html,"Thu, Nov 15, 2012",REG,@,/cbb/schools/ucla/men/2013.html,UCLA,/cbb/conferences/pac-12/men/2013.html,Pac-12,12.82,L,70,100,0,1,L 1,Pauley Pavilion,/cbb/schools/james-madison/men/2013.html,
1,/cbb/boxscores/2012-11-19-duquesne.html,"Mon, Nov 19, 2012",REG,@,/cbb/schools/duquesne/men/2013.html,Duquesne,/cbb/conferences/atlantic-10/men/2013.html,A-10,-4.52,L,88,90,0,2,L 2,A.J. Palumbo Center,/cbb/schools/james-madison/men/2013.html,OT
2,/cbb/boxscores/2012-11-20-james-madison.html,"Tue, Nov 20, 2012",REG,N,/cbb/schools/youngstown-state/men/2013.html,Youngstown State,/cbb/conferences/horizon/men/2013.html,Horizon,-2.13,W,69,68,1,2,W 1,A.J. Palumbo Center,/cbb/schools/james-madison/men/2013.html,
3,/cbb/boxscores/2012-11-21-james-madison.html,"Wed, Nov 21, 2012",REG,N,/cbb/schools/north-dakota-state/men/2013.html,North Dakota State,/cbb/conferences/summit/men/2013.html,Summit,5.21,L,44,66,1,3,L 1,A.J. Palumbo Center,/cbb/schools/james-madison/men/2013.html,
4,/cbb/boxscores/2012-11-24-miami-oh.html,"Sat, Nov 24, 2012",REG,@,/cbb/schools/miami-oh/men/2013.html,Miami (OH),/cbb/conferences/mac/men/2013.html,MAC,-6.62,L,58,76,1,4,L 2,Millett Hall,/cbb/schools/james-madison/men/2013.html,
5,/cbb/boxscores/2012-11-28-james-madison.html,"Wed, Nov 28, 2012",REG,,/cbb/schools/george-washington/men/2013.html,George Washington,/cbb/conferences/atlantic-10/men/2013.html,A-10,4.24,L,53,54,1,5,L 3,JMU Convocation Center,/cbb/schools/james-madison/men/2013.html,
6,/cbb/boxscores/2012-12-01-james-madison.html,"Sat, Dec 1, 2012",REG,,/cbb/schools/winthrop/men/2013.html,Winthrop,/cbb/conferences/big-south/men/2013.html,Big South,-8.57,W,71,61,2,5,W 1,JMU Convocation Center,/cbb/schools/james-madison/men/2013.html,
7,/cbb/boxscores/2012-12-05-james-madison.html,"Wed, Dec 5, 2012",REG,,/cbb/schools/east-tennessee-state/men/2013.html,East Tennessee State,/cbb/conferences/atlantic-sun/men/2013.html,A-Sun,-11.53,W,70,45,3,5,W 2,JMU Convocation Center,/cbb/schools/james-madison/men/2013.html,
8,/cbb/boxscores/2012-12-08-james-madison.html,"Sat, Dec 8, 2012",REG,,/cbb/schools/richmond/men/2013.html,Richmond,/cbb/conferences/atlantic-10/men/2013.html,A-10,6.92,L,82,83,3,6,L 1,JMU Convocation Center,/cbb/schools/james-madison/men/2013.html,OT
9,/cbb/boxscores/2012-12-16-james-madison.html,"Sun, Dec 16, 2012",REG,,/cbb/schools/north-carolina-greensboro/men/2013.html,UNC Greensboro,/cbb/conferences/southern/men/2013.html,Southern,-9.38,W,85,73,4,6,W 1,JMU Convocation Center,/cbb/schools/james-madison/men/2013.html,
10,/cbb/boxscores/2012-12-22-james-madison.html,"Sat, Dec 22, 2012",REG,N,/cbb/schools/san-jose-state/men/2013.html,San Jose State,/cbb/conferences/wac/men/2013.html,WAC,-9.43,W,77,68,5,6,W 2,MGM Grand Garden Arena,/cbb/schools/james-madison/men/2013.html,
11,/cbb/boxscores/2012-12-23-james-madison.html,"Sun, Dec 23, 2012",REG,N,/cbb/schools/san-diego/men/2013.html,San Diego,/cbb/conferences/wcc/men/2013.html,WCC,-0.60,W,62,59,6,6,W 3,MGM Grand Garden Arena,/cbb/schools/james-madison/men/2013.html,
12,/cbb/boxscores/2013-01-02-old-dominion.html,"Wed, Jan 2, 2013",REG,@,/cbb/schools/old-dominion/men/2013.html,Old Dominion,/cbb/conferences/colonial/men/2013.html,CAA,-7.56,W,58,55,7,6,W 4,Ted Constant Convocaation Center,/cbb/schools/james-madison/men/2013.html,
13,/cbb/boxscores/2013-01-05-georgia-state.html,"Sat, Jan 5, 2013",REG,@,/cbb/schools/georgia-state/men/2013.html,Georgia State,/cbb/conferences/colonial/men/2013.html,CAA,-2.01,L,52,68,7,7,L 1,GSU Sports Arena,/cbb/schools/james-madison/men/2013.html,
14,/cbb/boxscores/2013-01-07-hampton.html,"Mon, Jan 7, 2013",REG,@,/cbb/schools/hampton/men/2013.html,Hampton,/cbb/conferences/meac/men/2013.html,MEAC,-9.32,L,65,69,7,8,L 2,Convocation Center,/cbb/schools/james-madison/men/2013.html,
15,/cbb/boxscores/2013-01-09-james-madison.html,"Wed, Jan 9, 2013",REG,,/cbb/schools/north-carolina-wilmington/men/2013.html,UNC Wilmington,/cbb/conferences/colonial/men/2013.html,CAA,-10.07,W,78,50,8,8,W 1,JMU Convocation Center,/cbb/schools/james-madison/men/2013.html,
16,/cbb/boxscores/2013-01-12-james-madison.html,"Sat, Jan 12, 2013",REG,,/cbb/schools/drexel/men/2013.html,Drexel,/cbb/conferences/colonial/men/2013.html,CAA,-1.06,W,51,43,9,8,W 2,JMU Convocation Center,/cbb/schools/james-madison/men/2013.html,
17,/cbb/boxscores/2013-01-15-george-mason.html,"Tue, Jan 15, 2013",REG,@,/cbb/schools/george-mason/men/2013.html,George Mason,/cbb/conferences/colonial/men/2013.html,CAA,2.03,L,57,68,9,9,L 1,Patriot Center,/cbb/schools/james-madison/men/2013.html,
