,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2012-11-10-la-salle.html,"Sat, Nov 10, 2012",REG,/cbb/schools/delaware/men/2013.html,Delaware,/cbb/conferences/colonial/men/2013.html,CAA,-0.76,W,73,66,1,0,W 1,Tom Gola Arena,/cbb/schools/la-salle/men/2013.html,,
1,/cbb/boxscores/2012-11-18-la-salle.html,"Sun, Nov 18, 2012",REG,/cbb/schools/central-connecticut-state/men/2013.html,Central Connecticut State,/cbb/conferences/northeast/men/2013.html,NEC,-8.23,L,74,81,1,1,L 1,Tom Gola Arena,/cbb/schools/la-salle/men/2013.html,,
2,/cbb/boxscores/2012-11-20-hartford.html,"Tue, Nov 20, 2012",REG,/cbb/schools/hartford/men/2013.html,Hartford,/cbb/conferences/america-east/men/2013.html,AEC,-5.83,W,64,51,2,1,W 1,Chase Arena at Reich Family Pavilion,/cbb/schools/la-salle/men/2013.html,@,
3,/cbb/boxscores/2012-11-25-la-salle.html,"Sun, Nov 25, 2012",REG,/cbb/schools/villanova/men/2013.html,Villanova,/cbb/conferences/big-east/men/2013.html,Big East,10.75,W,77,74,3,1,W 2,,/cbb/schools/la-salle/men/2013.html,,OT
4,/cbb/boxscores/2012-11-29-rider.html,"Thu, Nov 29, 2012",REG,/cbb/schools/rider/men/2013.html,Rider,/cbb/conferences/maac/men/2013.html,MAAC,-1.19,W,63,52,4,1,W 3,Alumni Gymnasium,/cbb/schools/la-salle/men/2013.html,@,
5,/cbb/boxscores/2012-12-05-la-salle.html,"Wed, Dec 5, 2012",REG,/cbb/schools/penn-state/men/2013.html,Penn State,/cbb/conferences/big-ten/men/2013.html,Big Ten,2.86,W,82,57,5,1,W 4,,/cbb/schools/la-salle/men/2013.html,,
6,/cbb/boxscores/2012-12-08-northeastern.html,"Sat, Dec 8, 2012",REG,/cbb/schools/northeastern/men/2013.html,Northeastern,/cbb/conferences/colonial/men/2013.html,CAA,-1.34,W,66,64,6,1,W 5,Matthews Arena,/cbb/schools/la-salle/men/2013.html,@,
7,/cbb/boxscores/2012-12-15-bucknell.html,"Sat, Dec 15, 2012",REG,/cbb/schools/bucknell/men/2013.html,Bucknell,/cbb/conferences/patriot/men/2013.html,Patriot,6.96,L,66,74,6,2,L 1,Sojka Pavilion,/cbb/schools/la-salle/men/2013.html,@,
8,/cbb/boxscores/2012-12-20-la-salle.html,"Thu, Dec 20, 2012",REG,/cbb/schools/iona/men/2013.html,Iona,/cbb/conferences/maac/men/2013.html,MAAC,4.06,W,88,74,7,2,W 1,Tom Gola Arena,/cbb/schools/la-salle/men/2013.html,,
9,/cbb/boxscores/2012-12-22-la-salle.html,"Sat, Dec 22, 2012",REG,/cbb/schools/sacred-heart/men/2013.html,Sacred Heart,/cbb/conferences/northeast/men/2013.html,NEC,-9.75,W,100,71,8,2,W 2,Tom Gola Arena,/cbb/schools/la-salle/men/2013.html,,
10,/cbb/boxscores/2012-12-29-siena.html,"Sat, Dec 29, 2012",REG,/cbb/schools/siena/men/2013.html,Siena,/cbb/conferences/maac/men/2013.html,MAAC,-10.23,W,80,52,9,2,W 3,Times Union Center,/cbb/schools/la-salle/men/2013.html,@,
11,/cbb/boxscores/2013-01-02-miami-fl.html,"Wed, Jan 2, 2013",REG,/cbb/schools/miami-fl/men/2013.html,Miami (FL),/cbb/conferences/acc/men/2013.html,ACC,16.98,L,59,76,9,3,L 1,BankUnited Center,/cbb/schools/la-salle/men/2013.html,@,
12,/cbb/boxscores/2013-01-05-la-salle.html,"Sat, Jan 5, 2013",REG,/cbb/schools/pennsylvania/men/2013.html,Pennsylvania,/cbb/conferences/ivy/men/2013.html,Ivy,-6.95,W,74,57,10,3,W 1,Tom Gola Arena,/cbb/schools/la-salle/men/2013.html,,
13,/cbb/boxscores/2013-01-09-charlotte.html,"Wed, Jan 9, 2013",REG,/cbb/schools/charlotte/men/2013.html,Charlotte,/cbb/conferences/atlantic-10/men/2013.html,A-10,2.72,L,65,74,10,4,L 1,Dale F. Halton Arena,/cbb/schools/la-salle/men/2013.html,@,
14,/cbb/boxscores/2013-01-12-la-salle.html,"Sat, Jan 12, 2013",REG,/cbb/schools/richmond/men/2013.html,Richmond,/cbb/conferences/atlantic-10/men/2013.html,A-10,6.92,W,71,59,11,4,W 1,Tom Gola Arena,/cbb/schools/la-salle/men/2013.html,,
15,/cbb/boxscores/2013-01-16-la-salle.html,"Wed, Jan 16, 2013",REG,/cbb/schools/dayton/men/2013.html,Dayton,/cbb/conferences/atlantic-10/men/2013.html,A-10,9.37,W,72,70,12,4,W 2,Tom Gola Arena,/cbb/schools/la-salle/men/2013.html,,
16,/cbb/boxscores/2013-01-19-xavier.html,"Sat, Jan 19, 2013",REG,/cbb/schools/xavier/men/2013.html,Xavier,/cbb/conferences/atlantic-10/men/2013.html,A-10,7.71,L,63,70,12,5,L 1,Cintas Center,/cbb/schools/la-salle/men/2013.html,@,
17,/cbb/boxscores/2013-01-23-la-salle.html,"Wed, Jan 23, 2013",REG,/cbb/schools/butler/men/2013.html,Butler,/cbb/conferences/atlantic-10/men/2013.html,A-10,11.01,W,54,53,13,5,W 1,Tom Gola Arena,/cbb/schools/la-salle/men/2013.html,,
18,/cbb/boxscores/2013-01-26-virginia-commonwealth.html,"Sat, Jan 26, 2013",REG,/cbb/schools/virginia-commonwealth/men/2013.html,Virginia Commonwealth,/cbb/conferences/atlantic-10/men/2013.html,A-10,16.97,W,69,61,14,5,W 2,Alltel Pavilion at the Stuart C. Siegel Center,/cbb/schools/la-salle/men/2013.html,@,
19,/cbb/boxscores/2013-01-30-la-salle.html,"Wed, Jan 30, 2013",REG,/cbb/schools/massachusetts/men/2013.html,Massachusetts,/cbb/conferences/atlantic-10/men/2013.html,A-10,5.84,L,60,61,14,6,L 1,Tom Gola Arena,/cbb/schools/la-salle/men/2013.html,,
20,/cbb/boxscores/2013-02-02-george-washington.html,"Sat, Feb 2, 2013",REG,/cbb/schools/george-washington/men/2013.html,George Washington,/cbb/conferences/atlantic-10/men/2013.html,A-10,4.24,W,80,71,15,6,W 1,Charles E. Smith Center,/cbb/schools/la-salle/men/2013.html,@,
21,/cbb/boxscores/2013-02-09-la-salle.html,"Sat, Feb 9, 2013",REG,/cbb/schools/fordham/men/2013.html,Fordham,/cbb/conferences/atlantic-10/men/2013.html,A-10,-6.88,W,89,53,16,6,W 2,Tom Gola Arena,/cbb/schools/la-salle/men/2013.html,,
22,/cbb/boxscores/2013-02-13-st-bonaventure.html,"Wed, Feb 13, 2013",REG,/cbb/schools/st-bonaventure/men/2013.html,St. Bonaventure,/cbb/conferences/atlantic-10/men/2013.html,A-10,3.45,W,69,66,17,6,W 3,Reilly Center,/cbb/schools/la-salle/men/2013.html,@,OT
23,/cbb/boxscores/2013-02-16-la-salle.html,"Sat, Feb 16, 2013",REG,/cbb/schools/saint-josephs/men/2013.html,Saint Joseph's,/cbb/conferences/atlantic-10/men/2013.html,A-10,7.33,W,76,64,18,6,W 4,,/cbb/schools/la-salle/men/2013.html,,
24,/cbb/boxscores/2013-02-21-temple.html,"Thu, Feb 21, 2013",REG,/cbb/schools/temple/men/2013.html,Temple,/cbb/conferences/atlantic-10/men/2013.html,A-10,9.54,L,74,82,18,7,L 1,Liacouras Center,/cbb/schools/la-salle/men/2013.html,@,
25,/cbb/boxscores/2013-02-24-rhode-island.html,"Sun, Feb 24, 2013",REG,/cbb/schools/rhode-island/men/2013.html,Rhode Island,/cbb/conferences/atlantic-10/men/2013.html,A-10,-0.58,W,72,65,19,7,W 1,Thomas M. Ryan Center,/cbb/schools/la-salle/men/2013.html,@,
26,/cbb/boxscores/2013-03-02-la-salle.html,"Sat, Mar 2, 2013",REG,/cbb/schools/duquesne/men/2013.html,Duquesne,/cbb/conferences/atlantic-10/men/2013.html,A-10,-4.52,W,97,64,20,7,W 2,Tom Gola Arena,/cbb/schools/la-salle/men/2013.html,,
27,/cbb/boxscores/2013-03-06-la-salle.html,"Wed, Mar 6, 2013",REG,/cbb/schools/george-washington/men/2013.html,George Washington,/cbb/conferences/atlantic-10/men/2013.html,A-10,4.24,W,84,70,21,7,W 3,Tom Gola Arena,/cbb/schools/la-salle/men/2013.html,,
28,/cbb/boxscores/2013-03-09-saint-louis.html,"Sat, Mar 9, 2013",REG,/cbb/schools/saint-louis/men/2013.html,Saint Louis,/cbb/conferences/atlantic-10/men/2013.html,A-10,14.35,L,54,78,21,8,L 1,Chaifetz Arena,/cbb/schools/la-salle/men/2013.html,@,
29,/cbb/boxscores/2013-03-15-butler.html,"Fri, Mar 15, 2013",CTOURN,/cbb/schools/butler/men/2013.html,Butler,/cbb/conferences/atlantic-10/men/2013.html,A-10,11.01,L,58,69,21,9,L 2,Barclays Center,/cbb/schools/la-salle/men/2013.html,N,
30,/cbb/boxscores/2013-03-20-boise-state.html,"Wed, Mar 20, 2013",NCAA,/cbb/schools/boise-state/men/2013.html,Boise State,/cbb/conferences/mwc/men/2013.html,MWC,9.38,W,80,71,22,9,W 1,University of Dayton Arena,/cbb/schools/la-salle/men/2013.html,N,
31,/cbb/boxscores/2013-03-22-kansas-state.html,"Fri, Mar 22, 2013",NCAA,/cbb/schools/kansas-state/men/2013.html,Kansas State,/cbb/conferences/big-12/men/2013.html,Big 12,13.54,W,63,61,23,9,W 2,Sprint Center,/cbb/schools/la-salle/men/2013.html,N,
32,/cbb/boxscores/2013-03-24-la-salle.html,"Sun, Mar 24, 2013",NCAA,/cbb/schools/mississippi/men/2013.html,Mississippi,/cbb/conferences/sec/men/2013.html,SEC,14.44,W,76,74,24,9,W 3,Sprint Center,/cbb/schools/la-salle/men/2013.html,N,
33,/cbb/boxscores/2013-03-28-la-salle.html,"Thu, Mar 28, 2013",NCAA,/cbb/schools/wichita-state/men/2013.html,Wichita State,/cbb/conferences/mvc/men/2013.html,MVC,14.68,L,58,72,24,10,L 1,Staples Center,/cbb/schools/la-salle/men/2013.html,N,
