,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2012-11-12-memphis.html,"Mon, Nov 12, 2012",REG,/cbb/schools/north-florida/men/2013.html,North Florida,/cbb/conferences/atlantic-sun/men/2013.html,A-Sun,-7.09,W,81,66,1,0,W 1,FedExForum,/cbb/schools/memphis/men/2013.html,,
1,/cbb/boxscores/2012-11-17-memphis.html,"Sat, Nov 17, 2012",REG,/cbb/schools/samford/men/2013.html,Samford,/cbb/conferences/southern/men/2013.html,Southern,-10.02,W,65,54,2,0,W 2,FedExForum,/cbb/schools/memphis/men/2013.html,,
2,/cbb/boxscores/2012-11-22-memphis.html,"Thu, Nov 22, 2012",REG,/cbb/schools/virginia-commonwealth/men/2013.html,Virginia Commonwealth,/cbb/conferences/atlantic-10/men/2013.html,A-10,16.97,L,65,78,2,1,L 1,Imperial Arena at Atlantis Resort,/cbb/schools/memphis/men/2013.html,N,
3,/cbb/boxscores/2012-11-23-memphis.html,"Fri, Nov 23, 2012",REG,/cbb/schools/minnesota/men/2013.html,Minnesota,/cbb/conferences/big-ten/men/2013.html,Big Ten,16.84,L,75,84,2,2,L 2,Imperial Arena at Atlantis Resort,/cbb/schools/memphis/men/2013.html,N,
4,/cbb/boxscores/2012-11-24-memphis.html,"Sat, Nov 24, 2012",REG,/cbb/schools/northern-iowa/men/2013.html,Northern Iowa,/cbb/conferences/mvc/men/2013.html,MVC,8.58,W,52,47,3,2,W 1,Imperial Arena at Atlantis Resort,/cbb/schools/memphis/men/2013.html,N,
5,/cbb/boxscores/2012-11-29-memphis.html,"Thu, Nov 29, 2012",REG,/cbb/schools/tennessee-martin/men/2013.html,Tennessee-Martin,/cbb/conferences/ovc/men/2013.html,OVC,-16.54,W,93,65,4,2,W 2,FedExForum,/cbb/schools/memphis/men/2013.html,,
6,/cbb/boxscores/2012-12-05-memphis.html,"Wed, Dec 5, 2012",REG,/cbb/schools/ohio/men/2013.html,Ohio,/cbb/conferences/mac/men/2013.html,MAC,6.95,W,84,58,5,2,W 3,FedExForum,/cbb/schools/memphis/men/2013.html,,
7,/cbb/boxscores/2012-12-08-memphis.html,"Sat, Dec 8, 2012",REG,/cbb/schools/austin-peay/men/2013.html,Austin Peay,/cbb/conferences/ovc/men/2013.html,OVC,-12.31,W,83,65,6,2,W 4,FedExForum,/cbb/schools/memphis/men/2013.html,,
8,/cbb/boxscores/2012-12-15-memphis.html,"Sat, Dec 15, 2012",REG,/cbb/schools/louisville/men/2013.html,Louisville,/cbb/conferences/big-east/men/2013.html,Big East,24.82,L,78,87,6,3,L 1,FedExForum,/cbb/schools/memphis/men/2013.html,,
9,/cbb/boxscores/2012-12-20-memphis.html,"Thu, Dec 20, 2012",REG,/cbb/schools/lipscomb/men/2013.html,Lipscomb,/cbb/conferences/atlantic-sun/men/2013.html,A-Sun,-11.41,W,62,56,7,3,W 1,FedExForum,/cbb/schools/memphis/men/2013.html,,
