,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2012-11-09-miami-fl.html,"Fri, Nov 9, 2012",REG,/cbb/schools/stetson/men/2013.html,Stetson,/cbb/conferences/atlantic-sun/men/2013.html,A-Sun,-6.13,W,87,79,1,0,W 1,BankUnited Center,/cbb/schools/miami-fl/men/2013.html,,
1,/cbb/boxscores/2012-11-13-florida-gulf-coast.html,"Tue, Nov 13, 2012",REG,/cbb/schools/florida-gulf-coast/men/2013.html,Florida Gulf Coast,/cbb/conferences/atlantic-sun/men/2013.html,A-Sun,3.01,L,51,63,1,1,L 1,Alico Arena,/cbb/schools/miami-fl/men/2013.html,@,
2,/cbb/boxscores/2012-11-16-miami-fl.html,"Fri, Nov 16, 2012",REG,/cbb/schools/jacksonville/men/2013.html,Jacksonville,/cbb/conferences/atlantic-sun/men/2013.html,A-Sun,-10.20,W,73,57,2,1,W 1,BankUnited Center,/cbb/schools/miami-fl/men/2013.html,,
3,/cbb/boxscores/2012-11-24-miami-fl.html,"Sat, Nov 24, 2012",REG,/cbb/schools/detroit-mercy/men/2013.html,Detroit Mercy,/cbb/conferences/horizon/men/2013.html,Horizon,6.72,W,77,62,3,1,W 2,BankUnited Center,/cbb/schools/miami-fl/men/2013.html,,
4,/cbb/boxscores/2012-11-28-miami-fl.html,"Wed, Nov 28, 2012",REG,/cbb/schools/michigan-state/men/2013.html,Michigan State,/cbb/conferences/big-ten/men/2013.html,Big Ten,18.63,W,67,59,4,1,W 3,BankUnited Center,/cbb/schools/miami-fl/men/2013.html,,
5,/cbb/boxscores/2012-12-01-massachusetts.html,"Sat, Dec 1, 2012",REG,/cbb/schools/massachusetts/men/2013.html,Massachusetts,/cbb/conferences/atlantic-10/men/2013.html,A-10,5.84,W,75,62,5,1,W 4,Mullins Center,/cbb/schools/miami-fl/men/2013.html,@,
6,/cbb/boxscores/2012-12-14-miami-fl.html,"Fri, Dec 14, 2012",REG,/cbb/schools/charlotte/men/2013.html,Charlotte,/cbb/conferences/atlantic-10/men/2013.html,A-10,2.72,W,77,46,6,1,W 5,BankUnited Center,/cbb/schools/miami-fl/men/2013.html,,
7,/cbb/boxscores/2012-12-18-central-florida.html,"Tue, Dec 18, 2012",REG,/cbb/schools/central-florida/men/2013.html,UCF,/cbb/conferences/cusa/men/2013.html,CUSA,3.46,W,72,50,7,1,W 6,New UCF Arena,/cbb/schools/miami-fl/men/2013.html,@,
8,/cbb/boxscores/2012-12-22-hawaii.html,"Sat, Dec 22, 2012",REG,/cbb/schools/hawaii/men/2013.html,Hawaii,/cbb/conferences/big-west/men/2013.html,Big West,-3.37,W,73,58,8,1,W 7,Stan Sheriff Center,/cbb/schools/miami-fl/men/2013.html,@,
9,/cbb/boxscores/2012-12-23-arizona.html,"Sun, Dec 23, 2012",REG,/cbb/schools/arizona/men/2013.html,Arizona,/cbb/conferences/pac-12/men/2013.html,Pac-12,17.31,L,50,69,8,2,L 1,,/cbb/schools/miami-fl/men/2013.html,N,
10,/cbb/boxscores/2012-12-25-indiana-state.html,"Tue, Dec 25, 2012",REG,/cbb/schools/indiana-state/men/2013.html,Indiana State,/cbb/conferences/mvc/men/2013.html,MVC,5.08,L,55,57,8,3,L 2,,/cbb/schools/miami-fl/men/2013.html,N,OT
11,/cbb/boxscores/2013-01-02-miami-fl.html,"Wed, Jan 2, 2013",REG,/cbb/schools/la-salle/men/2013.html,La Salle,/cbb/conferences/atlantic-10/men/2013.html,A-10,10.15,W,76,59,9,3,W 1,BankUnited Center,/cbb/schools/miami-fl/men/2013.html,,
12,/cbb/boxscores/2013-01-05-georgia-tech.html,"Sat, Jan 5, 2013",REG,/cbb/schools/georgia-tech/men/2013.html,Georgia Tech,/cbb/conferences/acc/men/2013.html,ACC,6.62,W,62,49,10,3,W 2,McCamish Pavilion,/cbb/schools/miami-fl/men/2013.html,@,
13,/cbb/boxscores/2013-01-10-north-carolina.html,"Thu, Jan 10, 2013",REG,/cbb/schools/north-carolina/men/2013.html,North Carolina,/cbb/conferences/acc/men/2013.html,ACC,14.57,W,68,59,11,3,W 3,Dean Smith Center,/cbb/schools/miami-fl/men/2013.html,@,
14,/cbb/boxscores/2013-01-13-miami-fl.html,"Sun, Jan 13, 2013",REG,/cbb/schools/maryland/men/2013.html,Maryland,/cbb/conferences/acc/men/2013.html,ACC,11.39,W,54,47,12,3,W 4,BankUnited Center,/cbb/schools/miami-fl/men/2013.html,,
15,/cbb/boxscores/2013-01-16-boston-college.html,"Wed, Jan 16, 2013",REG,/cbb/schools/boston-college/men/2013.html,Boston College,/cbb/conferences/acc/men/2013.html,ACC,6.11,W,60,59,13,3,W 5,Silvio O. Conte Forum,/cbb/schools/miami-fl/men/2013.html,@,
16,/cbb/boxscores/2013-01-23-miami-fl.html,"Wed, Jan 23, 2013",REG,/cbb/schools/duke/men/2013.html,Duke,/cbb/conferences/acc/men/2013.html,ACC,21.46,W,90,63,14,3,W 6,BankUnited Center,/cbb/schools/miami-fl/men/2013.html,,
17,/cbb/boxscores/2013-01-27-miami-fl.html,"Sun, Jan 27, 2013",REG,/cbb/schools/florida-state/men/2013.html,Florida State,/cbb/conferences/acc/men/2013.html,ACC,5.71,W,71,47,15,3,W 7,BankUnited Center,/cbb/schools/miami-fl/men/2013.html,,
18,/cbb/boxscores/2013-01-30-virginia-tech.html,"Wed, Jan 30, 2013",REG,/cbb/schools/virginia-tech/men/2013.html,Virginia Tech,/cbb/conferences/acc/men/2013.html,ACC,1.80,W,73,64,16,3,W 8,Cassell Coliseum,/cbb/schools/miami-fl/men/2013.html,@,
19,/cbb/boxscores/2013-02-02-north-carolina-state.html,"Sat, Feb 2, 2013",REG,/cbb/schools/north-carolina-state/men/2013.html,NC State,/cbb/conferences/acc/men/2013.html,ACC,14.34,W,79,78,17,3,W 9,RBC Center,/cbb/schools/miami-fl/men/2013.html,@,
20,/cbb/boxscores/2013-02-05-miami-fl.html,"Tue, Feb 5, 2013",REG,/cbb/schools/boston-college/men/2013.html,Boston College,/cbb/conferences/acc/men/2013.html,ACC,6.11,W,72,50,18,3,W 10,BankUnited Center,/cbb/schools/miami-fl/men/2013.html,,
21,/cbb/boxscores/2013-02-09-miami-fl.html,"Sat, Feb 9, 2013",REG,/cbb/schools/north-carolina/men/2013.html,North Carolina,/cbb/conferences/acc/men/2013.html,ACC,14.57,W,87,61,19,3,W 11,BankUnited Center,/cbb/schools/miami-fl/men/2013.html,,
22,/cbb/boxscores/2013-02-13-florida-state.html,"Wed, Feb 13, 2013",REG,/cbb/schools/florida-state/men/2013.html,Florida State,/cbb/conferences/acc/men/2013.html,ACC,5.71,W,74,68,20,3,W 12,Donald L. Tucker Civic Center,/cbb/schools/miami-fl/men/2013.html,@,
23,/cbb/boxscores/2013-02-17-clemson.html,"Sun, Feb 17, 2013",REG,/cbb/schools/clemson/men/2013.html,Clemson,/cbb/conferences/acc/men/2013.html,ACC,5.85,W,45,43,21,3,W 13,Littlejohn Coliseum,/cbb/schools/miami-fl/men/2013.html,@,
24,/cbb/boxscores/2013-02-19-miami-fl.html,"Tue, Feb 19, 2013",REG,/cbb/schools/virginia/men/2013.html,Virginia,/cbb/conferences/acc/men/2013.html,ACC,12.91,W,54,50,22,3,W 14,BankUnited Center,/cbb/schools/miami-fl/men/2013.html,,
25,/cbb/boxscores/2013-02-23-wake-forest.html,"Sat, Feb 23, 2013",REG,/cbb/schools/wake-forest/men/2013.html,Wake Forest,/cbb/conferences/acc/men/2013.html,ACC,3.44,L,65,80,22,4,L 1,Lawrence Joel Veterans Memorial Coliseum,/cbb/schools/miami-fl/men/2013.html,@,
26,/cbb/boxscores/2013-02-27-miami-fl.html,"Wed, Feb 27, 2013",REG,/cbb/schools/virginia-tech/men/2013.html,Virginia Tech,/cbb/conferences/acc/men/2013.html,ACC,1.80,W,76,58,23,4,W 1,BankUnited Center,/cbb/schools/miami-fl/men/2013.html,,
27,/cbb/boxscores/2013-03-02-duke.html,"Sat, Mar 2, 2013",REG,/cbb/schools/duke/men/2013.html,Duke,/cbb/conferences/acc/men/2013.html,ACC,21.46,L,76,79,23,5,L 1,Cameron Indoor Stadium,/cbb/schools/miami-fl/men/2013.html,@,
28,/cbb/boxscores/2013-03-06-miami-fl.html,"Wed, Mar 6, 2013",REG,/cbb/schools/georgia-tech/men/2013.html,Georgia Tech,/cbb/conferences/acc/men/2013.html,ACC,6.62,L,69,71,23,6,L 2,BankUnited Center,/cbb/schools/miami-fl/men/2013.html,,
29,/cbb/boxscores/2013-03-09-miami-fl.html,"Sat, Mar 9, 2013",REG,/cbb/schools/clemson/men/2013.html,Clemson,/cbb/conferences/acc/men/2013.html,ACC,5.85,W,62,49,24,6,W 1,BankUnited Center,/cbb/schools/miami-fl/men/2013.html,,
30,/cbb/boxscores/2013-03-15-boston-college.html,"Fri, Mar 15, 2013",CTOURN,/cbb/schools/boston-college/men/2013.html,Boston College,/cbb/conferences/acc/men/2013.html,ACC,6.11,W,69,58,25,6,W 2,Greensboro Coliseum,/cbb/schools/miami-fl/men/2013.html,N,
31,/cbb/boxscores/2013-03-16-miami-fl.html,"Sat, Mar 16, 2013",CTOURN,/cbb/schools/north-carolina-state/men/2013.html,NC State,/cbb/conferences/acc/men/2013.html,ACC,14.34,W,81,71,26,6,W 3,,/cbb/schools/miami-fl/men/2013.html,N,
32,/cbb/boxscores/2013-03-17-miami-fl.html,"Sun, Mar 17, 2013",CTOURN,/cbb/schools/north-carolina/men/2013.html,North Carolina,/cbb/conferences/acc/men/2013.html,ACC,14.57,W,87,77,27,6,W 4,,/cbb/schools/miami-fl/men/2013.html,N,
33,/cbb/boxscores/2013-03-22-miami-fl.html,"Fri, Mar 22, 2013",NCAA,/cbb/schools/pacific/men/2013.html,Pacific,/cbb/conferences/big-west/men/2013.html,Big West,1.67,W,78,49,28,6,W 5,Frank Erwin Center,/cbb/schools/miami-fl/men/2013.html,N,
34,/cbb/boxscores/2013-03-24-illinois.html,"Sun, Mar 24, 2013",NCAA,/cbb/schools/illinois/men/2013.html,Illinois,/cbb/conferences/big-ten/men/2013.html,Big Ten,13.18,W,63,59,29,6,W 6,Frank Erwin Center,/cbb/schools/miami-fl/men/2013.html,N,
35,/cbb/boxscores/2013-03-28-marquette.html,"Thu, Mar 28, 2013",NCAA,/cbb/schools/marquette/men/2013.html,Marquette,/cbb/conferences/big-east/men/2013.html,Big East,14.05,L,61,71,29,7,L 1,Verizon Center,/cbb/schools/miami-fl/men/2013.html,N,
