,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink
0,/cbb/boxscores/2012-11-09-connecticut.html,"Fri, Nov 9, 2012",REG,N,/cbb/schools/connecticut/men/2013.html,Connecticut,/cbb/conferences/big-east/men/2013.html,Big East,11.89,L,62,66,0,1,L 1,Harry A. Gampel Pavilion,/cbb/schools/michigan-state/men/2013.html
1,/cbb/boxscores/2012-11-13-kansas.html,"Tue, Nov 13, 2012",REG,N,/cbb/schools/kansas/men/2013.html,Kansas,/cbb/conferences/big-12/men/2013.html,Big 12,20.79,W,67,64,1,1,W 1,Georgia Dome,/cbb/schools/michigan-state/men/2013.html
2,/cbb/boxscores/2012-11-18-michigan-state.html,"Sun, Nov 18, 2012",REG,,/cbb/schools/texas-southern/men/2013.html,Texas Southern,/cbb/conferences/swac/men/2013.html,SWAC,-2.12,W,69,41,2,1,W 2,Breslin Student Events Center,/cbb/schools/michigan-state/men/2013.html
3,/cbb/boxscores/2012-11-20-michigan-state.html,"Tue, Nov 20, 2012",REG,,/cbb/schools/boise-state/men/2013.html,Boise State,/cbb/conferences/mwc/men/2013.html,MWC,9.38,W,74,70,3,1,W 3,Breslin Student Events Center,/cbb/schools/michigan-state/men/2013.html
4,/cbb/boxscores/2012-11-23-michigan-state.html,"Fri, Nov 23, 2012",REG,,/cbb/schools/oakland/men/2013.html,Oakland,/cbb/conferences/summit/men/2013.html,Summit,-4.38,W,70,52,4,1,W 4,Breslin Student Events Center,/cbb/schools/michigan-state/men/2013.html
5,/cbb/boxscores/2012-11-25-michigan-state.html,"Sun, Nov 25, 2012",REG,,/cbb/schools/louisiana-lafayette/men/2013.html,Louisiana,/cbb/conferences/sun-belt/men/2013.html,Sun Belt,-4.90,W,63,60,5,1,W 5,Breslin Student Events Center,/cbb/schools/michigan-state/men/2013.html
6,/cbb/boxscores/2012-11-28-miami-fl.html,"Wed, Nov 28, 2012",REG,@,/cbb/schools/miami-fl/men/2013.html,Miami (FL),/cbb/conferences/acc/men/2013.html,ACC,16.98,L,59,67,5,2,L 1,BankUnited Center,/cbb/schools/michigan-state/men/2013.html
7,/cbb/boxscores/2012-12-01-michigan-state.html,"Sat, Dec 1, 2012",REG,,/cbb/schools/nicholls-state/men/2013.html,Nicholls State,/cbb/conferences/southland/men/2013.html,Southland,-10.56,W,84,39,6,2,W 1,Breslin Student Events Center,/cbb/schools/michigan-state/men/2013.html
8,/cbb/boxscores/2012-12-05-michigan-state.html,"Wed, Dec 5, 2012",REG,,/cbb/schools/arkansas-pine-bluff/men/2013.html,Arkansas-Pine Bluff,/cbb/conferences/swac/men/2013.html,SWAC,-12.21,W,76,44,7,2,W 2,Breslin Student Events Center,/cbb/schools/michigan-state/men/2013.html
9,/cbb/boxscores/2012-12-08-michigan-state.html,"Sat, Dec 8, 2012",REG,,/cbb/schools/loyola-il/men/2013.html,Loyola (IL),/cbb/conferences/horizon/men/2013.html,Horizon,-1.02,W,73,61,8,2,W 3,Breslin Student Events Center,/cbb/schools/michigan-state/men/2013.html
10,/cbb/boxscores/2012-12-15-michigan-state.html,"Sat, Dec 15, 2012",REG,,,Tuskegee,,,,W,92,56,9,2,W 4,Breslin Student Events Center,/cbb/schools/michigan-state/men/2013.html
