,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2012-11-09-middle-tennessee.html,"Fri, Nov 9, 2012",REG,/cbb/schools/alabama-state/men/2013.html,Alabama State,/cbb/conferences/swac/men/2013.html,SWAC,-17.90,W,97,53,1,0,W 1,Murphy Center,/cbb/schools/middle-tennessee/men/2013.html,,
1,/cbb/boxscores/2012-11-13-savannah-state.html,"Tue, Nov 13, 2012",REG,/cbb/schools/savannah-state/men/2013.html,Savannah State,/cbb/conferences/meac/men/2013.html,MEAC,-5.40,W,58,55,2,0,W 2,Tiger Arena,/cbb/schools/middle-tennessee/men/2013.html,@,
2,/cbb/boxscores/2012-11-18-florida.html,"Sun, Nov 18, 2012",REG,/cbb/schools/florida/men/2013.html,Florida,/cbb/conferences/sec/men/2013.html,SEC,23.88,L,45,66,2,1,L 1,Stephen C. O''Connell Center,/cbb/schools/middle-tennessee/men/2013.html,N,
3,/cbb/boxscores/2012-11-20-central-florida.html,"Tue, Nov 20, 2012",REG,/cbb/schools/central-florida/men/2013.html,UCF,/cbb/conferences/cusa/men/2013.html,CUSA,3.46,W,75,61,3,1,W 1,New UCF Arena,/cbb/schools/middle-tennessee/men/2013.html,@,
4,/cbb/boxscores/2012-11-24-middle-tennessee.html,"Sat, Nov 24, 2012",REG,/cbb/schools/texas-southern/men/2013.html,Texas Southern,/cbb/conferences/swac/men/2013.html,SWAC,-2.12,W,79,52,4,1,W 2,Murphy Center,/cbb/schools/middle-tennessee/men/2013.html,,
5,/cbb/boxscores/2012-11-29-louisiana-lafayette.html,"Thu, Nov 29, 2012",REG,/cbb/schools/louisiana-lafayette/men/2013.html,Louisiana,/cbb/conferences/sun-belt/men/2013.html,Sun Belt,-4.90,W,72,58,5,1,W 3,Cajundome,/cbb/schools/middle-tennessee/men/2013.html,@,
6,/cbb/boxscores/2012-12-02-akron.html,"Sun, Dec 2, 2012",REG,/cbb/schools/akron/men/2013.html,Akron,/cbb/conferences/mac/men/2013.html,MAC,8.12,L,77,82,5,2,L 1,James A. Rhodes Arena,/cbb/schools/middle-tennessee/men/2013.html,@,OT
7,/cbb/boxscores/2012-12-05-middle-tennessee.html,"Wed, Dec 5, 2012",REG,/cbb/schools/alabama-birmingham/men/2013.html,UAB,/cbb/conferences/cusa/men/2013.html,CUSA,0.27,W,84,64,6,2,W 1,Murphy Center,/cbb/schools/middle-tennessee/men/2013.html,,
8,/cbb/boxscores/2012-12-08-middle-tennessee.html,"Sat, Dec 8, 2012",REG,/cbb/schools/mississippi/men/2013.html,Mississippi,/cbb/conferences/sec/men/2013.html,SEC,14.44,W,65,62,7,2,W 2,Murphy Center,/cbb/schools/middle-tennessee/men/2013.html,,
9,/cbb/boxscores/2012-12-13-belmont.html,"Thu, Dec 13, 2012",REG,/cbb/schools/belmont/men/2013.html,Belmont,/cbb/conferences/ovc/men/2013.html,OVC,10.41,L,49,64,7,3,L 1,Curb Event Center,/cbb/schools/middle-tennessee/men/2013.html,@,
