,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2012-11-09-colorado-state.html,"Fri, Nov 9, 2012",REG,@,/cbb/schools/colorado-state/men/2013.html,Colorado State,/cbb/conferences/mwc/men/2013.html,MWC,13.60,L,65,72,0,1,L 1,Moby Arena,/cbb/schools/montana/men/2013.html,
1,/cbb/boxscores/2012-11-14-montana.html,"Wed, Nov 14, 2012",REG,,,Minot State,,,,W,82,53,1,1,W 1,Dahlberg Arena,/cbb/schools/montana/men/2013.html,
2,/cbb/boxscores/2012-11-17-idaho.html,"Sat, Nov 17, 2012",REG,@,/cbb/schools/idaho/men/2013.html,Idaho,/cbb/conferences/wac/men/2013.html,WAC,-2.23,W,66,63,2,1,W 2,Cowan Spectrum,/cbb/schools/montana/men/2013.html,
3,/cbb/boxscores/2012-11-24-montana.html,"Sat, Nov 24, 2012",REG,,/cbb/schools/san-diego/men/2013.html,San Diego,/cbb/conferences/wcc/men/2013.html,WCC,-0.60,W,67,66,3,1,W 3,Dahlberg Arena,/cbb/schools/montana/men/2013.html,
4,/cbb/boxscores/2012-11-28-brigham-young.html,"Wed, Nov 28, 2012",REG,N,/cbb/schools/brigham-young/men/2013.html,Brigham Young,/cbb/conferences/wcc/men/2013.html,WCC,10.63,L,60,85,3,2,L 1,Marriott Center,/cbb/schools/montana/men/2013.html,
5,/cbb/boxscores/2012-11-30-san-francisco.html,"Fri, Nov 30, 2012",REG,@,/cbb/schools/san-francisco/men/2013.html,San Francisco,/cbb/conferences/wcc/men/2013.html,WCC,2.44,L,68,78,3,3,L 2,War Memorial Gymnasium,/cbb/schools/montana/men/2013.html,
6,/cbb/boxscores/2012-12-08-montana.html,"Sat, Dec 8, 2012",REG,,,Carroll (MT),,,,W,78,58,4,3,W 1,Dahlberg Arena,/cbb/schools/montana/men/2013.html,
7,/cbb/boxscores/2012-12-15-montana.html,"Sat, Dec 15, 2012",REG,,/cbb/schools/south-dakota-state/men/2013.html,South Dakota State,/cbb/conferences/summit/men/2013.html,Summit,2.35,L,67,68,4,4,L 1,Dahlberg Arena,/cbb/schools/montana/men/2013.html,2OT
8,/cbb/boxscores/2012-12-19-northern-arizona.html,"Wed, Dec 19, 2012",REG,@,/cbb/schools/northern-arizona/men/2013.html,Northern Arizona,/cbb/conferences/big-sky/men/2013.html,Big Sky,-12.15,W,62,56,5,4,W 1,Walkup Skydome,/cbb/schools/montana/men/2013.html,
9,/cbb/boxscores/2012-12-21-sacramento-state.html,"Fri, Dec 21, 2012",REG,@,/cbb/schools/sacramento-state/men/2013.html,Sacramento State,/cbb/conferences/big-sky/men/2013.html,Big Sky,-9.50,W,61,60,6,4,W 2,Hornets Nest,/cbb/schools/montana/men/2013.html,
