,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2012-11-11-oregon-state.html,"Sun, Nov 11, 2012",REG,@,/cbb/schools/oregon-state/men/2013.html,Oregon State,/cbb/conferences/pac-12/men/2013.html,Pac-12,6.01,L,62,71,0,1,L 1,Gill Coliseum,/cbb/schools/new-mexico-state/men/2013.html,
1,/cbb/boxscores/2012-11-15-new-mexico-state.html,"Thu, Nov 15, 2012",REG,,/cbb/schools/southeastern-louisiana/men/2013.html,Southeastern Louisiana,/cbb/conferences/southland/men/2013.html,Southland,-10.67,W,81,56,1,1,W 1,Pan American Center,/cbb/schools/new-mexico-state/men/2013.html,
2,/cbb/boxscores/2012-11-17-bucknell.html,"Sat, Nov 17, 2012",REG,N,/cbb/schools/bucknell/men/2013.html,Bucknell,/cbb/conferences/patriot/men/2013.html,Patriot,6.96,L,49,62,1,2,L 1,Gallagher Center,/cbb/schools/new-mexico-state/men/2013.html,
3,/cbb/boxscores/2012-11-18-niagara.html,"Sun, Nov 18, 2012",REG,@,/cbb/schools/niagara/men/2013.html,Niagara,/cbb/conferences/maac/men/2013.html,MAAC,0.59,L,83,86,1,3,L 2,Gallagher Center,/cbb/schools/new-mexico-state/men/2013.html,
4,/cbb/boxscores/2012-11-21-new-mexico-state.html,"Wed, Nov 21, 2012",REG,,,Northern New Mexico,,,,W,67,37,2,3,W 1,Pan American Center,/cbb/schools/new-mexico-state/men/2013.html,
5,/cbb/boxscores/2012-11-23-new-mexico-state.html,"Fri, Nov 23, 2012",REG,,/cbb/schools/louisiana-lafayette/men/2013.html,Louisiana,/cbb/conferences/sun-belt/men/2013.html,Sun Belt,-4.90,W,79,57,3,3,W 2,Pan American Center,/cbb/schools/new-mexico-state/men/2013.html,
6,/cbb/boxscores/2012-11-28-texas-el-paso.html,"Wed, Nov 28, 2012",REG,@,/cbb/schools/texas-el-paso/men/2013.html,UTEP,/cbb/conferences/cusa/men/2013.html,CUSA,4.62,L,54,55,3,4,L 1,Don Haskins Center,/cbb/schools/new-mexico-state/men/2013.html,
7,/cbb/boxscores/2012-12-01-new-mexico-state.html,"Sat, Dec 1, 2012",REG,,/cbb/schools/southern-mississippi/men/2013.html,Southern Mississippi,/cbb/conferences/cusa/men/2013.html,CUSA,8.95,W,68,60,4,4,W 1,Pan American Center,/cbb/schools/new-mexico-state/men/2013.html,
8,/cbb/boxscores/2012-12-04-south-alabama.html,"Tue, Dec 4, 2012",REG,@,/cbb/schools/south-alabama/men/2013.html,South Alabama,/cbb/conferences/sun-belt/men/2013.html,Sun Belt,-2.88,W,58,52,5,4,W 2,Mitchell Center,/cbb/schools/new-mexico-state/men/2013.html,
9,/cbb/boxscores/2012-12-15-new-mexico.html,"Sat, Dec 15, 2012",REG,@,/cbb/schools/new-mexico/men/2013.html,New Mexico,/cbb/conferences/mwc/men/2013.html,MWC,13.24,L,58,73,5,5,L 1,University Arena,/cbb/schools/new-mexico-state/men/2013.html,
10,/cbb/boxscores/2012-12-19-new-mexico-state.html,"Wed, Dec 19, 2012",REG,,/cbb/schools/new-mexico/men/2013.html,New Mexico,/cbb/conferences/mwc/men/2013.html,MWC,13.24,L,63,68,5,6,L 2,Pan American Center,/cbb/schools/new-mexico-state/men/2013.html,
11,/cbb/boxscores/2012-12-22-new-mexico-state.html,"Sat, Dec 22, 2012",REG,,/cbb/schools/missouri-state/men/2013.html,Missouri State,/cbb/conferences/mvc/men/2013.html,MVC,-2.80,W,71,51,6,6,W 1,Pan American Center,/cbb/schools/new-mexico-state/men/2013.html,
12,/cbb/boxscores/2012-12-29-texas-arlington.html,"Sat, Dec 29, 2012",REG,@,/cbb/schools/texas-arlington/men/2013.html,UT Arlington,/cbb/conferences/wac/men/2013.html,WAC,0.55,L,47,68,6,7,L 1,College Park Center,/cbb/schools/new-mexico-state/men/2013.html,
13,/cbb/boxscores/2012-12-31-louisiana-tech.html,"Mon, Dec 31, 2012",REG,@,/cbb/schools/louisiana-tech/men/2013.html,Louisiana Tech,/cbb/conferences/wac/men/2013.html,WAC,5.47,L,72,81,6,8,L 2,Thomas Assembly Center,/cbb/schools/new-mexico-state/men/2013.html,
14,/cbb/boxscores/2013-01-03-new-mexico-state.html,"Thu, Jan 3, 2013",REG,,/cbb/schools/texas-san-antonio/men/2013.html,UTSA,/cbb/conferences/wac/men/2013.html,WAC,-6.48,W,82,62,7,8,W 1,Pan American Center,/cbb/schools/new-mexico-state/men/2013.html,
