,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,homeLink,game_location,arena,overtimes
0,/cbb/boxscores/2012-11-13-new-mexico.html,"Tue, Nov 13, 2012",REG,/cbb/schools/davidson/men/2013.html,Davidson,/cbb/conferences/southern/men/2013.html,Southern,7.30,W,86,81,1,0,W 1,/cbb/schools/new-mexico/men/2013.html,,,
1,/cbb/boxscores/2012-11-16-illinois-chicago.html,"Fri, Nov 16, 2012",REG,/cbb/schools/illinois-chicago/men/2013.html,Illinois-Chicago,/cbb/conferences/horizon/men/2013.html,Horizon,-1.79,W,66,59,2,0,W 2,/cbb/schools/new-mexico/men/2013.html,N,Virgin Islands Sport & Fitness Center,
2,/cbb/boxscores/2012-11-18-george-mason.html,"Sun, Nov 18, 2012",REG,/cbb/schools/george-mason/men/2013.html,George Mason,/cbb/conferences/colonial/men/2013.html,CAA,2.03,W,70,69,3,0,W 3,/cbb/schools/new-mexico/men/2013.html,N,Virgin Islands Sport & Fitness Center,
3,/cbb/boxscores/2012-11-19-connecticut.html,"Mon, Nov 19, 2012",REG,/cbb/schools/connecticut/men/2013.html,Connecticut,/cbb/conferences/big-east/men/2013.html,Big East,11.89,W,66,60,4,0,W 4,/cbb/schools/new-mexico/men/2013.html,N,Virgin Islands Sport & Fitness Center,
4,/cbb/boxscores/2012-11-23-new-mexico.html,"Fri, Nov 23, 2012",REG,/cbb/schools/idaho/men/2013.html,Idaho,/cbb/conferences/wac/men/2013.html,WAC,-2.23,W,73,58,5,0,W 5,/cbb/schools/new-mexico/men/2013.html,,University Arena,
5,/cbb/boxscores/2012-11-25-new-mexico.html,"Sun, Nov 25, 2012",REG,/cbb/schools/portland/men/2013.html,Portland,/cbb/conferences/wcc/men/2013.html,WCC,-5.82,W,69,54,6,0,W 6,/cbb/schools/new-mexico/men/2013.html,,University Arena,
6,/cbb/boxscores/2012-11-28-new-mexico.html,"Wed, Nov 28, 2012",REG,/cbb/schools/mercer/men/2013.html,Mercer,/cbb/conferences/atlantic-sun/men/2013.html,A-Sun,0.94,W,76,58,7,0,W 7,/cbb/schools/new-mexico/men/2013.html,,University Arena,
7,/cbb/boxscores/2012-12-01-indiana-state.html,"Sat, Dec 1, 2012",REG,/cbb/schools/indiana-state/men/2013.html,Indiana State,/cbb/conferences/mvc/men/2013.html,MVC,5.08,W,77,68,8,0,W 8,/cbb/schools/new-mexico/men/2013.html,@,Hulman Center,OT
8,/cbb/boxscores/2012-12-05-new-mexico.html,"Wed, Dec 5, 2012",REG,/cbb/schools/southern-california/men/2013.html,Southern California,/cbb/conferences/pac-12/men/2013.html,Pac-12,6.26,W,75,67,9,0,W 9,/cbb/schools/new-mexico/men/2013.html,,University Arena,
9,/cbb/boxscores/2012-12-08-new-mexico.html,"Sat, Dec 8, 2012",REG,/cbb/schools/valparaiso/men/2013.html,Valparaiso,/cbb/conferences/horizon/men/2013.html,Horizon,7.15,W,65,52,10,0,W 10,/cbb/schools/new-mexico/men/2013.html,,University Arena,
10,/cbb/boxscores/2012-12-15-new-mexico.html,"Sat, Dec 15, 2012",REG,/cbb/schools/new-mexico-state/men/2013.html,New Mexico State,/cbb/conferences/wac/men/2013.html,WAC,5.09,W,73,58,11,0,W 11,/cbb/schools/new-mexico/men/2013.html,,University Arena,
11,/cbb/boxscores/2012-12-19-new-mexico-state.html,"Wed, Dec 19, 2012",REG,/cbb/schools/new-mexico-state/men/2013.html,New Mexico State,/cbb/conferences/wac/men/2013.html,WAC,5.09,W,68,63,12,0,W 12,/cbb/schools/new-mexico/men/2013.html,@,Pan American Center,
12,/cbb/boxscores/2012-12-22-new-mexico.html,"Sat, Dec 22, 2012",REG,/cbb/schools/south-dakota-state/men/2013.html,South Dakota State,/cbb/conferences/summit/men/2013.html,Summit,2.35,L,65,70,12,1,L 1,/cbb/schools/new-mexico/men/2013.html,,University Arena,
13,/cbb/boxscores/2012-12-27-cincinnati.html,"Thu, Dec 27, 2012",REG,/cbb/schools/cincinnati/men/2013.html,Cincinnati,/cbb/conferences/big-east/men/2013.html,Big East,14.47,W,55,54,13,1,W 1,/cbb/schools/new-mexico/men/2013.html,@,Fifth Third Arena,
14,/cbb/boxscores/2012-12-31-saint-louis.html,"Mon, Dec 31, 2012",REG,/cbb/schools/saint-louis/men/2013.html,Saint Louis,/cbb/conferences/atlantic-10/men/2013.html,A-10,14.35,L,46,60,13,2,L 1,/cbb/schools/new-mexico/men/2013.html,@,Chaifetz Arena,
15,/cbb/boxscores/2013-01-09-new-mexico.html,"Wed, Jan 9, 2013",REG,/cbb/schools/nevada-las-vegas/men/2013.html,Nevada-Las Vegas,/cbb/conferences/mwc/men/2013.html,MWC,12.81,W,65,60,14,2,W 1,/cbb/schools/new-mexico/men/2013.html,,University Arena,
16,/cbb/boxscores/2013-01-12-new-mexico.html,"Sat, Jan 12, 2013",REG,/cbb/schools/fresno-state/men/2013.html,Fresno State,/cbb/conferences/mwc/men/2013.html,MWC,3.19,W,72,45,15,2,W 2,/cbb/schools/new-mexico/men/2013.html,,University Arena,
17,/cbb/boxscores/2013-01-16-boise-state.html,"Wed, Jan 16, 2013",REG,/cbb/schools/boise-state/men/2013.html,Boise State,/cbb/conferences/mwc/men/2013.html,MWC,9.38,W,79,74,16,2,W 3,/cbb/schools/new-mexico/men/2013.html,@,Taco Bell Arena,OT
18,/cbb/boxscores/2013-01-23-new-mexico.html,"Wed, Jan 23, 2013",REG,/cbb/schools/colorado-state/men/2013.html,Colorado State,/cbb/conferences/mwc/men/2013.html,MWC,13.60,W,66,61,17,2,W 4,/cbb/schools/new-mexico/men/2013.html,,University Arena,
19,/cbb/boxscores/2013-01-26-san-diego-state.html,"Sat, Jan 26, 2013",REG,/cbb/schools/san-diego-state/men/2013.html,San Diego State,/cbb/conferences/mwc/men/2013.html,MWC,12.95,L,34,55,17,3,L 1,/cbb/schools/new-mexico/men/2013.html,@,Viejas Arena,
20,/cbb/boxscores/2013-01-30-wyoming.html,"Wed, Jan 30, 2013",REG,/cbb/schools/wyoming/men/2013.html,Wyoming,/cbb/conferences/mwc/men/2013.html,MWC,5.32,W,63,59,18,3,W 1,/cbb/schools/new-mexico/men/2013.html,@,Arena-Auditorium,
21,/cbb/boxscores/2013-02-02-new-mexico.html,"Sat, Feb 2, 2013",REG,/cbb/schools/nevada/men/2013.html,Nevada,/cbb/conferences/mwc/men/2013.html,MWC,0.35,W,75,62,19,3,W 2,/cbb/schools/new-mexico/men/2013.html,,University Arena,
22,/cbb/boxscores/2013-02-06-new-mexico.html,"Wed, Feb 6, 2013",REG,/cbb/schools/air-force/men/2013.html,Air Force,/cbb/conferences/mwc/men/2013.html,MWC,4.06,W,81,58,20,3,W 3,/cbb/schools/new-mexico/men/2013.html,,University Arena,
23,/cbb/boxscores/2013-02-09-nevada-las-vegas.html,"Sat, Feb 9, 2013",REG,/cbb/schools/nevada-las-vegas/men/2013.html,Nevada-Las Vegas,/cbb/conferences/mwc/men/2013.html,MWC,12.81,L,55,64,20,4,L 1,/cbb/schools/new-mexico/men/2013.html,@,Thomas & Mack Center,
24,/cbb/boxscores/2013-02-13-fresno-state.html,"Wed, Feb 13, 2013",REG,/cbb/schools/fresno-state/men/2013.html,Fresno State,/cbb/conferences/mwc/men/2013.html,MWC,3.19,W,54,48,21,4,W 1,/cbb/schools/new-mexico/men/2013.html,@,Save Mart Center,
25,/cbb/boxscores/2013-02-16-new-mexico.html,"Sat, Feb 16, 2013",REG,/cbb/schools/boise-state/men/2013.html,Boise State,/cbb/conferences/mwc/men/2013.html,MWC,9.38,W,60,50,22,4,W 2,/cbb/schools/new-mexico/men/2013.html,,University Arena,
26,/cbb/boxscores/2013-02-23-colorado-state.html,"Sat, Feb 23, 2013",REG,/cbb/schools/colorado-state/men/2013.html,Colorado State,/cbb/conferences/mwc/men/2013.html,MWC,13.60,W,91,82,23,4,W 3,/cbb/schools/new-mexico/men/2013.html,@,Moby Arena,
