,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes,game_location
0,/cbb/boxscores/2012-11-09-pittsburgh.html,"Fri, Nov 9, 2012",REG,/cbb/schools/mount-st-marys/men/2013.html,Mount St. Mary's,/cbb/conferences/northeast/men/2013.html,NEC,-5.83,W,80,48,1,0,W 1,Petersen Events Center,/cbb/schools/pittsburgh/men/2013.html,,
1,/cbb/boxscores/2012-11-12-pittsburgh.html,"Mon, Nov 12, 2012",REG,/cbb/schools/fordham/men/2013.html,Fordham,/cbb/conferences/atlantic-10/men/2013.html,A-10,-6.88,W,86,51,2,0,W 2,Petersen Events Center,/cbb/schools/pittsburgh/men/2013.html,,
2,/cbb/boxscores/2012-11-13-pittsburgh.html,"Tue, Nov 13, 2012",REG,/cbb/schools/lehigh/men/2013.html,Lehigh,/cbb/conferences/patriot/men/2013.html,Patriot,3.96,W,78,53,3,0,W 3,Petersen Events Center,/cbb/schools/pittsburgh/men/2013.html,,
3,/cbb/boxscores/2012-11-17-pittsburgh.html,"Sat, Nov 17, 2012",REG,/cbb/schools/oakland/men/2013.html,Oakland,/cbb/conferences/summit/men/2013.html,Summit,-4.38,W,72,62,4,0,W 4,Petersen Events Center,/cbb/schools/pittsburgh/men/2013.html,OT,
4,/cbb/boxscores/2012-11-21-michigan.html,"Wed, Nov 21, 2012",REG,/cbb/schools/michigan/men/2013.html,Michigan,/cbb/conferences/big-ten/men/2013.html,Big Ten,21.29,L,62,67,4,1,L 1,,/cbb/schools/pittsburgh/men/2013.html,,N
5,/cbb/boxscores/2012-11-23-delaware.html,"Fri, Nov 23, 2012",REG,/cbb/schools/delaware/men/2013.html,Delaware,/cbb/conferences/colonial/men/2013.html,CAA,-0.76,W,85,59,5,1,W 1,Madison Square Garden (IV),/cbb/schools/pittsburgh/men/2013.html,,N
6,/cbb/boxscores/2012-11-27-pittsburgh.html,"Tue, Nov 27, 2012",REG,/cbb/schools/howard/men/2013.html,Howard,/cbb/conferences/meac/men/2013.html,MEAC,-14.41,W,70,46,6,1,W 2,Petersen Events Center,/cbb/schools/pittsburgh/men/2013.html,,
7,/cbb/boxscores/2012-12-01-pittsburgh.html,"Sat, Dec 1, 2012",REG,/cbb/schools/detroit-mercy/men/2013.html,Detroit Mercy,/cbb/conferences/horizon/men/2013.html,Horizon,6.72,W,74,61,7,1,W 3,Petersen Events Center,/cbb/schools/pittsburgh/men/2013.html,,
8,/cbb/boxscores/2012-12-05-duquesne.html,"Wed, Dec 5, 2012",REG,/cbb/schools/duquesne/men/2013.html,Duquesne,/cbb/conferences/atlantic-10/men/2013.html,A-10,-4.52,W,66,45,8,1,W 4,Consol Energy Center,/cbb/schools/pittsburgh/men/2013.html,,N
9,/cbb/boxscores/2012-12-08-pittsburgh.html,"Sat, Dec 8, 2012",REG,/cbb/schools/north-florida/men/2013.html,North Florida,/cbb/conferences/atlantic-sun/men/2013.html,A-Sun,-7.09,W,89,47,9,1,W 5,Petersen Events Center,/cbb/schools/pittsburgh/men/2013.html,,
10,/cbb/boxscores/2012-12-15-pittsburgh.html,"Sat, Dec 15, 2012",REG,/cbb/schools/bethune-cookman/men/2013.html,Bethune-Cookman,/cbb/conferences/meac/men/2013.html,MEAC,-9.51,W,89,40,10,1,W 6,Petersen Events Center,/cbb/schools/pittsburgh/men/2013.html,,
11,/cbb/boxscores/2012-12-19-pittsburgh.html,"Wed, Dec 19, 2012",REG,/cbb/schools/delaware-state/men/2013.html,Delaware State,/cbb/conferences/meac/men/2013.html,MEAC,-11.18,W,71,43,11,1,W 7,Petersen Events Center,/cbb/schools/pittsburgh/men/2013.html,,
12,/cbb/boxscores/2012-12-23-pittsburgh.html,"Sun, Dec 23, 2012",REG,/cbb/schools/kennesaw-state/men/2013.html,Kennesaw State,/cbb/conferences/atlantic-sun/men/2013.html,A-Sun,-15.13,W,59,43,12,1,W 8,Petersen Events Center,/cbb/schools/pittsburgh/men/2013.html,,
13,/cbb/boxscores/2012-12-31-pittsburgh.html,"Mon, Dec 31, 2012",REG,/cbb/schools/cincinnati/men/2013.html,Cincinnati,/cbb/conferences/big-east/men/2013.html,Big East,14.47,L,61,70,12,2,L 1,Petersen Events Center,/cbb/schools/pittsburgh/men/2013.html,,
14,/cbb/boxscores/2013-01-05-rutgers.html,"Sat, Jan 5, 2013",REG,/cbb/schools/rutgers/men/2013.html,Rutgers,/cbb/conferences/big-east/men/2013.html,Big East,5.98,L,62,67,12,3,L 2,Louis Brown Athletic Center,/cbb/schools/pittsburgh/men/2013.html,,@
15,/cbb/boxscores/2013-01-08-georgetown.html,"Tue, Jan 8, 2013",REG,/cbb/schools/georgetown/men/2013.html,Georgetown,/cbb/conferences/big-east/men/2013.html,Big East,15.86,W,73,45,13,3,W 1,Verizon Center,/cbb/schools/pittsburgh/men/2013.html,,@
16,/cbb/boxscores/2013-01-12-pittsburgh.html,"Sat, Jan 12, 2013",REG,/cbb/schools/marquette/men/2013.html,Marquette,/cbb/conferences/big-east/men/2013.html,Big East,14.05,L,67,74,13,4,L 1,Petersen Events Center,/cbb/schools/pittsburgh/men/2013.html,OT,
17,/cbb/boxscores/2013-01-16-villanova.html,"Wed, Jan 16, 2013",REG,/cbb/schools/villanova/men/2013.html,Villanova,/cbb/conferences/big-east/men/2013.html,Big East,10.75,W,58,43,14,4,W 1,Wells Fargo Center,/cbb/schools/pittsburgh/men/2013.html,,@
