,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink
0,/cbb/boxscores/2012-11-09-iowa-state.html,"Fri, Nov 9, 2012",REG,@,/cbb/schools/iowa-state/men/2013.html,Iowa State,/cbb/conferences/big-12/men/2013.html,Big 12,14.50,L,59,82,0,1,L 1,James H. Hilton Coliseum,/cbb/schools/southern/men/2013.html
1,/cbb/boxscores/2012-11-11-nebraska.html,"Sun, Nov 11, 2012",REG,@,/cbb/schools/nebraska/men/2013.html,Nebraska,/cbb/conferences/big-ten/men/2013.html,Big Ten,4.40,L,55,66,0,2,L 2,Bob Devaney Sports Center,/cbb/schools/southern/men/2013.html
2,/cbb/boxscores/2012-11-14-south-dakota.html,"Wed, Nov 14, 2012",REG,N,/cbb/schools/south-dakota/men/2013.html,South Dakota,/cbb/conferences/summit/men/2013.html,Summit,-7.50,W,83,79,1,2,W 1,,/cbb/schools/southern/men/2013.html
3,/cbb/boxscores/2012-11-15-north-carolina-central.html,"Thu, Nov 15, 2012",REG,N,/cbb/schools/north-carolina-central/men/2013.html,North Carolina Central,/cbb/conferences/meac/men/2013.html,MEAC,-2.22,L,55,59,1,3,L 1,McDougald-McLendon Arena,/cbb/schools/southern/men/2013.html
4,/cbb/boxscores/2012-11-16-wyoming.html,"Fri, Nov 16, 2012",REG,@,/cbb/schools/wyoming/men/2013.html,Wyoming,/cbb/conferences/mwc/men/2013.html,MWC,5.32,L,60,67,1,4,L 2,Arena-Auditorium,/cbb/schools/southern/men/2013.html
5,/cbb/boxscores/2012-11-24-tulane.html,"Sat, Nov 24, 2012",REG,@,/cbb/schools/tulane/men/2013.html,Tulane,/cbb/conferences/cusa/men/2013.html,CUSA,1.87,L,65,68,1,5,L 3,Avron B. Fogelman Arena,/cbb/schools/southern/men/2013.html
6,/cbb/boxscores/2012-12-01-southern.html,"Sat, Dec 1, 2012",REG,,,Champion Christian,,,,W,90,36,2,5,W 1,F. G. Clark Center,/cbb/schools/southern/men/2013.html
7,/cbb/boxscores/2012-12-10-southern.html,"Mon, Dec 10, 2012",REG,,,William Carey,,,,W,77,50,3,5,W 2,F. G. Clark Center,/cbb/schools/southern/men/2013.html
8,/cbb/boxscores/2012-12-13-louisiana-monroe.html,"Thu, Dec 13, 2012",REG,@,/cbb/schools/louisiana-monroe/men/2013.html,Louisiana-Monroe,/cbb/conferences/sun-belt/men/2013.html,Sun Belt,-13.95,W,68,39,4,5,W 3,Fant-Ewing Coliseum,/cbb/schools/southern/men/2013.html
9,/cbb/boxscores/2012-12-18-texas-christian.html,"Tue, Dec 18, 2012",REG,@,/cbb/schools/texas-christian/men/2013.html,TCU,/cbb/conferences/big-12/men/2013.html,Big 12,-4.28,L,57,68,4,6,L 1,Daniel-Meyer Coliseum,/cbb/schools/southern/men/2013.html
10,/cbb/boxscores/2012-12-22-texas-am.html,"Sat, Dec 22, 2012",REG,@,/cbb/schools/texas-am/men/2013.html,Texas A&M,/cbb/conferences/sec/men/2013.html,SEC,6.51,W,53,51,5,6,W 1,Reed Arena,/cbb/schools/southern/men/2013.html
11,/cbb/boxscores/2012-12-28-southern.html,"Fri, Dec 28, 2012",REG,,,Spring Hill,,,,W,67,46,6,6,W 2,F. G. Clark Center,/cbb/schools/southern/men/2013.html
12,/cbb/boxscores/2013-01-02-southern.html,"Wed, Jan 2, 2013",REG,,/cbb/schools/texas-southern/men/2013.html,Texas Southern,/cbb/conferences/swac/men/2013.html,SWAC,-2.12,W,63,57,7,6,W 3,F. G. Clark Center,/cbb/schools/southern/men/2013.html
13,/cbb/boxscores/2013-01-04-southern.html,"Fri, Jan 4, 2013",REG,,/cbb/schools/prairie-view/men/2013.html,Prairie View,/cbb/conferences/swac/men/2013.html,SWAC,-15.63,W,50,45,8,6,W 4,F. G. Clark Center,/cbb/schools/southern/men/2013.html
14,/cbb/boxscores/2013-01-06-grambling.html,"Sun, Jan 6, 2013",REG,@,/cbb/schools/grambling/men/2013.html,Grambling,/cbb/conferences/swac/men/2013.html,SWAC,-35.87,W,82,43,9,6,W 5,HPER Complex,/cbb/schools/southern/men/2013.html
15,/cbb/boxscores/2013-01-08-jackson-state.html,"Tue, Jan 8, 2013",REG,@,/cbb/schools/jackson-state/men/2013.html,Jackson State,/cbb/conferences/swac/men/2013.html,SWAC,-14.82,W,80,67,10,6,W 6,Lee E. Williams Athletics and Assembly Center,/cbb/schools/southern/men/2013.html
16,/cbb/boxscores/2013-01-12-southern.html,"Sat, Jan 12, 2013",REG,,/cbb/schools/arkansas-pine-bluff/men/2013.html,Arkansas-Pine Bluff,/cbb/conferences/swac/men/2013.html,SWAC,-12.21,W,84,50,11,6,W 7,F. G. Clark Center,/cbb/schools/southern/men/2013.html
17,/cbb/boxscores/2013-01-14-southern.html,"Mon, Jan 14, 2013",REG,,/cbb/schools/mississippi-valley-state/men/2013.html,Mississippi Valley State,/cbb/conferences/swac/men/2013.html,SWAC,-19.14,W,88,54,12,6,W 8,F. G. Clark Center,/cbb/schools/southern/men/2013.html
18,/cbb/boxscores/2013-01-19-alabama-state.html,"Sat, Jan 19, 2013",REG,@,/cbb/schools/alabama-state/men/2013.html,Alabama State,/cbb/conferences/swac/men/2013.html,SWAC,-17.90,W,79,67,13,6,W 9,Dunn-Oliver Acadome,/cbb/schools/southern/men/2013.html
19,/cbb/boxscores/2013-01-21-alabama-am.html,"Mon, Jan 21, 2013",REG,@,/cbb/schools/alabama-am/men/2013.html,Alabama A&M,/cbb/conferences/swac/men/2013.html,SWAC,-18.41,W,82,68,14,6,W 10,Elmore Gymnasium,/cbb/schools/southern/men/2013.html
20,/cbb/boxscores/2013-01-26-alcorn-state.html,"Sat, Jan 26, 2013",REG,@,/cbb/schools/alcorn-state/men/2013.html,Alcorn State,/cbb/conferences/swac/men/2013.html,SWAC,-14.27,L,57,61,14,7,L 1,Davey Whitney Complex,/cbb/schools/southern/men/2013.html
21,/cbb/boxscores/2013-02-02-southern.html,"Sat, Feb 2, 2013",REG,,/cbb/schools/grambling/men/2013.html,Grambling,/cbb/conferences/swac/men/2013.html,SWAC,-35.87,W,59,31,15,7,W 1,F. G. Clark Center,/cbb/schools/southern/men/2013.html
22,/cbb/boxscores/2013-02-04-southern.html,"Mon, Feb 4, 2013",REG,,/cbb/schools/jackson-state/men/2013.html,Jackson State,/cbb/conferences/swac/men/2013.html,SWAC,-14.82,W,78,58,16,7,W 2,F. G. Clark Center,/cbb/schools/southern/men/2013.html
23,/cbb/boxscores/2013-02-09-arkansas-pine-bluff.html,"Sat, Feb 9, 2013",REG,@,/cbb/schools/arkansas-pine-bluff/men/2013.html,Arkansas-Pine Bluff,/cbb/conferences/swac/men/2013.html,SWAC,-12.21,L,52,55,16,8,L 1,K.L. Johnson HPER Complex,/cbb/schools/southern/men/2013.html
24,/cbb/boxscores/2013-02-11-mississippi-valley-state.html,"Mon, Feb 11, 2013",REG,@,/cbb/schools/mississippi-valley-state/men/2013.html,Mississippi Valley State,/cbb/conferences/swac/men/2013.html,SWAC,-19.14,W,78,74,17,8,W 1,Harrison HPER Complex,/cbb/schools/southern/men/2013.html
25,/cbb/boxscores/2013-02-16-southern.html,"Sat, Feb 16, 2013",REG,,/cbb/schools/alabama-state/men/2013.html,Alabama State,/cbb/conferences/swac/men/2013.html,SWAC,-17.90,W,58,49,18,8,W 2,F. G. Clark Center,/cbb/schools/southern/men/2013.html
26,/cbb/boxscores/2013-02-18-southern.html,"Mon, Feb 18, 2013",REG,,/cbb/schools/alabama-am/men/2013.html,Alabama A&M,/cbb/conferences/swac/men/2013.html,SWAC,-18.41,W,81,67,19,8,W 3,F. G. Clark Center,/cbb/schools/southern/men/2013.html
27,/cbb/boxscores/2013-02-23-southern.html,"Sat, Feb 23, 2013",REG,,/cbb/schools/alcorn-state/men/2013.html,Alcorn State,/cbb/conferences/swac/men/2013.html,SWAC,-14.27,W,61,48,20,8,W 4,F. G. Clark Center,/cbb/schools/southern/men/2013.html
