,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink
0,/cbb/boxscores/2012-11-13-kent-state.html,"Tue, Nov 13, 2012",REG,@,/cbb/schools/kent-state/men/2013.html,Kent State,/cbb/conferences/mac/men/2013.html,MAC,2.38,W,80,66,1,0,W 1,Memorial Athletic & Convocation Center,/cbb/schools/temple/men/2013.html
1,/cbb/boxscores/2012-11-17-temple.html,"Sat, Nov 17, 2012",REG,,/cbb/schools/rice/men/2013.html,Rice,/cbb/conferences/cusa/men/2013.html,CUSA,-11.13,W,77,63,2,0,W 2,Liacouras Center,/cbb/schools/temple/men/2013.html
2,/cbb/boxscores/2012-11-25-temple.html,"Sun, Nov 25, 2012",REG,,/cbb/schools/delaware/men/2013.html,Delaware,/cbb/conferences/colonial/men/2013.html,CAA,-0.76,W,80,75,3,0,W 3,Liacouras Center,/cbb/schools/temple/men/2013.html
3,/cbb/boxscores/2012-11-28-buffalo.html,"Wed, Nov 28, 2012",REG,@,/cbb/schools/buffalo/men/2013.html,Buffalo,/cbb/conferences/mac/men/2013.html,MAC,-1.94,W,54,39,4,0,W 4,Alumni Arena,/cbb/schools/temple/men/2013.html
4,/cbb/boxscores/2012-12-01-temple.html,"Sat, Dec 1, 2012",REG,,/cbb/schools/wagner/men/2013.html,Wagner,/cbb/conferences/northeast/men/2013.html,NEC,-3.22,W,70,62,5,0,W 5,Liacouras Center,/cbb/schools/temple/men/2013.html
5,/cbb/boxscores/2012-12-05-villanova.html,"Wed, Dec 5, 2012",REG,@,/cbb/schools/villanova/men/2013.html,Villanova,/cbb/conferences/big-east/men/2013.html,Big East,10.75,W,76,61,6,0,W 6,Wells Fargo Center,/cbb/schools/temple/men/2013.html
6,/cbb/boxscores/2012-12-08-duke.html,"Sat, Dec 8, 2012",REG,N,/cbb/schools/duke/men/2013.html,Duke,/cbb/conferences/acc/men/2013.html,ACC,21.46,L,67,90,6,1,L 1,,/cbb/schools/temple/men/2013.html
7,/cbb/boxscores/2012-12-12-temple.html,"Wed, Dec 12, 2012",REG,,/cbb/schools/towson/men/2013.html,Towson,/cbb/conferences/colonial/men/2013.html,CAA,-1.89,W,72,61,7,1,W 1,Liacouras Center,/cbb/schools/temple/men/2013.html
8,/cbb/boxscores/2012-12-17-temple.html,"Mon, Dec 17, 2012",REG,,/cbb/schools/alcorn-state/men/2013.html,Alcorn State,/cbb/conferences/swac/men/2013.html,SWAC,-14.27,W,63,46,8,1,W 2,Liacouras Center,/cbb/schools/temple/men/2013.html
9,/cbb/boxscores/2012-12-19-temple.html,"Wed, Dec 19, 2012",REG,,/cbb/schools/canisius/men/2013.html,Canisius,/cbb/conferences/maac/men/2013.html,MAAC,2.38,L,62,72,8,2,L 1,Liacouras Center,/cbb/schools/temple/men/2013.html
10,/cbb/boxscores/2012-12-22-syracuse.html,"Sat, Dec 22, 2012",REG,N,/cbb/schools/syracuse/men/2013.html,Syracuse,/cbb/conferences/big-east/men/2013.html,Big East,20.30,W,83,79,9,2,W 1,Madison Square Garden (IV),/cbb/schools/temple/men/2013.html
11,/cbb/boxscores/2012-12-31-temple.html,"Mon, Dec 31, 2012",REG,,/cbb/schools/bowling-green-state/men/2013.html,Bowling Green State,/cbb/conferences/mac/men/2013.html,MAC,-3.32,W,75,57,10,2,W 2,Liacouras Center,/cbb/schools/temple/men/2013.html
12,/cbb/boxscores/2013-01-06-kansas.html,"Sun, Jan 6, 2013",REG,@,/cbb/schools/kansas/men/2013.html,Kansas,/cbb/conferences/big-12/men/2013.html,Big 12,20.79,L,62,69,10,3,L 1,Allen Fieldhouse,/cbb/schools/temple/men/2013.html
13,/cbb/boxscores/2013-01-10-xavier.html,"Thu, Jan 10, 2013",REG,@,/cbb/schools/xavier/men/2013.html,Xavier,/cbb/conferences/atlantic-10/men/2013.html,A-10,7.71,L,52,57,10,4,L 2,Cintas Center,/cbb/schools/temple/men/2013.html
