,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2012-11-09-valparaiso.html,"Fri, Nov 9, 2012",REG,/cbb/schools/georgia-southern/men/2013.html,Georgia Southern,/cbb/conferences/southern/men/2013.html,Southern,-9.62,W,85,54,1,0,W 1,Athletics-Recreation Center,/cbb/schools/valparaiso/men/2013.html,,
1,/cbb/boxscores/2012-11-13-valparaiso.html,"Tue, Nov 13, 2012",REG,/cbb/schools/northern-illinois/men/2013.html,Northern Illinois,/cbb/conferences/mac/men/2013.html,MAC,-12.00,W,69,46,2,0,W 2,Athletics-Recreation Center,/cbb/schools/valparaiso/men/2013.html,,
2,/cbb/boxscores/2012-11-15-nebraska.html,"Thu, Nov 15, 2012",REG,/cbb/schools/nebraska/men/2013.html,Nebraska,/cbb/conferences/big-ten/men/2013.html,Big Ten,4.40,L,48,50,2,1,L 1,Bob Devaney Sports Center,/cbb/schools/valparaiso/men/2013.html,@,
3,/cbb/boxscores/2012-11-18-kent-state.html,"Sun, Nov 18, 2012",REG,/cbb/schools/kent-state/men/2013.html,Kent State,/cbb/conferences/mac/men/2013.html,MAC,2.38,W,88,83,3,1,W 1,Memorial Athletic & Convocation Center,/cbb/schools/valparaiso/men/2013.html,@,OT
4,/cbb/boxscores/2012-11-23-valparaiso.html,"Fri, Nov 23, 2012",REG,/cbb/schools/chicago-state/men/2013.html,Chicago State,/cbb/conferences/great-west/men/2013.html,GWC,-11.79,W,67,46,4,1,W 2,Athletics-Recreation Center,/cbb/schools/valparaiso/men/2013.html,,
5,/cbb/boxscores/2012-11-24-bethune-cookman.html,"Sat, Nov 24, 2012",REG,/cbb/schools/bethune-cookman/men/2013.html,Bethune-Cookman,/cbb/conferences/meac/men/2013.html,MEAC,-9.51,W,77,64,5,1,W 3,Athletics-Recreation Center,/cbb/schools/valparaiso/men/2013.html,N,
6,/cbb/boxscores/2012-12-02-saint-louis.html,"Sun, Dec 2, 2012",REG,/cbb/schools/saint-louis/men/2013.html,Saint Louis,/cbb/conferences/atlantic-10/men/2013.html,A-10,14.35,L,49,62,5,2,L 1,Chaifetz Arena,/cbb/schools/valparaiso/men/2013.html,@,
7,/cbb/boxscores/2012-12-05-valparaiso.html,"Wed, Dec 5, 2012",REG,/cbb/schools/ipfw/men/2013.html,Purdue Fort Wayne,/cbb/conferences/summit/men/2013.html,Summit,-6.99,W,63,52,6,2,W 1,Athletics-Recreation Center,/cbb/schools/valparaiso/men/2013.html,,
8,/cbb/boxscores/2012-12-08-new-mexico.html,"Sat, Dec 8, 2012",REG,/cbb/schools/new-mexico/men/2013.html,New Mexico,/cbb/conferences/mwc/men/2013.html,MWC,13.24,L,52,65,6,3,L 1,University Arena,/cbb/schools/valparaiso/men/2013.html,@,
9,/cbb/boxscores/2012-12-15-missouri-state.html,"Sat, Dec 15, 2012",REG,/cbb/schools/missouri-state/men/2013.html,Missouri State,/cbb/conferences/mvc/men/2013.html,MVC,-2.80,W,62,54,7,3,W 1,JQH Arena,/cbb/schools/valparaiso/men/2013.html,@,
10,/cbb/boxscores/2012-12-17-oakland.html,"Mon, Dec 17, 2012",REG,/cbb/schools/oakland/men/2013.html,Oakland,/cbb/conferences/summit/men/2013.html,Summit,-4.38,L,68,70,7,4,L 1,Athletics Center O''rena,/cbb/schools/valparaiso/men/2013.html,@,
11,/cbb/boxscores/2012-12-20-valparaiso.html,"Thu, Dec 20, 2012",REG,/cbb/schools/iupui/men/2013.html,IUPUI,/cbb/conferences/summit/men/2013.html,Summit,-15.92,W,89,69,8,4,W 1,Athletics-Recreation Center,/cbb/schools/valparaiso/men/2013.html,,
12,/cbb/boxscores/2012-12-22-valparaiso.html,"Sat, Dec 22, 2012",REG,,Purdue Calumet,,,,W,79,51,9,4,W 2,Athletics-Recreation Center,/cbb/schools/valparaiso/men/2013.html,,
13,/cbb/boxscores/2012-12-29-murray-state.html,"Sat, Dec 29, 2012",REG,/cbb/schools/murray-state/men/2013.html,Murray State,/cbb/conferences/ovc/men/2013.html,OVC,1.25,W,66,64,10,4,W 3,Regional Special Events Center,/cbb/schools/valparaiso/men/2013.html,@,
