,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2012-11-11-wisconsin.html,"Sun, Nov 11, 2012",REG,/cbb/schools/southeastern-louisiana/men/2013.html,Southeastern Louisiana,/cbb/conferences/southland/men/2013.html,Southland,-10.67,W,87,47,1,0,W 1,Kohl Center,/cbb/schools/wisconsin/men/2013.html,,
1,/cbb/boxscores/2012-11-14-florida.html,"Wed, Nov 14, 2012",REG,/cbb/schools/florida/men/2013.html,Florida,/cbb/conferences/sec/men/2013.html,SEC,23.88,L,56,74,1,1,L 1,Stephen C. O''Connell Center,/cbb/schools/wisconsin/men/2013.html,@,
2,/cbb/boxscores/2012-11-18-wisconsin.html,"Sun, Nov 18, 2012",REG,/cbb/schools/cornell/men/2013.html,Cornell,/cbb/conferences/ivy/men/2013.html,Ivy,-7.25,W,73,40,2,1,W 1,Kohl Center,/cbb/schools/wisconsin/men/2013.html,,
3,/cbb/boxscores/2012-11-20-wisconsin.html,"Tue, Nov 20, 2012",REG,/cbb/schools/presbyterian/men/2013.html,Presbyterian,/cbb/conferences/big-south/men/2013.html,Big South,-17.43,W,88,43,3,1,W 2,Kohl Center,/cbb/schools/wisconsin/men/2013.html,,
4,/cbb/boxscores/2012-11-23-creighton.html,"Fri, Nov 23, 2012",REG,/cbb/schools/creighton/men/2013.html,Creighton,/cbb/conferences/mvc/men/2013.html,MVC,16.43,L,74,84,3,2,L 1,Orleans Arena,/cbb/schools/wisconsin/men/2013.html,N,
5,/cbb/boxscores/2012-11-24-arkansas.html,"Sat, Nov 24, 2012",REG,/cbb/schools/arkansas/men/2013.html,Arkansas,/cbb/conferences/sec/men/2013.html,SEC,9.83,W,77,70,4,2,W 1,Orleans Arena,/cbb/schools/wisconsin/men/2013.html,N,
6,/cbb/boxscores/2012-11-28-wisconsin.html,"Wed, Nov 28, 2012",REG,/cbb/schools/virginia/men/2013.html,Virginia,/cbb/conferences/acc/men/2013.html,ACC,12.91,L,54,60,4,3,L 1,Kohl Center,/cbb/schools/wisconsin/men/2013.html,,
7,/cbb/boxscores/2012-12-02-wisconsin.html,"Sun, Dec 2, 2012",REG,/cbb/schools/california/men/2013.html,California,/cbb/conferences/pac-12/men/2013.html,Pac-12,10.59,W,81,56,5,3,W 1,Kohl Center,/cbb/schools/wisconsin/men/2013.html,,
8,/cbb/boxscores/2012-12-04-wisconsin.html,"Tue, Dec 4, 2012",REG,/cbb/schools/nebraska-omaha/men/2013.html,Omaha,/cbb/conferences/summit/men/2013.html,Summit,-15.19,W,86,40,6,3,W 2,Kohl Center,/cbb/schools/wisconsin/men/2013.html,,
9,/cbb/boxscores/2012-12-08-marquette.html,"Sat, Dec 8, 2012",REG,/cbb/schools/marquette/men/2013.html,Marquette,/cbb/conferences/big-east/men/2013.html,Big East,14.05,L,50,60,6,4,L 1,Bradley Center,/cbb/schools/wisconsin/men/2013.html,@,
10,/cbb/boxscores/2012-12-12-wisconsin.html,"Wed, Dec 12, 2012",REG,/cbb/schools/green-bay/men/2013.html,Green Bay,/cbb/conferences/horizon/men/2013.html,Horizon,1.66,W,65,54,7,4,W 1,Kohl Center,/cbb/schools/wisconsin/men/2013.html,,
11,/cbb/boxscores/2012-12-22-wisconsin.html,"Sat, Dec 22, 2012",REG,/cbb/schools/milwaukee/men/2013.html,Milwaukee,/cbb/conferences/horizon/men/2013.html,Horizon,-10.31,W,74,53,8,4,W 2,Kohl Center,/cbb/schools/wisconsin/men/2013.html,,
12,/cbb/boxscores/2012-12-29-wisconsin.html,"Sat, Dec 29, 2012",REG,/cbb/schools/samford/men/2013.html,Samford,/cbb/conferences/southern/men/2013.html,Southern,-10.02,W,87,51,9,4,W 3,Kohl Center,/cbb/schools/wisconsin/men/2013.html,,
13,/cbb/boxscores/2013-01-03-wisconsin.html,"Thu, Jan 3, 2013",REG,/cbb/schools/penn-state/men/2013.html,Penn State,/cbb/conferences/big-ten/men/2013.html,Big Ten,2.86,W,60,51,10,4,W 4,Kohl Center,/cbb/schools/wisconsin/men/2013.html,,
14,/cbb/boxscores/2013-01-06-nebraska.html,"Sun, Jan 6, 2013",REG,/cbb/schools/nebraska/men/2013.html,Nebraska,/cbb/conferences/big-ten/men/2013.html,Big Ten,4.40,W,47,41,11,4,W 5,Bob Devaney Sports Center,/cbb/schools/wisconsin/men/2013.html,@,
15,/cbb/boxscores/2013-01-12-wisconsin.html,"Sat, Jan 12, 2013",REG,/cbb/schools/illinois/men/2013.html,Illinois,/cbb/conferences/big-ten/men/2013.html,Big Ten,13.18,W,74,51,12,4,W 6,Kohl Center,/cbb/schools/wisconsin/men/2013.html,,
16,/cbb/boxscores/2013-01-15-indiana.html,"Tue, Jan 15, 2013",REG,/cbb/schools/indiana/men/2013.html,Indiana,/cbb/conferences/big-ten/men/2013.html,Big Ten,24.92,W,64,59,13,4,W 7,Assembly Hall,/cbb/schools/wisconsin/men/2013.html,@,
17,/cbb/boxscores/2013-01-19-iowa.html,"Sat, Jan 19, 2013",REG,/cbb/schools/iowa/men/2013.html,Iowa,/cbb/conferences/big-ten/men/2013.html,Big Ten,14.22,L,66,70,13,5,L 1,Carver-Hawkeye Arena,/cbb/schools/wisconsin/men/2013.html,@,
18,/cbb/boxscores/2013-01-22-wisconsin.html,"Tue, Jan 22, 2013",REG,/cbb/schools/michigan-state/men/2013.html,Michigan State,/cbb/conferences/big-ten/men/2013.html,Big Ten,18.63,L,47,49,13,6,L 2,Kohl Center,/cbb/schools/wisconsin/men/2013.html,,
19,/cbb/boxscores/2013-01-26-wisconsin.html,"Sat, Jan 26, 2013",REG,/cbb/schools/minnesota/men/2013.html,Minnesota,/cbb/conferences/big-ten/men/2013.html,Big Ten,16.84,W,45,44,14,6,W 1,Kohl Center,/cbb/schools/wisconsin/men/2013.html,,
20,/cbb/boxscores/2013-01-29-ohio-state.html,"Tue, Jan 29, 2013",REG,/cbb/schools/ohio-state/men/2013.html,Ohio State,/cbb/conferences/big-ten/men/2013.html,Big Ten,20.19,L,49,58,14,7,L 1,Value City Arena,/cbb/schools/wisconsin/men/2013.html,@,
21,/cbb/boxscores/2013-02-03-illinois.html,"Sun, Feb 3, 2013",REG,/cbb/schools/illinois/men/2013.html,Illinois,/cbb/conferences/big-ten/men/2013.html,Big Ten,13.18,W,74,68,15,7,W 1,Assembly Hall,/cbb/schools/wisconsin/men/2013.html,@,
22,/cbb/boxscores/2013-02-06-wisconsin.html,"Wed, Feb 6, 2013",REG,/cbb/schools/iowa/men/2013.html,Iowa,/cbb/conferences/big-ten/men/2013.html,Big Ten,14.22,W,74,70,16,7,W 2,Kohl Center,/cbb/schools/wisconsin/men/2013.html,,2OT
