,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2013-11-08-george-mason.html,"Fri, Nov 8, 2013",REG,@,/cbb/schools/george-mason/men/2014.html,George Mason,/cbb/conferences/atlantic-10/men/2014.html,A-10,2.03,L,60,63,0,1,L 1,Patriot Center,/cbb/schools/american/men/2014.html,
1,/cbb/boxscores/2013-11-14-american.html,"Thu, Nov 14, 2013",REG,,/cbb/schools/maryland-baltimore-county/men/2014.html,Maryland-Baltimore County,/cbb/conferences/america-east/men/2014.html,AEC,-14.21,W,63,61,1,1,W 1,Bender Arena,/cbb/schools/american/men/2014.html,OT
2,/cbb/boxscores/2013-11-20-ohio-state.html,"Wed, Nov 20, 2013",REG,@,/cbb/schools/ohio-state/men/2014.html,Ohio State,/cbb/conferences/big-ten/men/2014.html,Big Ten,17.84,L,52,63,1,2,L 1,Value City Arena,/cbb/schools/american/men/2014.html,
3,/cbb/boxscores/2013-11-23-mount-st-marys.html,"Sat, Nov 23, 2013",REG,@,/cbb/schools/mount-st-marys/men/2014.html,Mount St. Mary's,/cbb/conferences/northeast/men/2014.html,NEC,-6.32,L,64,68,1,3,L 2,Knott Arena,/cbb/schools/american/men/2014.html,
4,/cbb/boxscores/2013-11-26-columbia.html,"Tue, Nov 26, 2013",REG,@,/cbb/schools/columbia/men/2014.html,Columbia,/cbb/conferences/ivy/men/2014.html,Ivy,2.21,L,47,61,1,4,L 3,Levien Gymnasium,/cbb/schools/american/men/2014.html,
5,/cbb/boxscores/2013-11-30-saint-francis-pa.html,"Sat, Nov 30, 2013",REG,@,/cbb/schools/saint-francis-pa/men/2014.html,Saint Francis (PA),/cbb/conferences/northeast/men/2014.html,NEC,-13.20,W,75,43,2,4,W 1,Maurice Stokes Athletic Center,/cbb/schools/american/men/2014.html,
6,/cbb/boxscores/2013-12-04-american.html,"Wed, Dec 4, 2013",REG,,/cbb/schools/howard/men/2014.html,Howard,/cbb/conferences/meac/men/2014.html,MEAC,-16.77,W,76,53,3,4,W 2,Bender Arena,/cbb/schools/american/men/2014.html,
7,/cbb/boxscores/2013-12-07-american.html,"Sat, Dec 7, 2013",REG,,/cbb/schools/brown/men/2014.html,Brown,/cbb/conferences/ivy/men/2014.html,Ivy,-1.44,L,67,72,3,5,L 1,Bender Arena,/cbb/schools/american/men/2014.html,
8,/cbb/boxscores/2013-12-19-saint-marys-ca.html,"Thu, Dec 19, 2013",REG,@,/cbb/schools/saint-marys-ca/men/2014.html,Saint Mary's (CA),/cbb/conferences/wcc/men/2014.html,WCC,9.35,L,44,59,3,6,L 2,McKeon Pavilion,/cbb/schools/american/men/2014.html,
9,/cbb/boxscores/2013-12-22-san-francisco.html,"Sun, Dec 22, 2013",REG,@,/cbb/schools/san-francisco/men/2014.html,San Francisco,/cbb/conferences/wcc/men/2014.html,WCC,5.92,L,69,77,3,7,L 3,War Memorial Gymnasium,/cbb/schools/american/men/2014.html,
