,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink
0,/cbb/boxscores/2013-11-08-arizona.html,"Fri, Nov 8, 2013",REG,@,/cbb/schools/arizona/men/2014.html,Arizona,/cbb/conferences/pac-12/men/2014.html,Pac-12,23.36,L,62,73,0,1,L 1,McKale Center,/cbb/schools/cal-poly/men/2014.html
1,/cbb/boxscores/2013-11-12-cal-poly.html,"Tue, Nov 12, 2013",REG,,/cbb/schools/nevada/men/2014.html,Nevada,/cbb/conferences/mwc/men/2014.html,MWC,1.98,L,58,60,0,2,L 2,Robert A. Mott Athletics Center,/cbb/schools/cal-poly/men/2014.html
2,/cbb/boxscores/2013-11-20-fresno-state.html,"Wed, Nov 20, 2013",REG,@,/cbb/schools/fresno-state/men/2014.html,Fresno State,/cbb/conferences/mwc/men/2014.html,MWC,3.59,L,46,63,0,3,L 3,Save Mart Center,/cbb/schools/cal-poly/men/2014.html
3,/cbb/boxscores/2013-11-23-cal-poly.html,"Sat, Nov 23, 2013",REG,,,Bethesda University (CA),,,,W,78,39,1,3,W 1,Robert A. Mott Athletics Center,/cbb/schools/cal-poly/men/2014.html
4,/cbb/boxscores/2013-11-29-cal-poly.html,"Fri, Nov 29, 2013",REG,N,/cbb/schools/north-dakota/men/2014.html,North Dakota,/cbb/conferences/big-sky/men/2014.html,Big Sky,-6.84,W,70,43,2,3,W 2,Matthew Knight Arena,/cbb/schools/cal-poly/men/2014.html
5,/cbb/boxscores/2013-11-30-cal-poly.html,"Sat, Nov 30, 2013",REG,N,/cbb/schools/pacific/men/2014.html,Pacific,/cbb/conferences/wcc/men/2014.html,WCC,1.74,L,71,73,2,4,L 1,Matthew Knight Arena,/cbb/schools/cal-poly/men/2014.html
6,/cbb/boxscores/2013-12-01-oregon.html,"Sun, Dec 1, 2013",REG,@,/cbb/schools/oregon/men/2014.html,Oregon,/cbb/conferences/pac-12/men/2014.html,Pac-12,15.75,L,61,82,2,5,L 2,Matthew Knight Arena,/cbb/schools/cal-poly/men/2014.html
7,/cbb/boxscores/2013-12-07-cal-poly.html,"Sat, Dec 7, 2013",REG,,/cbb/schools/santa-clara/men/2014.html,Santa Clara,/cbb/conferences/wcc/men/2014.html,WCC,0.88,W,64,53,3,5,W 1,Robert A. Mott Athletics Center,/cbb/schools/cal-poly/men/2014.html
8,/cbb/boxscores/2013-12-14-cal-poly.html,"Sat, Dec 14, 2013",REG,,,Cal State Dominguez Hills,,,,W,85,49,4,5,W 2,Robert A. Mott Athletics Center,/cbb/schools/cal-poly/men/2014.html
9,/cbb/boxscores/2013-12-17-loyola-marymount.html,"Tue, Dec 17, 2013",REG,@,/cbb/schools/loyola-marymount/men/2014.html,Loyola Marymount,/cbb/conferences/wcc/men/2014.html,WCC,-0.49,L,59,79,4,6,L 1,Gersten Pavilion,/cbb/schools/cal-poly/men/2014.html
10,/cbb/boxscores/2013-12-21-pittsburgh.html,"Sat, Dec 21, 2013",REG,@,/cbb/schools/pittsburgh/men/2014.html,Pittsburgh,/cbb/conferences/acc/men/2014.html,ACC,17.46,L,56,73,4,7,L 2,Petersen Events Center,/cbb/schools/cal-poly/men/2014.html
11,/cbb/boxscores/2013-12-29-stanford.html,"Sun, Dec 29, 2013",REG,@,/cbb/schools/stanford/men/2014.html,Stanford,/cbb/conferences/pac-12/men/2014.html,Pac-12,13.42,L,62,79,4,8,L 3,Maples Pavilion,/cbb/schools/cal-poly/men/2014.html
12,/cbb/boxscores/2014-01-04-delaware.html,"Sat, Jan 4, 2014",REG,@,/cbb/schools/delaware/men/2014.html,Delaware,/cbb/conferences/colonial/men/2014.html,CAA,2.73,L,72,82,4,9,L 4,Bob Carpenter Center,/cbb/schools/cal-poly/men/2014.html
13,/cbb/boxscores/2014-01-09-cal-poly.html,"Thu, Jan 9, 2014",REG,,/cbb/schools/hawaii/men/2014.html,Hawaii,/cbb/conferences/big-west/men/2014.html,Big West,3.43,W,77,65,5,9,W 1,Robert A. Mott Athletics Center,/cbb/schools/cal-poly/men/2014.html
14,/cbb/boxscores/2014-01-11-california-santa-barbara.html,"Sat, Jan 11, 2014",REG,@,/cbb/schools/california-santa-barbara/men/2014.html,UC Santa Barbara,/cbb/conferences/big-west/men/2014.html,Big West,4.23,W,72,64,6,9,W 2,The Thunderdome,/cbb/schools/cal-poly/men/2014.html
15,/cbb/boxscores/2014-01-16-cal-poly.html,"Thu, Jan 16, 2014",REG,,/cbb/schools/cal-state-northridge/men/2014.html,Cal State Northridge,/cbb/conferences/big-west/men/2014.html,Big West,-4.89,W,62,52,7,9,W 3,Robert A. Mott Athletics Center,/cbb/schools/cal-poly/men/2014.html
16,/cbb/boxscores/2014-01-18-cal-poly.html,"Sat, Jan 18, 2014",REG,,/cbb/schools/long-beach-state/men/2014.html,Long Beach State,/cbb/conferences/big-west/men/2014.html,Big West,1.44,L,62,63,7,10,L 1,Robert A. Mott Athletics Center,/cbb/schools/cal-poly/men/2014.html
17,/cbb/boxscores/2014-01-23-cal-state-fullerton.html,"Thu, Jan 23, 2014",REG,@,/cbb/schools/cal-state-fullerton/men/2014.html,Cal State Fullerton,/cbb/conferences/big-west/men/2014.html,Big West,-5.08,W,58,56,8,10,W 1,Titan Gym,/cbb/schools/cal-poly/men/2014.html
18,/cbb/boxscores/2014-01-25-california-riverside.html,"Sat, Jan 25, 2014",REG,@,/cbb/schools/california-riverside/men/2014.html,UC Riverside,/cbb/conferences/big-west/men/2014.html,Big West,-7.64,L,58,61,8,11,L 1,UCR Student Rec Center,/cbb/schools/cal-poly/men/2014.html
19,/cbb/boxscores/2014-01-30-cal-poly.html,"Thu, Jan 30, 2014",REG,,/cbb/schools/california-davis/men/2014.html,UC Davis,/cbb/conferences/big-west/men/2014.html,Big West,-11.55,L,58,62,8,12,L 2,Robert A. Mott Athletics Center,/cbb/schools/cal-poly/men/2014.html
20,/cbb/boxscores/2014-02-01-cal-poly.html,"Sat, Feb 1, 2014",REG,,/cbb/schools/california-irvine/men/2014.html,UC Irvine,/cbb/conferences/big-west/men/2014.html,Big West,4.35,L,50,64,8,13,L 3,Robert A. Mott Athletics Center,/cbb/schools/cal-poly/men/2014.html
21,/cbb/boxscores/2014-02-08-hawaii.html,"Sat, Feb 8, 2014",REG,@,/cbb/schools/hawaii/men/2014.html,Hawaii,/cbb/conferences/big-west/men/2014.html,Big West,3.43,L,60,69,8,14,L 4,Stan Sheriff Center,/cbb/schools/cal-poly/men/2014.html
22,/cbb/boxscores/2014-02-13-cal-state-northridge.html,"Thu, Feb 13, 2014",REG,@,/cbb/schools/cal-state-northridge/men/2014.html,Cal State Northridge,/cbb/conferences/big-west/men/2014.html,Big West,-4.89,W,62,55,9,14,W 1,The Matadome,/cbb/schools/cal-poly/men/2014.html
23,/cbb/boxscores/2014-02-15-long-beach-state.html,"Sat, Feb 15, 2014",REG,@,/cbb/schools/long-beach-state/men/2014.html,Long Beach State,/cbb/conferences/big-west/men/2014.html,Big West,1.44,L,65,74,9,15,L 1,The Walter Pyramid,/cbb/schools/cal-poly/men/2014.html
24,/cbb/boxscores/2014-02-20-cal-poly.html,"Thu, Feb 20, 2014",REG,,/cbb/schools/cal-state-fullerton/men/2014.html,Cal State Fullerton,/cbb/conferences/big-west/men/2014.html,Big West,-5.08,L,59,67,9,16,L 2,Robert A. Mott Athletics Center,/cbb/schools/cal-poly/men/2014.html
25,/cbb/boxscores/2014-02-22-cal-poly.html,"Sat, Feb 22, 2014",REG,,/cbb/schools/california-riverside/men/2014.html,UC Riverside,/cbb/conferences/big-west/men/2014.html,Big West,-7.64,W,69,64,10,16,W 1,Robert A. Mott Athletics Center,/cbb/schools/cal-poly/men/2014.html
26,/cbb/boxscores/2014-02-27-california-davis.html,"Thu, Feb 27, 2014",REG,@,/cbb/schools/california-davis/men/2014.html,UC Davis,/cbb/conferences/big-west/men/2014.html,Big West,-11.55,L,73,85,10,17,L 1,The Pavilion,/cbb/schools/cal-poly/men/2014.html
27,/cbb/boxscores/2014-03-01-california-irvine.html,"Sat, Mar 1, 2014",REG,@,/cbb/schools/california-irvine/men/2014.html,UC Irvine,/cbb/conferences/big-west/men/2014.html,Big West,4.35,L,48,55,10,18,L 2,Bren Events Center,/cbb/schools/cal-poly/men/2014.html
28,/cbb/boxscores/2014-03-08-cal-poly.html,"Sat, Mar 8, 2014",REG,,/cbb/schools/california-santa-barbara/men/2014.html,UC Santa Barbara,/cbb/conferences/big-west/men/2014.html,Big West,4.23,L,55,71,10,19,L 3,Robert A. Mott Athletics Center,/cbb/schools/cal-poly/men/2014.html
29,/cbb/boxscores/2014-03-13-cal-poly.html,"Thu, Mar 13, 2014",CTOURN,N,/cbb/schools/california-santa-barbara/men/2014.html,UC Santa Barbara,/cbb/conferences/big-west/men/2014.html,Big West,4.23,W,69,38,11,19,W 1,,/cbb/schools/cal-poly/men/2014.html
30,/cbb/boxscores/2014-03-14-cal-poly.html,"Fri, Mar 14, 2014",CTOURN,N,/cbb/schools/california-irvine/men/2014.html,UC Irvine,/cbb/conferences/big-west/men/2014.html,Big West,4.35,W,61,58,12,19,W 2,,/cbb/schools/cal-poly/men/2014.html
