,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2013-11-08-richmond.html,"Fri, Nov 8, 2013",REG,@,/cbb/schools/richmond/men/2014.html,Richmond,/cbb/conferences/atlantic-10/men/2014.html,A-10,5.70,L,69,71,0,1,L 1,Robins Center,/cbb/schools/delaware/men/2014.html,
1,/cbb/boxscores/2013-11-10-delaware.html,"Sun, Nov 10, 2013",REG,,/cbb/schools/charleston-southern/men/2014.html,Charleston Southern,/cbb/conferences/big-south/men/2014.html,Big South,-5.27,L,93,95,0,2,L 2,Bob Carpenter Center,/cbb/schools/delaware/men/2014.html,
2,/cbb/boxscores/2013-11-17-hampton.html,"Sun, Nov 17, 2013",REG,@,/cbb/schools/hampton/men/2014.html,Hampton,/cbb/conferences/meac/men/2014.html,MEAC,-5.17,W,90,79,1,2,W 1,Convocation Center,/cbb/schools/delaware/men/2014.html,
3,/cbb/boxscores/2013-11-19-army.html,"Tue, Nov 19, 2013",REG,@,/cbb/schools/army/men/2014.html,Army,/cbb/conferences/patriot/men/2014.html,Patriot,-6.16,W,89,74,2,2,W 2,Christl Arena,/cbb/schools/delaware/men/2014.html,
4,/cbb/boxscores/2013-11-22-villanova.html,"Fri, Nov 22, 2013",REG,@,/cbb/schools/villanova/men/2014.html,Villanova,/cbb/conferences/big-east/men/2014.html,Big East,18.97,L,80,84,2,3,L 1,Wells Fargo Center,/cbb/schools/delaware/men/2014.html,
5,/cbb/boxscores/2013-11-25-delaware-state.html,"Mon, Nov 25, 2013",REG,@,/cbb/schools/delaware-state/men/2014.html,Delaware State,/cbb/conferences/meac/men/2014.html,MEAC,-12.64,W,80,70,3,3,W 1,Memorial Hall,/cbb/schools/delaware/men/2014.html,
6,/cbb/boxscores/2013-11-30-delaware.html,"Sat, Nov 30, 2013",REG,,/cbb/schools/robert-morris/men/2014.html,Robert Morris,/cbb/conferences/northeast/men/2014.html,NEC,-3.52,W,86,67,4,3,W 2,Bob Carpenter Center,/cbb/schools/delaware/men/2014.html,
7,/cbb/boxscores/2013-12-03-charleston-southern.html,"Tue, Dec 3, 2013",REG,@,/cbb/schools/charleston-southern/men/2014.html,Charleston Southern,/cbb/conferences/big-south/men/2014.html,Big South,-5.27,W,85,80,5,3,W 3,North Charleston Coliseum,/cbb/schools/delaware/men/2014.html,
8,/cbb/boxscores/2013-12-07-notre-dame.html,"Sat, Dec 7, 2013",REG,@,/cbb/schools/notre-dame/men/2014.html,Notre Dame,/cbb/conferences/acc/men/2014.html,ACC,8.19,L,75,80,5,4,L 1,Purcell Pavilion at the Joyce Center,/cbb/schools/delaware/men/2014.html,
9,/cbb/boxscores/2013-12-16-north-dakota-state.html,"Mon, Dec 16, 2013",REG,@,/cbb/schools/north-dakota-state/men/2014.html,North Dakota State,/cbb/conferences/summit/men/2014.html,Summit,6.31,L,66,85,5,5,L 2,Bison Sports Arena,/cbb/schools/delaware/men/2014.html,
