,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2013-11-08-duke.html,"Fri, Nov 8, 2013",REG,/cbb/schools/davidson/men/2014.html,Davidson,/cbb/conferences/southern/men/2014.html,Southern,0.81,W,111,77,1,0,W 1,Cameron Indoor Stadium,/cbb/schools/duke/men/2014.html,,
1,/cbb/boxscores/2013-11-12-duke.html,"Tue, Nov 12, 2013",REG,/cbb/schools/kansas/men/2014.html,Kansas,/cbb/conferences/big-12/men/2014.html,Big 12,20.25,L,83,94,1,1,L 1,United Center,/cbb/schools/duke/men/2014.html,N,
2,/cbb/boxscores/2013-11-15-duke.html,"Fri, Nov 15, 2013",REG,/cbb/schools/florida-atlantic/men/2014.html,Florida Atlantic,/cbb/conferences/cusa/men/2014.html,CUSA,-5.12,W,97,64,2,1,W 1,Cameron Indoor Stadium,/cbb/schools/duke/men/2014.html,,
3,/cbb/boxscores/2013-11-18-duke.html,"Mon, Nov 18, 2013",REG,/cbb/schools/north-carolina-asheville/men/2014.html,UNC Asheville,/cbb/conferences/big-south/men/2014.html,Big South,-6.81,W,91,55,3,1,W 2,Cameron Indoor Stadium,/cbb/schools/duke/men/2014.html,,
4,/cbb/boxscores/2013-11-19-duke.html,"Tue, Nov 19, 2013",REG,/cbb/schools/east-carolina/men/2014.html,East Carolina,/cbb/conferences/cusa/men/2014.html,CUSA,-4.08,W,83,74,4,1,W 3,Cameron Indoor Stadium,/cbb/schools/duke/men/2014.html,,
5,/cbb/boxscores/2013-11-24-duke.html,"Sun, Nov 24, 2013",REG,/cbb/schools/vermont/men/2014.html,Vermont,/cbb/conferences/america-east/men/2014.html,AEC,4.52,W,91,90,5,1,W 4,Cameron Indoor Stadium,/cbb/schools/duke/men/2014.html,,
6,/cbb/boxscores/2013-11-27-alabama.html,"Wed, Nov 27, 2013",REG,/cbb/schools/alabama/men/2014.html,Alabama,/cbb/conferences/sec/men/2014.html,SEC,8.34,W,74,64,6,1,W 5,Madison Square Garden (IV),/cbb/schools/duke/men/2014.html,N,
7,/cbb/boxscores/2013-11-29-arizona.html,"Fri, Nov 29, 2013",REG,/cbb/schools/arizona/men/2014.html,Arizona,/cbb/conferences/pac-12/men/2014.html,Pac-12,23.36,L,66,72,6,2,L 1,,/cbb/schools/duke/men/2014.html,N,
8,/cbb/boxscores/2013-12-03-duke.html,"Tue, Dec 3, 2013",REG,/cbb/schools/michigan/men/2014.html,Michigan,/cbb/conferences/big-ten/men/2014.html,Big Ten,18.52,W,79,69,7,2,W 1,Cameron Indoor Stadium,/cbb/schools/duke/men/2014.html,,
9,/cbb/boxscores/2013-12-16-duke.html,"Mon, Dec 16, 2013",REG,/cbb/schools/gardner-webb/men/2014.html,Gardner-Webb,/cbb/conferences/big-south/men/2014.html,Big South,-7.33,W,85,66,8,2,W 2,Cameron Indoor Stadium,/cbb/schools/duke/men/2014.html,,
10,/cbb/boxscores/2013-12-19-duke.html,"Thu, Dec 19, 2013",REG,/cbb/schools/ucla/men/2014.html,UCLA,/cbb/conferences/pac-12/men/2014.html,Pac-12,18.40,W,80,63,9,2,W 3,Madison Square Garden (IV),/cbb/schools/duke/men/2014.html,N,
11,/cbb/boxscores/2013-12-28-duke.html,"Sat, Dec 28, 2013",REG,/cbb/schools/eastern-michigan/men/2014.html,Eastern Michigan,/cbb/conferences/mac/men/2014.html,MAC,1.79,W,82,59,10,2,W 4,Cameron Indoor Stadium,/cbb/schools/duke/men/2014.html,,
12,/cbb/boxscores/2013-12-31-duke.html,"Tue, Dec 31, 2013",REG,/cbb/schools/elon/men/2014.html,Elon,/cbb/conferences/southern/men/2014.html,Southern,-4.02,W,86,48,11,2,W 5,,/cbb/schools/duke/men/2014.html,N,
13,/cbb/boxscores/2014-01-04-notre-dame.html,"Sat, Jan 4, 2014",REG,/cbb/schools/notre-dame/men/2014.html,Notre Dame,/cbb/conferences/acc/men/2014.html,ACC,8.19,L,77,79,11,3,L 1,Purcell Pavilion at the Joyce Center,/cbb/schools/duke/men/2014.html,@,
14,/cbb/boxscores/2014-01-07-duke.html,"Tue, Jan 7, 2014",REG,/cbb/schools/georgia-tech/men/2014.html,Georgia Tech,/cbb/conferences/acc/men/2014.html,ACC,5.12,W,79,57,12,3,W 1,Cameron Indoor Stadium,/cbb/schools/duke/men/2014.html,,
15,/cbb/boxscores/2014-01-11-clemson.html,"Sat, Jan 11, 2014",REG,/cbb/schools/clemson/men/2014.html,Clemson,/cbb/conferences/acc/men/2014.html,ACC,11.08,L,59,72,12,4,L 1,Littlejohn Coliseum,/cbb/schools/duke/men/2014.html,@,
16,/cbb/boxscores/2014-01-13-duke.html,"Mon, Jan 13, 2014",REG,/cbb/schools/virginia/men/2014.html,Virginia,/cbb/conferences/acc/men/2014.html,ACC,18.38,W,69,65,13,4,W 1,Cameron Indoor Stadium,/cbb/schools/duke/men/2014.html,,
17,/cbb/boxscores/2014-01-18-duke.html,"Sat, Jan 18, 2014",REG,/cbb/schools/north-carolina-state/men/2014.html,NC State,/cbb/conferences/acc/men/2014.html,ACC,9.02,W,95,60,14,4,W 2,Cameron Indoor Stadium,/cbb/schools/duke/men/2014.html,,
18,/cbb/boxscores/2014-01-22-miami-fl.html,"Wed, Jan 22, 2014",REG,/cbb/schools/miami-fl/men/2014.html,Miami (FL),/cbb/conferences/acc/men/2014.html,ACC,7.60,W,67,46,15,4,W 3,BankUnited Center,/cbb/schools/duke/men/2014.html,@,
19,/cbb/boxscores/2014-01-25-duke.html,"Sat, Jan 25, 2014",REG,/cbb/schools/florida-state/men/2014.html,Florida State,/cbb/conferences/acc/men/2014.html,ACC,12.63,W,78,56,16,4,W 4,Cameron Indoor Stadium,/cbb/schools/duke/men/2014.html,,
20,/cbb/boxscores/2014-01-27-pittsburgh.html,"Mon, Jan 27, 2014",REG,/cbb/schools/pittsburgh/men/2014.html,Pittsburgh,/cbb/conferences/acc/men/2014.html,ACC,17.46,W,80,65,17,4,W 5,Petersen Events Center,/cbb/schools/duke/men/2014.html,@,
21,/cbb/boxscores/2014-02-01-syracuse.html,"Sat, Feb 1, 2014",REG,/cbb/schools/syracuse/men/2014.html,Syracuse,/cbb/conferences/acc/men/2014.html,ACC,16.05,L,89,91,17,5,L 1,Carrier Dome,/cbb/schools/duke/men/2014.html,@,OT
22,/cbb/boxscores/2014-02-04-duke.html,"Tue, Feb 4, 2014",REG,/cbb/schools/wake-forest/men/2014.html,Wake Forest,/cbb/conferences/acc/men/2014.html,ACC,5.49,W,83,63,18,5,W 1,Cameron Indoor Stadium,/cbb/schools/duke/men/2014.html,,
23,/cbb/boxscores/2014-02-08-boston-college.html,"Sat, Feb 8, 2014",REG,/cbb/schools/boston-college/men/2014.html,Boston College,/cbb/conferences/acc/men/2014.html,ACC,3.01,W,89,68,19,5,W 2,Silvio O. Conte Forum,/cbb/schools/duke/men/2014.html,@,
24,/cbb/boxscores/2014-02-15-duke.html,"Sat, Feb 15, 2014",REG,/cbb/schools/maryland/men/2014.html,Maryland,/cbb/conferences/acc/men/2014.html,ACC,11.33,W,69,67,20,5,W 3,Cameron Indoor Stadium,/cbb/schools/duke/men/2014.html,,
25,/cbb/boxscores/2014-02-18-georgia-tech.html,"Tue, Feb 18, 2014",REG,/cbb/schools/georgia-tech/men/2014.html,Georgia Tech,/cbb/conferences/acc/men/2014.html,ACC,5.12,W,68,51,21,5,W 4,McCamish Pavilion,/cbb/schools/duke/men/2014.html,@,
26,/cbb/boxscores/2014-02-20-north-carolina.html,"Thu, Feb 20, 2014",REG,/cbb/schools/north-carolina/men/2014.html,North Carolina,/cbb/conferences/acc/men/2014.html,ACC,15.24,L,66,74,21,6,L 1,Dean Smith Center,/cbb/schools/duke/men/2014.html,@,
27,/cbb/boxscores/2014-02-22-duke.html,"Sat, Feb 22, 2014",REG,/cbb/schools/syracuse/men/2014.html,Syracuse,/cbb/conferences/acc/men/2014.html,ACC,16.05,W,66,60,22,6,W 1,Cameron Indoor Stadium,/cbb/schools/duke/men/2014.html,,
28,/cbb/boxscores/2014-02-25-duke.html,"Tue, Feb 25, 2014",REG,/cbb/schools/virginia-tech/men/2014.html,Virginia Tech,/cbb/conferences/acc/men/2014.html,ACC,1.90,W,66,48,23,6,W 2,Cameron Indoor Stadium,/cbb/schools/duke/men/2014.html,,
29,/cbb/boxscores/2014-03-05-wake-forest.html,"Wed, Mar 5, 2014",REG,/cbb/schools/wake-forest/men/2014.html,Wake Forest,/cbb/conferences/acc/men/2014.html,ACC,5.49,L,72,82,23,7,L 1,Lawrence Joel Veterans Memorial Coliseum,/cbb/schools/duke/men/2014.html,@,
30,/cbb/boxscores/2014-03-08-duke.html,"Sat, Mar 8, 2014",REG,/cbb/schools/north-carolina/men/2014.html,North Carolina,/cbb/conferences/acc/men/2014.html,ACC,15.24,W,93,81,24,7,W 1,Cameron Indoor Stadium,/cbb/schools/duke/men/2014.html,,
31,/cbb/boxscores/2014-03-14-clemson.html,"Fri, Mar 14, 2014",CTOURN,/cbb/schools/clemson/men/2014.html,Clemson,/cbb/conferences/acc/men/2014.html,ACC,11.08,W,63,62,25,7,W 2,Greensboro Coliseum,/cbb/schools/duke/men/2014.html,N,
32,/cbb/boxscores/2014-03-15-duke.html,"Sat, Mar 15, 2014",CTOURN,/cbb/schools/north-carolina-state/men/2014.html,NC State,/cbb/conferences/acc/men/2014.html,ACC,9.02,W,75,67,26,7,W 3,,/cbb/schools/duke/men/2014.html,N,
33,/cbb/boxscores/2014-03-16-duke.html,"Sun, Mar 16, 2014",CTOURN,/cbb/schools/virginia/men/2014.html,Virginia,/cbb/conferences/acc/men/2014.html,ACC,18.38,L,63,72,26,8,L 1,Greensboro Coliseum,/cbb/schools/duke/men/2014.html,N,
34,/cbb/boxscores/2014-03-21-duke.html,"Fri, Mar 21, 2014",NCAA,/cbb/schools/mercer/men/2014.html,Mercer,/cbb/conferences/atlantic-sun/men/2014.html,A-Sun,5.33,L,71,78,26,9,L 2,RBC Center,/cbb/schools/duke/men/2014.html,N,
