,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2013-11-08-eastern-kentucky.html,"Fri, Nov 8, 2013",REG,N,/cbb/schools/florida-international/men/2014.html,Florida International,/cbb/conferences/cusa/men/2014.html,CUSA,-5.40,W,83,61,1,0,W 1,KSU Convocation Center,/cbb/schools/eastern-kentucky/men/2014.html,
1,/cbb/boxscores/2013-11-09-kennesaw-state.html,"Sat, Nov 9, 2013",REG,@,/cbb/schools/kennesaw-state/men/2014.html,Kennesaw State,/cbb/conferences/atlantic-sun/men/2014.html,A-Sun,-16.16,W,68,60,2,0,W 2,KSU Convocation Center,/cbb/schools/eastern-kentucky/men/2014.html,
2,/cbb/boxscores/2013-11-10-eastern-kentucky.html,"Sun, Nov 10, 2013",REG,N,/cbb/schools/youngstown-state/men/2014.html,Youngstown State,/cbb/conferences/horizon/men/2014.html,Horizon,-2.30,L,67,75,2,1,L 1,KSU Convocation Center,/cbb/schools/eastern-kentucky/men/2014.html,
3,/cbb/boxscores/2013-11-13-eastern-kentucky.html,"Wed, Nov 13, 2013",REG,,,Warren Wilson,,,,W,114,45,3,1,W 1,McBrayer Arena,/cbb/schools/eastern-kentucky/men/2014.html,
4,/cbb/boxscores/2013-11-16-eastern-kentucky.html,"Sat, Nov 16, 2013",REG,,/cbb/schools/high-point/men/2014.html,High Point,/cbb/conferences/big-south/men/2014.html,Big South,-8.23,W,74,67,4,1,W 2,McBrayer Arena,/cbb/schools/eastern-kentucky/men/2014.html,
5,/cbb/boxscores/2013-11-19-eastern-kentucky.html,"Tue, Nov 19, 2013",REG,,/cbb/schools/alabama-am/men/2014.html,Alabama A&M,/cbb/conferences/swac/men/2014.html,SWAC,-13.86,W,82,68,5,1,W 3,McBrayer Arena,/cbb/schools/eastern-kentucky/men/2014.html,
6,/cbb/boxscores/2013-11-22-eastern-kentucky.html,"Fri, Nov 22, 2013",REG,,,Brescia,,,,W,95,56,6,1,W 4,McBrayer Arena,/cbb/schools/eastern-kentucky/men/2014.html,
7,/cbb/boxscores/2013-11-30-north-carolina-state.html,"Sat, Nov 30, 2013",REG,@,/cbb/schools/north-carolina-state/men/2014.html,NC State,/cbb/conferences/acc/men/2014.html,ACC,9.02,L,56,75,6,2,L 1,RBC Center,/cbb/schools/eastern-kentucky/men/2014.html,
8,/cbb/boxscores/2013-12-05-virginia-commonwealth.html,"Thu, Dec 5, 2013",REG,@,/cbb/schools/virginia-commonwealth/men/2014.html,Virginia Commonwealth,/cbb/conferences/atlantic-10/men/2014.html,A-10,14.55,L,68,71,6,3,L 2,Alltel Pavilion at the Stuart C. Siegel Center,/cbb/schools/eastern-kentucky/men/2014.html,OT
9,/cbb/boxscores/2013-12-07-longwood.html,"Sat, Dec 7, 2013",REG,@,/cbb/schools/longwood/men/2014.html,Longwood,/cbb/conferences/big-south/men/2014.html,Big South,-20.31,W,76,67,7,3,W 1,Willett Hall,/cbb/schools/eastern-kentucky/men/2014.html,
