,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2013-11-08-iowa.html,"Fri, Nov 8, 2013",REG,/cbb/schools/north-carolina-wilmington/men/2014.html,UNC Wilmington,/cbb/conferences/colonial/men/2014.html,CAA,-8.75,W,82,39,1,0,W 1,Carver-Hawkeye Arena,/cbb/schools/iowa/men/2014.html,,
1,/cbb/boxscores/2013-11-10-iowa.html,"Sun, Nov 10, 2013",REG,/cbb/schools/nebraska-omaha/men/2014.html,Omaha,/cbb/conferences/summit/men/2014.html,Summit,-1.19,W,83,75,2,0,W 2,Carver-Hawkeye Arena,/cbb/schools/iowa/men/2014.html,,
2,/cbb/boxscores/2013-11-14-iowa.html,"Thu, Nov 14, 2013",REG,/cbb/schools/maryland-eastern-shore/men/2014.html,Maryland-Eastern Shore,/cbb/conferences/meac/men/2014.html,MEAC,-17.03,W,109,63,3,0,W 3,Carver-Hawkeye Arena,/cbb/schools/iowa/men/2014.html,,
3,/cbb/boxscores/2013-11-17-iowa.html,"Sun, Nov 17, 2013",REG,/cbb/schools/abilene-christian/men/2014.html,Abilene Christian,/cbb/conferences/southland/men/2014.html,Southland,-19.60,W,103,41,4,0,W 4,Carver-Hawkeye Arena,/cbb/schools/iowa/men/2014.html,,
4,/cbb/boxscores/2013-11-22-iowa.html,"Fri, Nov 22, 2013",REG,/cbb/schools/pennsylvania/men/2014.html,Pennsylvania,/cbb/conferences/ivy/men/2014.html,Ivy,-6.59,W,86,55,5,0,W 5,Carver-Hawkeye Arena,/cbb/schools/iowa/men/2014.html,,
5,/cbb/boxscores/2013-11-28-iowa.html,"Thu, Nov 28, 2013",REG,/cbb/schools/xavier/men/2014.html,Xavier,/cbb/conferences/big-east/men/2014.html,Big East,11.84,W,77,74,6,0,W 6,Imperial Arena at Atlantis Resort,/cbb/schools/iowa/men/2014.html,N,OT
6,/cbb/boxscores/2013-11-29-iowa.html,"Fri, Nov 29, 2013",REG,/cbb/schools/texas-el-paso/men/2014.html,UTEP,/cbb/conferences/cusa/men/2014.html,CUSA,4.39,W,89,53,7,0,W 7,Imperial Arena at Atlantis Resort,/cbb/schools/iowa/men/2014.html,N,
7,/cbb/boxscores/2013-11-30-iowa.html,"Sat, Nov 30, 2013",REG,/cbb/schools/villanova/men/2014.html,Villanova,/cbb/conferences/big-east/men/2014.html,Big East,18.97,L,83,88,7,1,L 1,Imperial Arena at Atlantis Resort,/cbb/schools/iowa/men/2014.html,N,OT
8,/cbb/boxscores/2013-12-03-iowa.html,"Tue, Dec 3, 2013",REG,/cbb/schools/notre-dame/men/2014.html,Notre Dame,/cbb/conferences/acc/men/2014.html,ACC,8.19,W,98,93,8,1,W 1,Carver-Hawkeye Arena,/cbb/schools/iowa/men/2014.html,,
9,/cbb/boxscores/2013-12-07-drake.html,"Sat, Dec 7, 2013",REG,/cbb/schools/drake/men/2014.html,Drake,/cbb/conferences/mvc/men/2014.html,MVC,-0.77,W,83,66,9,1,W 2,Wells Fargo Arena,/cbb/schools/iowa/men/2014.html,N,
