,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2013-11-09-louisville.html,"Sat, Nov 9, 2013",REG,/cbb/schools/college-of-charleston/men/2014.html,College of Charleston,/cbb/conferences/colonial/men/2014.html,CAA,-2.02,W,70,48,1,0,W 1,KFC Yum! Center,/cbb/schools/louisville/men/2014.html,
1,/cbb/boxscores/2013-11-12-louisville.html,"Tue, Nov 12, 2013",REG,/cbb/schools/hofstra/men/2014.html,Hofstra,/cbb/conferences/colonial/men/2014.html,CAA,-6.56,W,97,69,2,0,W 2,KFC Yum! Center,/cbb/schools/louisville/men/2014.html,
2,/cbb/boxscores/2013-11-15-louisville.html,"Fri, Nov 15, 2013",REG,/cbb/schools/cornell/men/2014.html,Cornell,/cbb/conferences/ivy/men/2014.html,Ivy,-15.60,W,99,54,3,0,W 3,KFC Yum! Center,/cbb/schools/louisville/men/2014.html,
3,/cbb/boxscores/2013-11-19-louisville.html,"Tue, Nov 19, 2013",REG,/cbb/schools/hartford/men/2014.html,Hartford,/cbb/conferences/america-east/men/2014.html,AEC,-6.63,W,87,48,4,0,W 4,KFC Yum! Center,/cbb/schools/louisville/men/2014.html,
4,/cbb/boxscores/2013-11-23-fairfield.html,"Sat, Nov 23, 2013",REG,/cbb/schools/fairfield/men/2014.html,Fairfield,/cbb/conferences/maac/men/2014.html,MAAC,-7.37,W,71,57,5,0,W 5,Mohegan Sun Arena,/cbb/schools/louisville/men/2014.html,N
5,/cbb/boxscores/2013-11-24-louisville.html,"Sun, Nov 24, 2013",REG,/cbb/schools/north-carolina/men/2014.html,North Carolina,/cbb/conferences/acc/men/2014.html,ACC,15.24,L,84,93,5,1,L 1,Mohegan Sun Arena,/cbb/schools/louisville/men/2014.html,N
6,/cbb/boxscores/2013-11-29-louisville.html,"Fri, Nov 29, 2013",REG,/cbb/schools/southern-mississippi/men/2014.html,Southern Mississippi,/cbb/conferences/cusa/men/2014.html,CUSA,6.84,W,69,38,6,1,W 1,KFC Yum! Center,/cbb/schools/louisville/men/2014.html,
7,/cbb/boxscores/2013-12-04-louisville.html,"Wed, Dec 4, 2013",REG,/cbb/schools/missouri-kansas-city/men/2014.html,Kansas City,/cbb/conferences/wac/men/2014.html,WAC,-9.00,W,90,62,7,1,W 2,KFC Yum! Center,/cbb/schools/louisville/men/2014.html,
8,/cbb/boxscores/2013-12-07-louisville.html,"Sat, Dec 7, 2013",REG,/cbb/schools/louisiana-lafayette/men/2014.html,Louisiana,/cbb/conferences/sun-belt/men/2014.html,Sun Belt,2.91,W,113,74,8,1,W 3,KFC Yum! Center,/cbb/schools/louisville/men/2014.html,
9,/cbb/boxscores/2013-12-14-louisville.html,"Sat, Dec 14, 2013",REG,/cbb/schools/western-kentucky/men/2014.html,Western Kentucky,/cbb/conferences/sun-belt/men/2014.html,Sun Belt,-1.47,W,79,63,9,1,W 4,KFC Yum! Center,/cbb/schools/louisville/men/2014.html,
10,/cbb/boxscores/2013-12-17-louisville.html,"Tue, Dec 17, 2013",REG,/cbb/schools/missouri-state/men/2014.html,Missouri State,/cbb/conferences/mvc/men/2014.html,MVC,0.81,W,90,60,10,1,W 5,KFC Yum! Center,/cbb/schools/louisville/men/2014.html,
11,/cbb/boxscores/2013-12-21-florida-international.html,"Sat, Dec 21, 2013",REG,/cbb/schools/florida-international/men/2014.html,Florida International,/cbb/conferences/cusa/men/2014.html,CUSA,-5.40,W,85,56,11,1,W 6,US Century Bank Arena,/cbb/schools/louisville/men/2014.html,@
12,/cbb/boxscores/2013-12-28-kentucky.html,"Sat, Dec 28, 2013",REG,/cbb/schools/kentucky/men/2014.html,Kentucky,/cbb/conferences/sec/men/2014.html,SEC,18.07,L,66,73,11,2,L 1,Rupp Arena,/cbb/schools/louisville/men/2014.html,@
13,/cbb/boxscores/2013-12-31-central-florida.html,"Tue, Dec 31, 2013",REG,/cbb/schools/central-florida/men/2014.html,UCF,/cbb/conferences/aac/men/2014.html,AAC,2.35,W,90,65,12,2,W 1,New UCF Arena,/cbb/schools/louisville/men/2014.html,@
14,/cbb/boxscores/2014-01-04-rutgers.html,"Sat, Jan 4, 2014",REG,/cbb/schools/rutgers/men/2014.html,Rutgers,/cbb/conferences/aac/men/2014.html,AAC,-0.29,W,83,76,13,2,W 2,Louis Brown Athletic Center,/cbb/schools/louisville/men/2014.html,@
15,/cbb/boxscores/2014-01-09-louisville.html,"Thu, Jan 9, 2014",REG,/cbb/schools/memphis/men/2014.html,Memphis,/cbb/conferences/aac/men/2014.html,AAC,13.02,L,67,73,13,3,L 1,KFC Yum! Center,/cbb/schools/louisville/men/2014.html,
16,/cbb/boxscores/2014-01-12-louisville.html,"Sun, Jan 12, 2014",REG,/cbb/schools/southern-methodist/men/2014.html,Southern Methodist,/cbb/conferences/aac/men/2014.html,AAC,13.73,W,71,63,14,3,W 1,KFC Yum! Center,/cbb/schools/louisville/men/2014.html,
17,/cbb/boxscores/2014-01-16-louisville.html,"Thu, Jan 16, 2014",REG,/cbb/schools/houston/men/2014.html,Houston,/cbb/conferences/aac/men/2014.html,AAC,2.68,W,91,52,15,3,W 2,KFC Yum! Center,/cbb/schools/louisville/men/2014.html,
18,/cbb/boxscores/2014-01-18-connecticut.html,"Sat, Jan 18, 2014",REG,/cbb/schools/connecticut/men/2014.html,Connecticut,/cbb/conferences/aac/men/2014.html,AAC,17.23,W,76,64,16,3,W 3,Harry A. Gampel Pavilion,/cbb/schools/louisville/men/2014.html,@
19,/cbb/boxscores/2014-01-22-south-florida.html,"Wed, Jan 22, 2014",REG,/cbb/schools/south-florida/men/2014.html,South Florida,/cbb/conferences/aac/men/2014.html,AAC,-0.52,W,86,47,17,3,W 4,Sun Dome,/cbb/schools/louisville/men/2014.html,@
20,/cbb/boxscores/2014-01-30-louisville.html,"Thu, Jan 30, 2014",REG,/cbb/schools/cincinnati/men/2014.html,Cincinnati,/cbb/conferences/aac/men/2014.html,AAC,15.26,L,66,69,17,4,L 1,KFC Yum! Center,/cbb/schools/louisville/men/2014.html,
21,/cbb/boxscores/2014-02-01-louisville.html,"Sat, Feb 1, 2014",REG,/cbb/schools/central-florida/men/2014.html,UCF,/cbb/conferences/aac/men/2014.html,AAC,2.35,W,87,70,18,4,W 1,KFC Yum! Center,/cbb/schools/louisville/men/2014.html,
22,/cbb/boxscores/2014-02-05-houston.html,"Wed, Feb 5, 2014",REG,/cbb/schools/houston/men/2014.html,Houston,/cbb/conferences/aac/men/2014.html,AAC,2.68,W,77,62,19,4,W 2,Hofheinz Pavilion,/cbb/schools/louisville/men/2014.html,@
23,/cbb/boxscores/2014-02-14-temple.html,"Fri, Feb 14, 2014",REG,/cbb/schools/temple/men/2014.html,Temple,/cbb/conferences/aac/men/2014.html,AAC,2.69,W,82,58,20,4,W 3,Liacouras Center,/cbb/schools/louisville/men/2014.html,@
24,/cbb/boxscores/2014-02-16-louisville.html,"Sun, Feb 16, 2014",REG,/cbb/schools/rutgers/men/2014.html,Rutgers,/cbb/conferences/aac/men/2014.html,AAC,-0.29,W,102,54,21,4,W 4,KFC Yum! Center,/cbb/schools/louisville/men/2014.html,
25,/cbb/boxscores/2014-02-18-louisville.html,"Tue, Feb 18, 2014",REG,/cbb/schools/south-florida/men/2014.html,South Florida,/cbb/conferences/aac/men/2014.html,AAC,-0.52,W,80,54,22,4,W 5,KFC Yum! Center,/cbb/schools/louisville/men/2014.html,
26,/cbb/boxscores/2014-02-22-cincinnati.html,"Sat, Feb 22, 2014",REG,/cbb/schools/cincinnati/men/2014.html,Cincinnati,/cbb/conferences/aac/men/2014.html,AAC,15.26,W,58,57,23,4,W 6,Fifth Third Arena,/cbb/schools/louisville/men/2014.html,@
27,/cbb/boxscores/2014-02-27-louisville.html,"Thu, Feb 27, 2014",REG,/cbb/schools/temple/men/2014.html,Temple,/cbb/conferences/aac/men/2014.html,AAC,2.69,W,88,66,24,4,W 7,KFC Yum! Center,/cbb/schools/louisville/men/2014.html,
28,/cbb/boxscores/2014-03-01-memphis.html,"Sat, Mar 1, 2014",REG,/cbb/schools/memphis/men/2014.html,Memphis,/cbb/conferences/aac/men/2014.html,AAC,13.02,L,66,72,24,5,L 1,FedExForum,/cbb/schools/louisville/men/2014.html,@
29,/cbb/boxscores/2014-03-05-southern-methodist.html,"Wed, Mar 5, 2014",REG,/cbb/schools/southern-methodist/men/2014.html,Southern Methodist,/cbb/conferences/aac/men/2014.html,AAC,13.73,W,84,71,25,5,W 1,Moody Coliseum,/cbb/schools/louisville/men/2014.html,@
30,/cbb/boxscores/2014-03-08-louisville.html,"Sat, Mar 8, 2014",REG,/cbb/schools/connecticut/men/2014.html,Connecticut,/cbb/conferences/aac/men/2014.html,AAC,17.23,W,81,48,26,5,W 2,KFC Yum! Center,/cbb/schools/louisville/men/2014.html,
31,/cbb/boxscores/2014-03-13-louisville.html,"Thu, Mar 13, 2014",CTOURN,/cbb/schools/rutgers/men/2014.html,Rutgers,/cbb/conferences/aac/men/2014.html,AAC,-0.29,W,92,31,27,5,W 3,FedExForum,/cbb/schools/louisville/men/2014.html,N
