,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2013-11-10-boston-college.html,"Sun, Nov 10, 2013",REG,N,/cbb/schools/boston-college/men/2014.html,Boston College,/cbb/conferences/acc/men/2014.html,ACC,3.01,W,86,73,1,0,W 1,TD Garden,/cbb/schools/massachusetts/men/2014.html,
1,/cbb/boxscores/2013-11-12-massachusetts.html,"Tue, Nov 12, 2013",REG,,/cbb/schools/louisiana-state/men/2014.html,Louisiana State,/cbb/conferences/sec/men/2014.html,SEC,10.05,W,92,90,2,0,W 2,Mullins Center,/cbb/schools/massachusetts/men/2014.html,
2,/cbb/boxscores/2013-11-17-massachusetts.html,"Sun, Nov 17, 2013",REG,,/cbb/schools/youngstown-state/men/2014.html,Youngstown State,/cbb/conferences/horizon/men/2014.html,Horizon,-2.30,W,85,69,3,0,W 3,Mullins Center,/cbb/schools/massachusetts/men/2014.html,
3,/cbb/boxscores/2013-11-21-massachusetts.html,"Thu, Nov 21, 2013",REG,N,/cbb/schools/nebraska/men/2014.html,Nebraska,/cbb/conferences/big-ten/men/2014.html,Big Ten,10.13,W,96,90,4,0,W 4,Carolina First Arena,/cbb/schools/massachusetts/men/2014.html,
4,/cbb/boxscores/2013-11-22-massachusetts.html,"Fri, Nov 22, 2013",REG,N,/cbb/schools/new-mexico/men/2014.html,New Mexico,/cbb/conferences/mwc/men/2014.html,MWC,12.72,W,81,65,5,0,W 5,Carolina First Arena,/cbb/schools/massachusetts/men/2014.html,
5,/cbb/boxscores/2013-11-24-clemson.html,"Sun, Nov 24, 2013",REG,N,/cbb/schools/clemson/men/2014.html,Clemson,/cbb/conferences/acc/men/2014.html,ACC,11.08,W,62,56,6,0,W 6,Carolina First Arena,/cbb/schools/massachusetts/men/2014.html,
6,/cbb/boxscores/2013-12-03-eastern-michigan.html,"Tue, Dec 3, 2013",REG,@,/cbb/schools/eastern-michigan/men/2014.html,Eastern Michigan,/cbb/conferences/mac/men/2014.html,MAC,1.79,W,69,57,7,0,W 7,Convocation Center,/cbb/schools/massachusetts/men/2014.html,
7,/cbb/boxscores/2013-12-07-brigham-young.html,"Sat, Dec 7, 2013",REG,N,/cbb/schools/brigham-young/men/2014.html,Brigham Young,/cbb/conferences/wcc/men/2014.html,WCC,11.63,W,105,96,8,0,W 8,Mullins Center,/cbb/schools/massachusetts/men/2014.html,
8,/cbb/boxscores/2013-12-14-massachusetts.html,"Sat, Dec 14, 2013",REG,,/cbb/schools/northern-illinois/men/2014.html,Northern Illinois,/cbb/conferences/mac/men/2014.html,MAC,-3.54,W,80,54,9,0,W 9,Mullins Center,/cbb/schools/massachusetts/men/2014.html,
9,/cbb/boxscores/2013-12-18-ohio.html,"Wed, Dec 18, 2013",REG,@,/cbb/schools/ohio/men/2014.html,Ohio,/cbb/conferences/mac/men/2014.html,MAC,2.70,W,83,71,10,0,W 10,Convocation Center,/cbb/schools/massachusetts/men/2014.html,
