,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2013-11-08-michigan-state.html,"Fri, Nov 8, 2013",REG,/cbb/schools/mcneese-state/men/2014.html,McNeese State,/cbb/conferences/southland/men/2014.html,Southland,-13.15,W,98,56,1,0,W 1,Breslin Student Events Center,/cbb/schools/michigan-state/men/2014.html,,
1,/cbb/boxscores/2013-11-12-kentucky.html,"Tue, Nov 12, 2013",REG,/cbb/schools/kentucky/men/2014.html,Kentucky,/cbb/conferences/sec/men/2014.html,SEC,18.07,W,78,74,2,0,W 2,United Center,/cbb/schools/michigan-state/men/2014.html,N,
2,/cbb/boxscores/2013-11-15-michigan-state.html,"Fri, Nov 15, 2013",REG,/cbb/schools/columbia/men/2014.html,Columbia,/cbb/conferences/ivy/men/2014.html,Ivy,2.21,W,62,53,3,0,W 3,Breslin Student Events Center,/cbb/schools/michigan-state/men/2014.html,,
3,/cbb/boxscores/2013-11-18-michigan-state.html,"Mon, Nov 18, 2013",REG,/cbb/schools/portland/men/2014.html,Portland,/cbb/conferences/wcc/men/2014.html,WCC,4.77,W,82,67,4,0,W 4,Breslin Student Events Center,/cbb/schools/michigan-state/men/2014.html,,
4,/cbb/boxscores/2013-11-22-michigan-state.html,"Fri, Nov 22, 2013",REG,/cbb/schools/virginia-tech/men/2014.html,Virginia Tech,/cbb/conferences/acc/men/2014.html,ACC,1.90,W,96,77,5,0,W 5,Barclays Center,/cbb/schools/michigan-state/men/2014.html,N,
5,/cbb/boxscores/2013-11-23-michigan-state.html,"Sat, Nov 23, 2013",REG,/cbb/schools/oklahoma/men/2014.html,Oklahoma,/cbb/conferences/big-12/men/2014.html,Big 12,14.91,W,87,76,6,0,W 6,Barclays Center,/cbb/schools/michigan-state/men/2014.html,N,
6,/cbb/boxscores/2013-11-29-michigan-state.html,"Fri, Nov 29, 2013",REG,/cbb/schools/mount-st-marys/men/2014.html,Mount St. Mary's,/cbb/conferences/northeast/men/2014.html,NEC,-6.32,W,98,65,7,0,W 7,Breslin Student Events Center,/cbb/schools/michigan-state/men/2014.html,,
7,/cbb/boxscores/2013-12-04-michigan-state.html,"Wed, Dec 4, 2013",REG,/cbb/schools/north-carolina/men/2014.html,North Carolina,/cbb/conferences/acc/men/2014.html,ACC,15.24,L,65,79,7,1,L 1,Breslin Student Events Center,/cbb/schools/michigan-state/men/2014.html,,
8,/cbb/boxscores/2013-12-14-michigan-state.html,"Sat, Dec 14, 2013",REG,/cbb/schools/oakland/men/2014.html,Oakland,/cbb/conferences/horizon/men/2014.html,Horizon,-2.23,W,67,63,8,1,W 1,,/cbb/schools/michigan-state/men/2014.html,N,
9,/cbb/boxscores/2013-12-17-michigan-state.html,"Tue, Dec 17, 2013",REG,/cbb/schools/north-florida/men/2014.html,North Florida,/cbb/conferences/atlantic-sun/men/2014.html,A-Sun,-7.52,W,78,48,9,1,W 2,Breslin Student Events Center,/cbb/schools/michigan-state/men/2014.html,,
10,/cbb/boxscores/2013-12-21-texas.html,"Sat, Dec 21, 2013",REG,/cbb/schools/texas/men/2014.html,Texas,/cbb/conferences/big-12/men/2014.html,Big 12,12.67,W,92,78,10,1,W 3,Frank Erwin Center,/cbb/schools/michigan-state/men/2014.html,@,
11,/cbb/boxscores/2013-12-28-michigan-state.html,"Sat, Dec 28, 2013",REG,/cbb/schools/new-orleans/men/2014.html,New Orleans,/cbb/conferences/southland/men/2014.html,Southland,-15.03,W,101,48,11,1,W 4,Breslin Student Events Center,/cbb/schools/michigan-state/men/2014.html,,
12,/cbb/boxscores/2013-12-31-penn-state.html,"Tue, Dec 31, 2013",REG,/cbb/schools/penn-state/men/2014.html,Penn State,/cbb/conferences/big-ten/men/2014.html,Big Ten,7.68,W,79,63,12,1,W 5,Bryce Jordan Center,/cbb/schools/michigan-state/men/2014.html,@,
13,/cbb/boxscores/2014-01-04-indiana.html,"Sat, Jan 4, 2014",REG,/cbb/schools/indiana/men/2014.html,Indiana,/cbb/conferences/big-ten/men/2014.html,Big Ten,11.32,W,73,56,13,1,W 6,Assembly Hall,/cbb/schools/michigan-state/men/2014.html,@,
