,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2013-11-08-west-virginia.html,"Fri, Nov 8, 2013",REG,@,/cbb/schools/west-virginia/men/2014.html,West Virginia,/cbb/conferences/big-12/men/2014.html,Big 12,11.78,L,62,77,0,1,L 1,WVU Coliseum,/cbb/schools/mount-st-marys/men/2014.html,
1,/cbb/boxscores/2013-11-13-villanova.html,"Wed, Nov 13, 2013",REG,@,/cbb/schools/villanova/men/2014.html,Villanova,/cbb/conferences/big-east/men/2014.html,Big East,18.97,L,59,90,0,2,L 2,Wells Fargo Center,/cbb/schools/mount-st-marys/men/2014.html,
2,/cbb/boxscores/2013-11-15-brigham-young.html,"Fri, Nov 15, 2013",REG,@,/cbb/schools/brigham-young/men/2014.html,Brigham Young,/cbb/conferences/wcc/men/2014.html,WCC,11.63,L,76,108,0,3,L 3,Marriott Center,/cbb/schools/mount-st-marys/men/2014.html,
3,/cbb/boxscores/2013-11-17-maryland-baltimore-county.html,"Sun, Nov 17, 2013",REG,@,/cbb/schools/maryland-baltimore-county/men/2014.html,Maryland-Baltimore County,/cbb/conferences/america-east/men/2014.html,AEC,-14.21,L,84,90,0,4,L 4,RAC Arena,/cbb/schools/mount-st-marys/men/2014.html,OT
4,/cbb/boxscores/2013-11-20-maryland-eastern-shore.html,"Wed, Nov 20, 2013",REG,@,/cbb/schools/maryland-eastern-shore/men/2014.html,Maryland-Eastern Shore,/cbb/conferences/meac/men/2014.html,MEAC,-17.03,L,71,78,0,5,L 5,Hytche Athletic Center,/cbb/schools/mount-st-marys/men/2014.html,
5,/cbb/boxscores/2013-11-23-mount-st-marys.html,"Sat, Nov 23, 2013",REG,,/cbb/schools/american/men/2014.html,American,/cbb/conferences/patriot/men/2014.html,Patriot,0.69,W,68,64,1,5,W 1,Knott Arena,/cbb/schools/mount-st-marys/men/2014.html,
6,/cbb/boxscores/2013-11-26-mount-st-marys.html,"Tue, Nov 26, 2013",REG,,/cbb/schools/bucknell/men/2014.html,Bucknell,/cbb/conferences/patriot/men/2014.html,Patriot,-1.30,W,69,64,2,5,W 2,Knott Arena,/cbb/schools/mount-st-marys/men/2014.html,
7,/cbb/boxscores/2013-11-29-michigan-state.html,"Fri, Nov 29, 2013",REG,@,/cbb/schools/michigan-state/men/2014.html,Michigan State,/cbb/conferences/big-ten/men/2014.html,Big Ten,19.35,L,65,98,2,6,L 1,Breslin Student Events Center,/cbb/schools/mount-st-marys/men/2014.html,
8,/cbb/boxscores/2013-12-04-mount-st-marys.html,"Wed, Dec 4, 2013",REG,,/cbb/schools/binghamton/men/2014.html,Binghamton,/cbb/conferences/america-east/men/2014.html,AEC,-16.15,L,70,74,2,7,L 2,Knott Arena,/cbb/schools/mount-st-marys/men/2014.html,
9,/cbb/boxscores/2013-12-07-mount-st-marys.html,"Sat, Dec 7, 2013",REG,,/cbb/schools/loyola-md/men/2014.html,Loyola (MD),/cbb/conferences/patriot/men/2014.html,Patriot,-10.58,W,70,58,3,7,W 1,Knott Arena,/cbb/schools/mount-st-marys/men/2014.html,
10,/cbb/boxscores/2013-12-22-penn-state.html,"Sun, Dec 22, 2013",REG,@,/cbb/schools/penn-state/men/2014.html,Penn State,/cbb/conferences/big-ten/men/2014.html,Big Ten,7.68,L,82,92,3,8,L 1,Bryce Jordan Center,/cbb/schools/mount-st-marys/men/2014.html,
11,/cbb/boxscores/2013-12-30-texas-tech.html,"Mon, Dec 30, 2013",REG,@,/cbb/schools/texas-tech/men/2014.html,Texas Tech,/cbb/conferences/big-12/men/2014.html,Big 12,8.61,L,69,100,3,9,L 2,United Spirit Arena,/cbb/schools/mount-st-marys/men/2014.html,
12,/cbb/boxscores/2014-01-03-norfolk-state.html,"Fri, Jan 3, 2014",REG,@,/cbb/schools/norfolk-state/men/2014.html,Norfolk State,/cbb/conferences/meac/men/2014.html,MEAC,-7.82,W,104,84,4,9,W 1,Echols Memorial Hall,/cbb/schools/mount-st-marys/men/2014.html,
13,/cbb/boxscores/2014-01-09-fairleigh-dickinson.html,"Thu, Jan 9, 2014",REG,@,/cbb/schools/fairleigh-dickinson/men/2014.html,FDU,/cbb/conferences/northeast/men/2014.html,NEC,-11.24,L,79,85,4,10,L 1,Rothman Center,/cbb/schools/mount-st-marys/men/2014.html,
14,/cbb/boxscores/2014-01-11-mount-st-marys.html,"Sat, Jan 11, 2014",REG,,/cbb/schools/st-francis-ny/men/2014.html,St. Francis (NY),/cbb/conferences/northeast/men/2014.html,NEC,-4.64,W,88,82,5,10,W 1,Knott Arena,/cbb/schools/mount-st-marys/men/2014.html,
15,/cbb/boxscores/2014-01-16-mount-st-marys.html,"Thu, Jan 16, 2014",REG,,/cbb/schools/wagner/men/2014.html,Wagner,/cbb/conferences/northeast/men/2014.html,NEC,-3.83,W,89,80,6,10,W 2,Knott Arena,/cbb/schools/mount-st-marys/men/2014.html,
16,/cbb/boxscores/2014-01-18-mount-st-marys.html,"Sat, Jan 18, 2014",REG,,/cbb/schools/robert-morris/men/2014.html,Robert Morris,/cbb/conferences/northeast/men/2014.html,NEC,-3.52,L,69,77,6,11,L 1,Knott Arena,/cbb/schools/mount-st-marys/men/2014.html,
17,/cbb/boxscores/2014-01-23-saint-francis-pa.html,"Thu, Jan 23, 2014",REG,@,/cbb/schools/saint-francis-pa/men/2014.html,Saint Francis (PA),/cbb/conferences/northeast/men/2014.html,NEC,-13.20,W,83,77,7,11,W 1,Maurice Stokes Athletic Center,/cbb/schools/mount-st-marys/men/2014.html,
18,/cbb/boxscores/2014-01-25-long-island-university.html,"Sat, Jan 25, 2014",REG,@,/cbb/schools/long-island-university/men/2014.html,Long Island University,/cbb/conferences/northeast/men/2014.html,NEC,-13.66,L,71,75,7,12,L 1,Wellness Center,/cbb/schools/mount-st-marys/men/2014.html,
19,/cbb/boxscores/2014-01-30-mount-st-marys.html,"Thu, Jan 30, 2014",REG,,/cbb/schools/fairleigh-dickinson/men/2014.html,FDU,/cbb/conferences/northeast/men/2014.html,NEC,-11.24,W,87,82,8,12,W 1,Knott Arena,/cbb/schools/mount-st-marys/men/2014.html,OT
20,/cbb/boxscores/2014-02-01-mount-st-marys.html,"Sat, Feb 1, 2014",REG,,/cbb/schools/long-island-university/men/2014.html,Long Island University,/cbb/conferences/northeast/men/2014.html,NEC,-13.66,W,95,92,9,12,W 2,Knott Arena,/cbb/schools/mount-st-marys/men/2014.html,
21,/cbb/boxscores/2014-02-06-sacred-heart.html,"Thu, Feb 6, 2014",REG,@,/cbb/schools/sacred-heart/men/2014.html,Sacred Heart,/cbb/conferences/northeast/men/2014.html,NEC,-12.93,W,73,60,10,12,W 3,William H. Pitt Center,/cbb/schools/mount-st-marys/men/2014.html,
22,/cbb/boxscores/2014-02-08-bryant.html,"Sat, Feb 8, 2014",REG,@,/cbb/schools/bryant/men/2014.html,Bryant,/cbb/conferences/northeast/men/2014.html,NEC,-4.25,L,75,78,10,13,L 1,Chase Athletic Center,/cbb/schools/mount-st-marys/men/2014.html,
23,/cbb/boxscores/2014-02-15-robert-morris.html,"Sat, Feb 15, 2014",REG,@,/cbb/schools/robert-morris/men/2014.html,Robert Morris,/cbb/conferences/northeast/men/2014.html,NEC,-3.52,L,61,69,10,14,L 2,Charles L. Sewall Center,/cbb/schools/mount-st-marys/men/2014.html,
24,/cbb/boxscores/2014-02-20-central-connecticut-state.html,"Thu, Feb 20, 2014",REG,@,/cbb/schools/central-connecticut-state/men/2014.html,Central Connecticut State,/cbb/conferences/northeast/men/2014.html,NEC,-13.10,W,87,76,11,14,W 1,Detrick Gymnasium,/cbb/schools/mount-st-marys/men/2014.html,
25,/cbb/boxscores/2014-02-22-wagner.html,"Sat, Feb 22, 2014",REG,@,/cbb/schools/wagner/men/2014.html,Wagner,/cbb/conferences/northeast/men/2014.html,NEC,-3.83,L,66,71,11,15,L 1,Spiro Sports Center,/cbb/schools/mount-st-marys/men/2014.html,
26,/cbb/boxscores/2014-02-24-mount-st-marys.html,"Mon, Feb 24, 2014",REG,,/cbb/schools/bryant/men/2014.html,Bryant,/cbb/conferences/northeast/men/2014.html,NEC,-4.25,W,88,73,12,15,W 1,Knott Arena,/cbb/schools/mount-st-marys/men/2014.html,
27,/cbb/boxscores/2014-02-27-mount-st-marys.html,"Thu, Feb 27, 2014",REG,,/cbb/schools/sacred-heart/men/2014.html,Sacred Heart,/cbb/conferences/northeast/men/2014.html,NEC,-12.93,L,65,72,12,16,L 1,Knott Arena,/cbb/schools/mount-st-marys/men/2014.html,
28,/cbb/boxscores/2014-03-01-mount-st-marys.html,"Sat, Mar 1, 2014",REG,,/cbb/schools/saint-francis-pa/men/2014.html,Saint Francis (PA),/cbb/conferences/northeast/men/2014.html,NEC,-13.20,W,78,55,13,16,W 1,Knott Arena,/cbb/schools/mount-st-marys/men/2014.html,
29,/cbb/boxscores/2014-03-05-mount-st-marys.html,"Wed, Mar 5, 2014",CTOURN,,/cbb/schools/st-francis-ny/men/2014.html,St. Francis (NY),/cbb/conferences/northeast/men/2014.html,NEC,-4.64,W,72,71,14,16,W 2,Knott Arena,/cbb/schools/mount-st-marys/men/2014.html,
30,/cbb/boxscores/2014-03-08-wagner.html,"Sat, Mar 8, 2014",CTOURN,@,/cbb/schools/wagner/men/2014.html,Wagner,/cbb/conferences/northeast/men/2014.html,NEC,-3.83,W,77,72,15,16,W 3,Spiro Sports Center,/cbb/schools/mount-st-marys/men/2014.html,
31,/cbb/boxscores/2014-03-11-robert-morris.html,"Tue, Mar 11, 2014",CTOURN,@,/cbb/schools/robert-morris/men/2014.html,Robert Morris,/cbb/conferences/northeast/men/2014.html,NEC,-3.52,W,88,71,16,16,W 4,Charles L. Sewall Center,/cbb/schools/mount-st-marys/men/2014.html,
32,/cbb/boxscores/2014-03-18-albany-ny.html,"Tue, Mar 18, 2014",NCAA,N,/cbb/schools/albany-ny/men/2014.html,Albany (NY),/cbb/conferences/america-east/men/2014.html,AEC,-3.31,L,64,71,16,17,L 1,University of Dayton Arena,/cbb/schools/mount-st-marys/men/2014.html,
