,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2013-11-08-cincinnati.html,"Fri, Nov 8, 2013",REG,@,/cbb/schools/cincinnati/men/2014.html,Cincinnati,/cbb/conferences/aac/men/2014.html,AAC,15.26,L,61,74,0,1,L 1,Fifth Third Arena,/cbb/schools/north-carolina-central/men/2014.html,
1,/cbb/boxscores/2013-11-11-north-carolina-central.html,"Mon, Nov 11, 2013",REG,,,Johnson & Wales (NC),,,,W,98,47,1,1,W 1,McDougald-McLendon Arena,/cbb/schools/north-carolina-central/men/2014.html,
2,/cbb/boxscores/2013-11-18-campbell.html,"Mon, Nov 18, 2013",REG,@,/cbb/schools/campbell/men/2014.html,Campbell,/cbb/conferences/big-south/men/2014.html,Big South,-14.04,W,62,43,2,1,W 2,John W. Pope Jr. Convocation Center,/cbb/schools/north-carolina-central/men/2014.html,
3,/cbb/boxscores/2013-11-20-north-carolina-state.html,"Wed, Nov 20, 2013",REG,@,/cbb/schools/north-carolina-state/men/2014.html,NC State,/cbb/conferences/acc/men/2014.html,ACC,9.02,W,82,72,3,1,W 3,RBC Center,/cbb/schools/north-carolina-central/men/2014.html,OT
4,/cbb/boxscores/2013-11-22-north-carolina-central.html,"Fri, Nov 22, 2013",REG,,/cbb/schools/appalachian-state/men/2014.html,Appalachian State,/cbb/conferences/southern/men/2014.html,Southern,-15.32,W,76,70,4,1,W 4,McDougald-McLendon Arena,/cbb/schools/north-carolina-central/men/2014.html,OT
5,/cbb/boxscores/2013-11-26-north-carolina-central.html,"Tue, Nov 26, 2013",REG,,,Barber-Scotia,,,,W,101,46,5,1,W 5,McDougald-McLendon Arena,/cbb/schools/north-carolina-central/men/2014.html,
6,/cbb/boxscores/2013-12-03-old-dominion.html,"Tue, Dec 3, 2013",REG,@,/cbb/schools/old-dominion/men/2014.html,Old Dominion,/cbb/conferences/cusa/men/2014.html,CUSA,-1.12,W,76,69,6,1,W 6,Ted Constant Convocaation Center,/cbb/schools/north-carolina-central/men/2014.html,OT
7,/cbb/boxscores/2013-12-07-iupui.html,"Sat, Dec 7, 2013",REG,@,/cbb/schools/iupui/men/2014.html,IUPUI,/cbb/conferences/summit/men/2014.html,Summit,-14.33,L,65,71,6,2,L 1,The Jungle,/cbb/schools/north-carolina-central/men/2014.html,
8,/cbb/boxscores/2013-12-18-north-carolina-central.html,"Wed, Dec 18, 2013",REG,,/cbb/schools/winthrop/men/2014.html,Winthrop,/cbb/conferences/big-south/men/2014.html,Big South,-6.43,W,72,66,7,2,W 1,McDougald-McLendon Arena,/cbb/schools/north-carolina-central/men/2014.html,
9,/cbb/boxscores/2013-12-22-wichita-state.html,"Sun, Dec 22, 2013",REG,@,/cbb/schools/wichita-state/men/2014.html,Wichita State,/cbb/conferences/mvc/men/2014.html,MVC,16.65,L,66,77,7,3,L 1,Charles Koch Arena,/cbb/schools/north-carolina-central/men/2014.html,
