,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2013-11-08-north-carolina-state.html,"Fri, Nov 8, 2013",REG,/cbb/schools/appalachian-state/men/2014.html,Appalachian State,/cbb/conferences/southern/men/2014.html,Southern,-15.32,W,98,77,1,0,W 1,RBC Center,/cbb/schools/north-carolina-state/men/2014.html,,
1,/cbb/boxscores/2013-11-12-cincinnati.html,"Tue, Nov 12, 2013",REG,/cbb/schools/cincinnati/men/2014.html,Cincinnati,/cbb/conferences/aac/men/2014.html,AAC,15.26,L,57,68,1,1,L 1,Fifth Third Arena,/cbb/schools/north-carolina-state/men/2014.html,@,
2,/cbb/boxscores/2013-11-16-north-carolina-state.html,"Sat, Nov 16, 2013",REG,/cbb/schools/campbell/men/2014.html,Campbell,/cbb/conferences/big-south/men/2014.html,Big South,-14.04,W,81,66,2,1,W 1,RBC Center,/cbb/schools/north-carolina-state/men/2014.html,,
3,/cbb/boxscores/2013-11-20-north-carolina-state.html,"Wed, Nov 20, 2013",REG,/cbb/schools/north-carolina-central/men/2014.html,North Carolina Central,/cbb/conferences/meac/men/2014.html,MEAC,3.97,L,72,82,2,2,L 1,RBC Center,/cbb/schools/north-carolina-state/men/2014.html,,OT
4,/cbb/boxscores/2013-11-26-north-carolina-state.html,"Tue, Nov 26, 2013",REG,/cbb/schools/florida-gulf-coast/men/2014.html,Florida Gulf Coast,/cbb/conferences/atlantic-sun/men/2014.html,A-Sun,-1.97,W,82,62,3,2,W 1,RBC Center,/cbb/schools/north-carolina-state/men/2014.html,,
5,/cbb/boxscores/2013-11-30-north-carolina-state.html,"Sat, Nov 30, 2013",REG,/cbb/schools/eastern-kentucky/men/2014.html,Eastern Kentucky,/cbb/conferences/ovc/men/2014.html,OVC,0.60,W,75,56,4,2,W 2,RBC Center,/cbb/schools/north-carolina-state/men/2014.html,,
6,/cbb/boxscores/2013-12-04-north-carolina-state.html,"Wed, Dec 4, 2013",REG,/cbb/schools/northwestern/men/2014.html,Northwestern,/cbb/conferences/big-ten/men/2014.html,Big Ten,4.72,W,69,48,5,2,W 3,RBC Center,/cbb/schools/north-carolina-state/men/2014.html,,
7,/cbb/boxscores/2013-12-07-north-carolina-state.html,"Sat, Dec 7, 2013",REG,/cbb/schools/long-beach-state/men/2014.html,Long Beach State,/cbb/conferences/big-west/men/2014.html,Big West,1.44,W,76,66,6,2,W 4,RBC Center,/cbb/schools/north-carolina-state/men/2014.html,,
8,/cbb/boxscores/2013-12-14-north-carolina-state.html,"Sat, Dec 14, 2013",REG,/cbb/schools/detroit-mercy/men/2014.html,Detroit Mercy,/cbb/conferences/horizon/men/2014.html,Horizon,-3.25,W,82,79,7,2,W 5,RBC Center,/cbb/schools/north-carolina-state/men/2014.html,,
9,/cbb/boxscores/2013-12-18-tennessee.html,"Wed, Dec 18, 2013",REG,/cbb/schools/tennessee/men/2014.html,Tennessee,/cbb/conferences/sec/men/2014.html,SEC,17.34,W,65,58,8,2,W 6,Thompson-Boling Arena,/cbb/schools/north-carolina-state/men/2014.html,@,
10,/cbb/boxscores/2013-12-21-north-carolina-state.html,"Sat, Dec 21, 2013",REG,/cbb/schools/east-carolina/men/2014.html,East Carolina,/cbb/conferences/cusa/men/2014.html,CUSA,-4.08,W,90,79,9,2,W 7,RBC Center,/cbb/schools/north-carolina-state/men/2014.html,,
