,boxScorelink,date,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs,overtimes
0,/cbb/boxscores/2013-11-08-north-dakota-state.html,"Fri, Nov 8, 2013",REG,Viterbo University,,W,93,49,1,0,W 1,Bison Sports Arena,/cbb/schools/north-dakota-state/men/2014.html,,,,,
1,/cbb/boxscores/2013-11-14-saint-marys-ca.html,"Thu, Nov 14, 2013",REG,Saint Mary's (CA),WCC,L,65,78,1,1,L 1,McKeon Pavilion,/cbb/schools/north-dakota-state/men/2014.html,@,/cbb/schools/saint-marys-ca/men/2014.html,/cbb/conferences/wcc/men/2014.html,9.35,
2,/cbb/boxscores/2013-11-18-north-dakota-state.html,"Mon, Nov 18, 2013",REG,Southern Mississippi,CUSA,L,69,70,1,2,L 2,Bison Sports Arena,/cbb/schools/north-dakota-state/men/2014.html,,/cbb/schools/southern-mississippi/men/2014.html,/cbb/conferences/cusa/men/2014.html,6.84,
3,/cbb/boxscores/2013-11-20-western-michigan.html,"Wed, Nov 20, 2013",REG,Western Michigan,MAC,W,83,74,2,2,W 1,University Arena,/cbb/schools/north-dakota-state/men/2014.html,@,/cbb/schools/western-michigan/men/2014.html,/cbb/conferences/mac/men/2014.html,1.73,
4,/cbb/boxscores/2013-11-24-north-dakota.html,"Sun, Nov 24, 2013",REG,North Dakota,Big Sky,L,77,95,2,3,L 1,Betty Engelstad Sioux Center,/cbb/schools/north-dakota-state/men/2014.html,@,/cbb/schools/north-dakota/men/2014.html,/cbb/conferences/big-sky/men/2014.html,-6.84,
5,/cbb/boxscores/2013-11-29-santa-clara.html,"Fri, Nov 29, 2013",REG,Santa Clara,WCC,W,91,85,3,3,W 1,Leavey Center,/cbb/schools/north-dakota-state/men/2014.html,@,/cbb/schools/santa-clara/men/2014.html,/cbb/conferences/wcc/men/2014.html,0.88,
6,/cbb/boxscores/2013-11-30-north-dakota-state.html,"Sat, Nov 30, 2013",REG,Rider,MAAC,W,87,70,4,3,W 2,Leavey Center,/cbb/schools/north-dakota-state/men/2014.html,N,/cbb/schools/rider/men/2014.html,/cbb/conferences/maac/men/2014.html,-4.34,
7,/cbb/boxscores/2013-12-02-north-dakota-state.html,"Mon, Dec 2, 2013",REG,Valley City State,,W,86,43,5,3,W 3,Bison Sports Arena,/cbb/schools/north-dakota-state/men/2014.html,,,,,
8,/cbb/boxscores/2013-12-07-bryant.html,"Sat, Dec 7, 2013",REG,Bryant,NEC,W,66,62,6,3,W 4,Chase Athletic Center,/cbb/schools/north-dakota-state/men/2014.html,@,/cbb/schools/bryant/men/2014.html,/cbb/conferences/northeast/men/2014.html,-4.25,
9,/cbb/boxscores/2013-12-11-notre-dame.html,"Wed, Dec 11, 2013",REG,Notre Dame,ACC,W,73,69,7,3,W 5,Purcell Pavilion at the Joyce Center,/cbb/schools/north-dakota-state/men/2014.html,@,/cbb/schools/notre-dame/men/2014.html,/cbb/conferences/acc/men/2014.html,8.19,
10,/cbb/boxscores/2013-12-14-ohio-state.html,"Sat, Dec 14, 2013",REG,Ohio State,Big Ten,L,62,79,7,4,L 1,Value City Arena,/cbb/schools/north-dakota-state/men/2014.html,@,/cbb/schools/ohio-state/men/2014.html,/cbb/conferences/big-ten/men/2014.html,17.84,
11,/cbb/boxscores/2013-12-16-north-dakota-state.html,"Mon, Dec 16, 2013",REG,Delaware,CAA,W,85,66,8,4,W 1,Bison Sports Arena,/cbb/schools/north-dakota-state/men/2014.html,,/cbb/schools/delaware/men/2014.html,/cbb/conferences/colonial/men/2014.html,2.73,
12,/cbb/boxscores/2013-12-21-north-dakota-state.html,"Sat, Dec 21, 2013",REG,Towson,CAA,W,90,82,9,4,W 2,Bison Sports Arena,/cbb/schools/north-dakota-state/men/2014.html,,/cbb/schools/towson/men/2014.html,/cbb/conferences/colonial/men/2014.html,0.55,
13,/cbb/boxscores/2013-12-23-utah-valley.html,"Mon, Dec 23, 2013",REG,Utah Valley,WAC,W,74,70,10,4,W 3,McKay Events Center,/cbb/schools/north-dakota-state/men/2014.html,@,/cbb/schools/utah-valley/men/2014.html,/cbb/conferences/wac/men/2014.html,-4.42,
14,/cbb/boxscores/2014-01-04-north-dakota-state.html,"Sat, Jan 4, 2014",REG,Mayville State,,W,96,45,11,4,W 4,Bison Sports Arena,/cbb/schools/north-dakota-state/men/2014.html,,,,,
15,/cbb/boxscores/2014-01-09-ipfw.html,"Thu, Jan 9, 2014",REG,Purdue Fort Wayne,Summit,L,71,82,11,5,L 1,Allen County War Memorial Coliseum,/cbb/schools/north-dakota-state/men/2014.html,@,/cbb/schools/ipfw/men/2014.html,/cbb/conferences/summit/men/2014.html,-0.20,
16,/cbb/boxscores/2014-01-11-iupui.html,"Sat, Jan 11, 2014",REG,IUPUI,Summit,W,87,64,12,5,W 1,The Jungle,/cbb/schools/north-dakota-state/men/2014.html,@,/cbb/schools/iupui/men/2014.html,/cbb/conferences/summit/men/2014.html,-14.33,
17,/cbb/boxscores/2014-01-16-north-dakota-state.html,"Thu, Jan 16, 2014",REG,Omaha,Summit,W,91,69,13,5,W 2,Bison Sports Arena,/cbb/schools/north-dakota-state/men/2014.html,,/cbb/schools/nebraska-omaha/men/2014.html,/cbb/conferences/summit/men/2014.html,-1.19,
18,/cbb/boxscores/2014-01-18-north-dakota-state.html,"Sat, Jan 18, 2014",REG,Western Illinois,Summit,W,65,52,14,5,W 3,Bison Sports Arena,/cbb/schools/north-dakota-state/men/2014.html,,/cbb/schools/western-illinois/men/2014.html,/cbb/conferences/summit/men/2014.html,-7.55,
19,/cbb/boxscores/2014-01-25-south-dakota-state.html,"Sat, Jan 25, 2014",REG,South Dakota State,Summit,W,85,77,15,5,W 4,Frost Arena,/cbb/schools/north-dakota-state/men/2014.html,@,/cbb/schools/south-dakota-state/men/2014.html,/cbb/conferences/summit/men/2014.html,-0.17,
20,/cbb/boxscores/2014-01-30-south-dakota.html,"Thu, Jan 30, 2014",REG,South Dakota,Summit,W,66,63,16,5,W 5,DakotaDome ,/cbb/schools/north-dakota-state/men/2014.html,@,/cbb/schools/south-dakota/men/2014.html,/cbb/conferences/summit/men/2014.html,-7.07,
21,/cbb/boxscores/2014-02-01-denver.html,"Sat, Feb 1, 2014",REG,Denver,Summit,L,63,67,16,6,L 1,Magness Arena,/cbb/schools/north-dakota-state/men/2014.html,@,/cbb/schools/denver/men/2014.html,/cbb/conferences/summit/men/2014.html,0.84,
22,/cbb/boxscores/2014-02-06-north-dakota-state.html,"Thu, Feb 6, 2014",REG,IUPUI,Summit,W,66,60,17,6,W 1,Bison Sports Arena,/cbb/schools/north-dakota-state/men/2014.html,,/cbb/schools/iupui/men/2014.html,/cbb/conferences/summit/men/2014.html,-14.33,
23,/cbb/boxscores/2014-02-08-north-dakota-state.html,"Sat, Feb 8, 2014",REG,Purdue Fort Wayne,Summit,W,69,58,18,6,W 2,Bison Sports Arena,/cbb/schools/north-dakota-state/men/2014.html,,/cbb/schools/ipfw/men/2014.html,/cbb/conferences/summit/men/2014.html,-0.20,
