,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2013-11-08-georgetown.html,"Fri, Nov 8, 2013",REG,N,/cbb/schools/georgetown/men/2014.html,Georgetown,/cbb/conferences/big-east/men/2014.html,Big East,10.96,W,82,75,1,0,W 1,Camp Humphreys,/cbb/schools/oregon/men/2014.html,
1,/cbb/boxscores/2013-11-13-oregon.html,"Wed, Nov 13, 2013",REG,,/cbb/schools/western-carolina/men/2014.html,Western Carolina,/cbb/conferences/southern/men/2014.html,Southern,-6.75,W,107,83,2,0,W 2,Matthew Knight Arena,/cbb/schools/oregon/men/2014.html,
2,/cbb/boxscores/2013-11-19-oregon.html,"Tue, Nov 19, 2013",REG,,/cbb/schools/utah-valley/men/2014.html,Utah Valley,/cbb/conferences/wac/men/2014.html,WAC,-4.42,W,69,54,3,0,W 3,Matthew Knight Arena,/cbb/schools/oregon/men/2014.html,
3,/cbb/boxscores/2013-11-24-oregon.html,"Sun, Nov 24, 2013",REG,,/cbb/schools/san-francisco/men/2014.html,San Francisco,/cbb/conferences/wcc/men/2014.html,WCC,5.92,W,100,82,4,0,W 4,Matthew Knight Arena,/cbb/schools/oregon/men/2014.html,
4,/cbb/boxscores/2013-11-29-oregon.html,"Fri, Nov 29, 2013",REG,,/cbb/schools/pacific/men/2014.html,Pacific,/cbb/conferences/wcc/men/2014.html,WCC,1.74,W,85,62,5,0,W 5,Matthew Knight Arena,/cbb/schools/oregon/men/2014.html,
5,/cbb/boxscores/2013-11-30-oregon.html,"Sat, Nov 30, 2013",REG,,/cbb/schools/north-dakota/men/2014.html,North Dakota,/cbb/conferences/big-sky/men/2014.html,Big Sky,-6.84,W,91,76,6,0,W 6,Matthew Knight Arena,/cbb/schools/oregon/men/2014.html,
6,/cbb/boxscores/2013-12-01-oregon.html,"Sun, Dec 1, 2013",REG,,/cbb/schools/cal-poly/men/2014.html,Cal Poly,/cbb/conferences/big-west/men/2014.html,Big West,-1.34,W,82,61,7,0,W 7,Matthew Knight Arena,/cbb/schools/oregon/men/2014.html,
7,/cbb/boxscores/2013-12-08-mississippi.html,"Sun, Dec 8, 2013",REG,@,/cbb/schools/mississippi/men/2014.html,Mississippi,/cbb/conferences/sec/men/2014.html,SEC,7.84,W,115,105,8,0,W 8,C.M. Tad Smith Coliseum,/cbb/schools/oregon/men/2014.html,OT
8,/cbb/boxscores/2013-12-14-illinois.html,"Sat, Dec 14, 2013",REG,N,/cbb/schools/illinois/men/2014.html,Illinois,/cbb/conferences/big-ten/men/2014.html,Big Ten,10.33,W,71,64,9,0,W 9,,/cbb/schools/oregon/men/2014.html,
9,/cbb/boxscores/2013-12-17-oregon.html,"Tue, Dec 17, 2013",REG,,/cbb/schools/california-irvine/men/2014.html,UC Irvine,/cbb/conferences/big-west/men/2014.html,Big West,4.35,W,91,63,10,0,W 10,Matthew Knight Arena,/cbb/schools/oregon/men/2014.html,
