,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2013-11-09-vermont.html,"Sat, Nov 9, 2013",REG,@,/cbb/schools/vermont/men/2014.html,Vermont,/cbb/conferences/america-east/men/2014.html,AEC,4.52,W,74,64,1,0,W 1,Roy L. Patrick Gymnasium,/cbb/schools/saint-josephs/men/2014.html,
1,/cbb/boxscores/2013-11-13-saint-josephs.html,"Wed, Nov 13, 2013",REG,,/cbb/schools/marist/men/2014.html,Marist,/cbb/conferences/maac/men/2014.html,MAAC,-4.94,W,81,62,2,0,W 2,Hagan Arena,/cbb/schools/saint-josephs/men/2014.html,
2,/cbb/boxscores/2013-11-16-saint-josephs.html,"Sat, Nov 16, 2013",REG,,/cbb/schools/creighton/men/2014.html,Creighton,/cbb/conferences/big-east/men/2014.html,Big East,18.03,L,79,83,2,1,L 1,Hagan Arena,/cbb/schools/saint-josephs/men/2014.html,
3,/cbb/boxscores/2013-11-28-louisiana-state.html,"Thu, Nov 28, 2013",REG,N,/cbb/schools/louisiana-state/men/2014.html,Louisiana State,/cbb/conferences/sec/men/2014.html,SEC,10.05,L,65,82,2,2,L 2,State Farm Field House,/cbb/schools/saint-josephs/men/2014.html,
4,/cbb/boxscores/2013-11-29-saint-josephs.html,"Fri, Nov 29, 2013",REG,N,/cbb/schools/siena/men/2014.html,Siena,/cbb/conferences/maac/men/2014.html,MAAC,-0.86,W,78,66,3,2,W 1,State Farm Field House,/cbb/schools/saint-josephs/men/2014.html,
5,/cbb/boxscores/2013-12-01-saint-josephs.html,"Sun, Dec 1, 2013",REG,N,/cbb/schools/washington-state/men/2014.html,Washington State,/cbb/conferences/pac-12/men/2014.html,Pac-12,1.34,W,72,67,4,2,W 2,State Farm Field House,/cbb/schools/saint-josephs/men/2014.html,
6,/cbb/boxscores/2013-12-04-temple.html,"Wed, Dec 4, 2013",REG,@,/cbb/schools/temple/men/2014.html,Temple,/cbb/conferences/aac/men/2014.html,AAC,2.69,L,69,77,4,3,L 1,Liacouras Center,/cbb/schools/saint-josephs/men/2014.html,
7,/cbb/boxscores/2013-12-07-saint-josephs.html,"Sat, Dec 7, 2013",REG,,/cbb/schools/villanova/men/2014.html,Villanova,/cbb/conferences/big-east/men/2014.html,Big East,18.97,L,68,98,4,4,L 2,Hagan Arena,/cbb/schools/saint-josephs/men/2014.html,
8,/cbb/boxscores/2013-12-18-saint-josephs.html,"Wed, Dec 18, 2013",REG,,/cbb/schools/drexel/men/2014.html,Drexel,/cbb/conferences/colonial/men/2014.html,CAA,1.23,W,75,55,5,4,W 1,Hagan Arena,/cbb/schools/saint-josephs/men/2014.html,
9,/cbb/boxscores/2013-12-21-loyola-md.html,"Sat, Dec 21, 2013",REG,@,/cbb/schools/loyola-md/men/2014.html,Loyola (MD),/cbb/conferences/patriot/men/2014.html,Patriot,-10.58,W,88,77,6,4,W 2,Reitz Arena,/cbb/schools/saint-josephs/men/2014.html,
10,/cbb/boxscores/2013-12-29-saint-josephs.html,"Sun, Dec 29, 2013",REG,,/cbb/schools/boston-university/men/2014.html,Boston University,/cbb/conferences/patriot/men/2014.html,Patriot,1.77,W,73,67,7,4,W 3,Hagan Arena,/cbb/schools/saint-josephs/men/2014.html,
11,/cbb/boxscores/2013-12-31-saint-josephs.html,"Tue, Dec 31, 2013",REG,,/cbb/schools/binghamton/men/2014.html,Binghamton,/cbb/conferences/america-east/men/2014.html,AEC,-16.15,W,71,44,8,4,W 4,Hagan Arena,/cbb/schools/saint-josephs/men/2014.html,
12,/cbb/boxscores/2014-01-04-saint-josephs.html,"Sat, Jan 4, 2014",REG,,/cbb/schools/denver/men/2014.html,Denver,/cbb/conferences/summit/men/2014.html,Summit,0.84,W,53,52,9,4,W 5,Hagan Arena,/cbb/schools/saint-josephs/men/2014.html,
13,/cbb/boxscores/2014-01-08-massachusetts.html,"Wed, Jan 8, 2014",REG,@,/cbb/schools/massachusetts/men/2014.html,Massachusetts,/cbb/conferences/atlantic-10/men/2014.html,A-10,10.61,L,62,66,9,5,L 1,Mullins Center,/cbb/schools/saint-josephs/men/2014.html,
14,/cbb/boxscores/2014-01-11-george-mason.html,"Sat, Jan 11, 2014",REG,@,/cbb/schools/george-mason/men/2014.html,George Mason,/cbb/conferences/atlantic-10/men/2014.html,A-10,2.03,W,84,80,10,5,W 1,Patriot Center,/cbb/schools/saint-josephs/men/2014.html,
15,/cbb/boxscores/2014-01-15-saint-josephs.html,"Wed, Jan 15, 2014",REG,,/cbb/schools/duquesne/men/2014.html,Duquesne,/cbb/conferences/atlantic-10/men/2014.html,A-10,0.66,W,84,75,11,5,W 2,Hagan Arena,/cbb/schools/saint-josephs/men/2014.html,
16,/cbb/boxscores/2014-01-18-pennsylvania.html,"Sat, Jan 18, 2014",REG,@,/cbb/schools/pennsylvania/men/2014.html,Pennsylvania,/cbb/conferences/ivy/men/2014.html,Ivy,-6.59,W,85,68,12,5,W 3,The Palestra,/cbb/schools/saint-josephs/men/2014.html,
17,/cbb/boxscores/2014-01-22-saint-josephs.html,"Wed, Jan 22, 2014",REG,,/cbb/schools/rhode-island/men/2014.html,Rhode Island,/cbb/conferences/atlantic-10/men/2014.html,A-10,2.87,W,61,57,13,5,W 4,Hagan Arena,/cbb/schools/saint-josephs/men/2014.html,
18,/cbb/boxscores/2014-01-25-richmond.html,"Sat, Jan 25, 2014",REG,@,/cbb/schools/richmond/men/2014.html,Richmond,/cbb/conferences/atlantic-10/men/2014.html,A-10,5.70,L,62,77,13,6,L 1,Robins Center,/cbb/schools/saint-josephs/men/2014.html,
19,/cbb/boxscores/2014-01-29-dayton.html,"Wed, Jan 29, 2014",REG,@,/cbb/schools/dayton/men/2014.html,Dayton,/cbb/conferences/atlantic-10/men/2014.html,A-10,10.55,W,60,57,14,6,W 1,University of Dayton Arena,/cbb/schools/saint-josephs/men/2014.html,
