,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2013-11-08-stanford.html,"Fri, Nov 8, 2013",REG,/cbb/schools/bucknell/men/2014.html,Bucknell,/cbb/conferences/patriot/men/2014.html,Patriot,-1.30,W,72,68,1,0,W 1,Maples Pavilion,/cbb/schools/stanford/men/2014.html,,
1,/cbb/boxscores/2013-11-11-stanford.html,"Mon, Nov 11, 2013",REG,/cbb/schools/brigham-young/men/2014.html,Brigham Young,/cbb/conferences/wcc/men/2014.html,WCC,11.63,L,103,112,1,1,L 1,Maples Pavilion,/cbb/schools/stanford/men/2014.html,,
2,/cbb/boxscores/2013-11-14-stanford.html,"Thu, Nov 14, 2013",REG,/cbb/schools/northwestern/men/2014.html,Northwestern,/cbb/conferences/big-ten/men/2014.html,Big Ten,4.72,W,71,58,2,1,W 1,Maples Pavilion,/cbb/schools/stanford/men/2014.html,,
3,/cbb/boxscores/2013-11-17-denver.html,"Sun, Nov 17, 2013",REG,/cbb/schools/denver/men/2014.html,Denver,/cbb/conferences/summit/men/2014.html,Summit,0.84,W,66,57,3,1,W 2,Magness Arena,/cbb/schools/stanford/men/2014.html,@,
4,/cbb/boxscores/2013-11-21-stanford.html,"Thu, Nov 21, 2013",REG,/cbb/schools/texas-southern/men/2014.html,Texas Southern,/cbb/conferences/swac/men/2014.html,SWAC,-8.41,W,97,71,4,1,W 3,Maples Pavilion,/cbb/schools/stanford/men/2014.html,,
5,/cbb/boxscores/2013-11-25-houston.html,"Mon, Nov 25, 2013",REG,/cbb/schools/houston/men/2014.html,Houston,/cbb/conferences/aac/men/2014.html,AAC,2.68,W,86,76,5,1,W 4,Barclays Center,/cbb/schools/stanford/men/2014.html,N,
6,/cbb/boxscores/2013-11-26-pittsburgh.html,"Tue, Nov 26, 2013",REG,/cbb/schools/pittsburgh/men/2014.html,Pittsburgh,/cbb/conferences/acc/men/2014.html,ACC,17.46,L,67,88,5,2,L 1,Barclays Center,/cbb/schools/stanford/men/2014.html,N,
7,/cbb/boxscores/2013-12-01-stanford.html,"Sun, Dec 1, 2013",REG,/cbb/schools/south-dakota-state/men/2014.html,South Dakota State,/cbb/conferences/summit/men/2014.html,Summit,-0.17,W,92,60,6,2,W 1,Maples Pavilion,/cbb/schools/stanford/men/2014.html,,
8,/cbb/boxscores/2013-12-14-stanford.html,"Sat, Dec 14, 2013",REG,/cbb/schools/california-davis/men/2014.html,UC Davis,/cbb/conferences/big-west/men/2014.html,Big West,-11.55,W,83,56,7,2,W 2,Maples Pavilion,/cbb/schools/stanford/men/2014.html,,
9,/cbb/boxscores/2013-12-18-connecticut.html,"Wed, Dec 18, 2013",REG,/cbb/schools/connecticut/men/2014.html,Connecticut,/cbb/conferences/aac/men/2014.html,AAC,17.23,W,53,51,8,2,W 3,XL Center,/cbb/schools/stanford/men/2014.html,@,
10,/cbb/boxscores/2013-12-21-michigan.html,"Sat, Dec 21, 2013",REG,/cbb/schools/michigan/men/2014.html,Michigan,/cbb/conferences/big-ten/men/2014.html,Big Ten,18.52,L,65,68,8,3,L 1,Barclays Center,/cbb/schools/stanford/men/2014.html,N,
11,/cbb/boxscores/2013-12-29-stanford.html,"Sun, Dec 29, 2013",REG,/cbb/schools/cal-poly/men/2014.html,Cal Poly,/cbb/conferences/big-west/men/2014.html,Big West,-1.34,W,79,62,9,3,W 1,Maples Pavilion,/cbb/schools/stanford/men/2014.html,,
12,/cbb/boxscores/2014-01-02-stanford.html,"Thu, Jan 2, 2014",REG,/cbb/schools/california/men/2014.html,California,/cbb/conferences/pac-12/men/2014.html,Pac-12,10.70,L,62,69,9,4,L 1,Maples Pavilion,/cbb/schools/stanford/men/2014.html,,
13,/cbb/boxscores/2014-01-09-oregon-state.html,"Thu, Jan 9, 2014",REG,/cbb/schools/oregon-state/men/2014.html,Oregon State,/cbb/conferences/pac-12/men/2014.html,Pac-12,6.03,L,72,81,9,5,L 2,Gill Coliseum,/cbb/schools/stanford/men/2014.html,@,
14,/cbb/boxscores/2014-01-12-oregon.html,"Sun, Jan 12, 2014",REG,/cbb/schools/oregon/men/2014.html,Oregon,/cbb/conferences/pac-12/men/2014.html,Pac-12,15.75,W,82,80,10,5,W 1,Matthew Knight Arena,/cbb/schools/stanford/men/2014.html,@,
15,/cbb/boxscores/2014-01-15-stanford.html,"Wed, Jan 15, 2014",REG,/cbb/schools/washington-state/men/2014.html,Washington State,/cbb/conferences/pac-12/men/2014.html,Pac-12,1.34,W,80,48,11,5,W 2,Maples Pavilion,/cbb/schools/stanford/men/2014.html,,
16,/cbb/boxscores/2014-01-18-stanford.html,"Sat, Jan 18, 2014",REG,/cbb/schools/washington/men/2014.html,Washington,/cbb/conferences/pac-12/men/2014.html,Pac-12,6.26,W,79,67,12,5,W 3,Maples Pavilion,/cbb/schools/stanford/men/2014.html,,
17,/cbb/boxscores/2014-01-23-ucla.html,"Thu, Jan 23, 2014",REG,/cbb/schools/ucla/men/2014.html,UCLA,/cbb/conferences/pac-12/men/2014.html,Pac-12,18.40,L,74,91,12,6,L 1,Pauley Pavilion,/cbb/schools/stanford/men/2014.html,@,
18,/cbb/boxscores/2014-01-26-southern-california.html,"Sun, Jan 26, 2014",REG,/cbb/schools/southern-california/men/2014.html,Southern California,/cbb/conferences/pac-12/men/2014.html,Pac-12,2.60,W,79,71,13,6,W 1,Galen Center,/cbb/schools/stanford/men/2014.html,@,OT
19,/cbb/boxscores/2014-01-29-stanford.html,"Wed, Jan 29, 2014",REG,/cbb/schools/arizona/men/2014.html,Arizona,/cbb/conferences/pac-12/men/2014.html,Pac-12,23.36,L,57,60,13,7,L 1,Maples Pavilion,/cbb/schools/stanford/men/2014.html,,
20,/cbb/boxscores/2014-02-01-stanford.html,"Sat, Feb 1, 2014",REG,/cbb/schools/arizona-state/men/2014.html,Arizona State,/cbb/conferences/pac-12/men/2014.html,Pac-12,13.32,W,76,70,14,7,W 1,Maples Pavilion,/cbb/schools/stanford/men/2014.html,,
21,/cbb/boxscores/2014-02-05-california.html,"Wed, Feb 5, 2014",REG,/cbb/schools/california/men/2014.html,California,/cbb/conferences/pac-12/men/2014.html,Pac-12,10.70,W,80,69,15,7,W 2,Haas Pavilion,/cbb/schools/stanford/men/2014.html,@,
22,/cbb/boxscores/2014-02-12-washington.html,"Wed, Feb 12, 2014",REG,/cbb/schools/washington/men/2014.html,Washington,/cbb/conferences/pac-12/men/2014.html,Pac-12,6.26,L,60,64,15,8,L 1,Alaska Airlines Arena,/cbb/schools/stanford/men/2014.html,@,
23,/cbb/boxscores/2014-02-15-washington-state.html,"Sat, Feb 15, 2014",REG,/cbb/schools/washington-state/men/2014.html,Washington State,/cbb/conferences/pac-12/men/2014.html,Pac-12,1.34,W,69,56,16,8,W 1,Friel Court at Beasley Coliseum,/cbb/schools/stanford/men/2014.html,@,
24,/cbb/boxscores/2014-02-20-stanford.html,"Thu, Feb 20, 2014",REG,/cbb/schools/southern-california/men/2014.html,Southern California,/cbb/conferences/pac-12/men/2014.html,Pac-12,2.60,W,80,59,17,8,W 2,Maples Pavilion,/cbb/schools/stanford/men/2014.html,,
25,/cbb/boxscores/2014-02-22-stanford.html,"Sat, Feb 22, 2014",REG,/cbb/schools/ucla/men/2014.html,UCLA,/cbb/conferences/pac-12/men/2014.html,Pac-12,18.40,W,83,74,18,8,W 3,Maples Pavilion,/cbb/schools/stanford/men/2014.html,,
26,/cbb/boxscores/2014-02-26-arizona-state.html,"Wed, Feb 26, 2014",REG,/cbb/schools/arizona-state/men/2014.html,Arizona State,/cbb/conferences/pac-12/men/2014.html,Pac-12,13.32,L,64,76,18,9,L 1,Wells Fargo Arena,/cbb/schools/stanford/men/2014.html,@,
27,/cbb/boxscores/2014-03-02-arizona.html,"Sun, Mar 2, 2014",REG,/cbb/schools/arizona/men/2014.html,Arizona,/cbb/conferences/pac-12/men/2014.html,Pac-12,23.36,L,66,79,18,10,L 2,McKale Center,/cbb/schools/stanford/men/2014.html,@,
28,/cbb/boxscores/2014-03-05-stanford.html,"Wed, Mar 5, 2014",REG,/cbb/schools/colorado/men/2014.html,Colorado,/cbb/conferences/pac-12/men/2014.html,Pac-12,10.80,L,56,59,18,11,L 3,Maples Pavilion,/cbb/schools/stanford/men/2014.html,,
29,/cbb/boxscores/2014-03-08-stanford.html,"Sat, Mar 8, 2014",REG,/cbb/schools/utah/men/2014.html,Utah,/cbb/conferences/pac-12/men/2014.html,Pac-12,12.66,W,61,60,19,11,W 1,Maples Pavilion,/cbb/schools/stanford/men/2014.html,,
30,/cbb/boxscores/2014-03-12-stanford.html,"Wed, Mar 12, 2014",CTOURN,/cbb/schools/washington-state/men/2014.html,Washington State,/cbb/conferences/pac-12/men/2014.html,Pac-12,1.34,W,74,63,20,11,W 2,MGM Grand Garden Arena,/cbb/schools/stanford/men/2014.html,N,
31,/cbb/boxscores/2014-03-13-arizona-state.html,"Thu, Mar 13, 2014",CTOURN,/cbb/schools/arizona-state/men/2014.html,Arizona State,/cbb/conferences/pac-12/men/2014.html,Pac-12,13.32,W,79,58,21,11,W 3,MGM Grand Garden Arena,/cbb/schools/stanford/men/2014.html,N,
32,/cbb/boxscores/2014-03-14-stanford.html,"Fri, Mar 14, 2014",CTOURN,/cbb/schools/ucla/men/2014.html,UCLA,/cbb/conferences/pac-12/men/2014.html,Pac-12,18.40,L,59,84,21,12,L 1,MGM Grand Garden Arena,/cbb/schools/stanford/men/2014.html,N,
