,boxScorelink,date,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs,overtimes
0,/cbb/boxscores/2013-11-08-stephen-f-austin.html,"Fri, Nov 8, 2013",REG,Texas-Tyler,,W,90,64,1,0,W 1,William Johnson Coliseum,/cbb/schools/stephen-f-austin/men/2014.html,,,,,
1,/cbb/boxscores/2013-11-12-texas-state.html,"Tue, Nov 12, 2013",REG,Texas State,Sun Belt,W,64,57,2,0,W 2,Strahan Arena,/cbb/schools/stephen-f-austin/men/2014.html,@,/cbb/schools/texas-state/men/2014.html,/cbb/conferences/sun-belt/men/2014.html,-7.74,
2,/cbb/boxscores/2013-11-15-texas.html,"Fri, Nov 15, 2013",REG,Texas,Big 12,L,62,72,2,1,L 1,Frank Erwin Center,/cbb/schools/stephen-f-austin/men/2014.html,@,/cbb/schools/texas/men/2014.html,/cbb/conferences/big-12/men/2014.html,12.67,
3,/cbb/boxscores/2013-11-21-marshall.html,"Thu, Nov 21, 2013",REG,Marshall,CUSA,W,80,73,3,1,W 1,Cam Henderson Center,/cbb/schools/stephen-f-austin/men/2014.html,@,/cbb/schools/marshall/men/2014.html,/cbb/conferences/cusa/men/2014.html,-4.42,OT
4,/cbb/boxscores/2013-11-23-east-tennessee-state.html,"Sat, Nov 23, 2013",REG,East Tennessee State,A-Sun,L,58,66,3,2,L 1,Memorial Center,/cbb/schools/stephen-f-austin/men/2014.html,@,/cbb/schools/east-tennessee-state/men/2014.html,/cbb/conferences/atlantic-sun/men/2014.html,-5.93,
5,/cbb/boxscores/2013-11-26-stephen-f-austin.html,"Tue, Nov 26, 2013",REG,Samford,Southern,W,98,78,4,2,W 1,William Johnson Coliseum,/cbb/schools/stephen-f-austin/men/2014.html,,/cbb/schools/samford/men/2014.html,/cbb/conferences/southern/men/2014.html,-14.91,
6,/cbb/boxscores/2013-11-29-north-carolina-wilmington.html,"Fri, Nov 29, 2013",REG,UNC Wilmington,CAA,W,60,55,5,2,W 2,Trask Coliseum,/cbb/schools/stephen-f-austin/men/2014.html,@,/cbb/schools/north-carolina-wilmington/men/2014.html,/cbb/conferences/colonial/men/2014.html,-8.75,
7,/cbb/boxscores/2013-12-01-high-point.html,"Sun, Dec 1, 2013",REG,High Point,Big South,W,71,68,6,2,W 3,Millis Center,/cbb/schools/stephen-f-austin/men/2014.html,@,/cbb/schools/high-point/men/2014.html,/cbb/conferences/big-south/men/2014.html,-8.23,
8,/cbb/boxscores/2013-12-06-stephen-f-austin.html,"Fri, Dec 6, 2013",REG,Towson,CAA,W,79,69,7,2,W 4,William Johnson Coliseum,/cbb/schools/stephen-f-austin/men/2014.html,,/cbb/schools/towson/men/2014.html,/cbb/conferences/colonial/men/2014.html,0.55,
9,/cbb/boxscores/2013-12-07-stephen-f-austin.html,"Sat, Dec 7, 2013",REG,James Madison,CAA,W,70,57,8,2,W 5,William Johnson Coliseum,/cbb/schools/stephen-f-austin/men/2014.html,,/cbb/schools/james-madison/men/2014.html,/cbb/conferences/colonial/men/2014.html,-7.65,
