,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2013-11-12-xavier.html,"Tue, Nov 12, 2013",REG,@,/cbb/schools/xavier/men/2014.html,Xavier,/cbb/conferences/big-east/men/2014.html,Big East,11.84,L,63,67,0,1,L 1,Cintas Center,/cbb/schools/tennessee/men/2014.html,
1,/cbb/boxscores/2013-11-16-tennessee.html,"Sat, Nov 16, 2013",REG,,/cbb/schools/south-carolina-upstate/men/2014.html,South Carolina Upstate,/cbb/conferences/atlantic-sun/men/2014.html,A-Sun,-2.02,W,74,65,1,1,W 1,Thompson-Boling Arena,/cbb/schools/tennessee/men/2014.html,
2,/cbb/boxscores/2013-11-18-tennessee.html,"Mon, Nov 18, 2013",REG,,/cbb/schools/citadel/men/2014.html,The Citadel,/cbb/conferences/southern/men/2014.html,Southern,-17.61,W,86,60,2,1,W 2,Thompson-Boling Arena,/cbb/schools/tennessee/men/2014.html,
3,/cbb/boxscores/2013-11-22-tennessee.html,"Fri, Nov 22, 2013",REG,,/cbb/schools/tennessee-state/men/2014.html,Tennessee State,/cbb/conferences/ovc/men/2014.html,OVC,-9.82,W,88,67,3,1,W 3,Thompson-Boling Arena,/cbb/schools/tennessee/men/2014.html,
4,/cbb/boxscores/2013-11-28-tennessee.html,"Thu, Nov 28, 2013",REG,N,/cbb/schools/texas-el-paso/men/2014.html,UTEP,/cbb/conferences/cusa/men/2014.html,CUSA,4.39,L,70,78,3,2,L 1,Imperial Arena at Atlantis Resort,/cbb/schools/tennessee/men/2014.html,
5,/cbb/boxscores/2013-11-29-tennessee.html,"Fri, Nov 29, 2013",REG,N,/cbb/schools/xavier/men/2014.html,Xavier,/cbb/conferences/big-east/men/2014.html,Big East,11.84,W,64,49,4,2,W 1,Imperial Arena at Atlantis Resort,/cbb/schools/tennessee/men/2014.html,
6,/cbb/boxscores/2013-11-30-tennessee.html,"Sat, Nov 30, 2013",REG,N,/cbb/schools/wake-forest/men/2014.html,Wake Forest,/cbb/conferences/acc/men/2014.html,ACC,5.49,W,82,63,5,2,W 2,Imperial Arena at Atlantis Resort,/cbb/schools/tennessee/men/2014.html,
7,/cbb/boxscores/2013-12-07-tennessee.html,"Sat, Dec 7, 2013",REG,,/cbb/schools/tennessee-tech/men/2014.html,Tennessee Tech,/cbb/conferences/ovc/men/2014.html,OVC,-8.09,W,84,63,6,2,W 3,Thompson-Boling Arena,/cbb/schools/tennessee/men/2014.html,
8,/cbb/boxscores/2013-12-14-wichita-state.html,"Sat, Dec 14, 2013",REG,@,/cbb/schools/wichita-state/men/2014.html,Wichita State,/cbb/conferences/mvc/men/2014.html,MVC,16.65,L,61,70,6,3,L 1,Charles Koch Arena,/cbb/schools/tennessee/men/2014.html,
9,/cbb/boxscores/2013-12-18-tennessee.html,"Wed, Dec 18, 2013",REG,,/cbb/schools/north-carolina-state/men/2014.html,NC State,/cbb/conferences/acc/men/2014.html,ACC,9.02,L,58,65,6,4,L 2,Thompson-Boling Arena,/cbb/schools/tennessee/men/2014.html,
10,/cbb/boxscores/2013-12-23-tennessee.html,"Mon, Dec 23, 2013",REG,,/cbb/schools/morehead-state/men/2014.html,Morehead State,/cbb/conferences/ovc/men/2014.html,OVC,-1.88,W,82,67,7,4,W 1,Thompson-Boling Arena,/cbb/schools/tennessee/men/2014.html,
11,/cbb/boxscores/2013-12-30-tennessee.html,"Mon, Dec 30, 2013",REG,,/cbb/schools/virginia/men/2014.html,Virginia,/cbb/conferences/acc/men/2014.html,ACC,18.38,W,87,52,8,4,W 2,Thompson-Boling Arena,/cbb/schools/tennessee/men/2014.html,
12,/cbb/boxscores/2014-01-04-tennessee.html,"Sat, Jan 4, 2014",REG,,,Tusculum,,,,W,98,51,9,4,W 3,Thompson-Boling Arena,/cbb/schools/tennessee/men/2014.html,
13,/cbb/boxscores/2014-01-07-louisiana-state.html,"Tue, Jan 7, 2014",REG,@,/cbb/schools/louisiana-state/men/2014.html,Louisiana State,/cbb/conferences/sec/men/2014.html,SEC,10.05,W,68,50,10,4,W 4,Maravich Assembly Center,/cbb/schools/tennessee/men/2014.html,
14,/cbb/boxscores/2014-01-11-tennessee.html,"Sat, Jan 11, 2014",REG,,/cbb/schools/texas-am/men/2014.html,Texas A&M,/cbb/conferences/sec/men/2014.html,SEC,5.50,L,56,57,10,5,L 1,Thompson-Boling Arena,/cbb/schools/tennessee/men/2014.html,
15,/cbb/boxscores/2014-01-15-tennessee.html,"Wed, Jan 15, 2014",REG,,/cbb/schools/auburn/men/2014.html,Auburn,/cbb/conferences/sec/men/2014.html,SEC,5.11,W,78,67,11,5,W 1,Thompson-Boling Arena,/cbb/schools/tennessee/men/2014.html,
16,/cbb/boxscores/2014-01-18-kentucky.html,"Sat, Jan 18, 2014",REG,@,/cbb/schools/kentucky/men/2014.html,Kentucky,/cbb/conferences/sec/men/2014.html,SEC,18.07,L,66,74,11,6,L 1,Rupp Arena,/cbb/schools/tennessee/men/2014.html,
17,/cbb/boxscores/2014-01-22-tennessee.html,"Wed, Jan 22, 2014",REG,,/cbb/schools/arkansas/men/2014.html,Arkansas,/cbb/conferences/sec/men/2014.html,SEC,14.34,W,81,74,12,6,W 1,Thompson-Boling Arena,/cbb/schools/tennessee/men/2014.html,
18,/cbb/boxscores/2014-01-25-florida.html,"Sat, Jan 25, 2014",REG,@,/cbb/schools/florida/men/2014.html,Florida,/cbb/conferences/sec/men/2014.html,SEC,20.69,L,41,67,12,7,L 1,Stephen C. O''Connell Center,/cbb/schools/tennessee/men/2014.html,
19,/cbb/boxscores/2014-01-29-tennessee.html,"Wed, Jan 29, 2014",REG,,/cbb/schools/mississippi/men/2014.html,Mississippi,/cbb/conferences/sec/men/2014.html,SEC,7.84,W,86,70,13,7,W 1,Thompson-Boling Arena,/cbb/schools/tennessee/men/2014.html,
20,/cbb/boxscores/2014-02-01-alabama.html,"Sat, Feb 1, 2014",REG,@,/cbb/schools/alabama/men/2014.html,Alabama,/cbb/conferences/sec/men/2014.html,SEC,8.34,W,76,59,14,7,W 2,Coleman Coliseum,/cbb/schools/tennessee/men/2014.html,
21,/cbb/boxscores/2014-02-05-vanderbilt.html,"Wed, Feb 5, 2014",REG,@,/cbb/schools/vanderbilt/men/2014.html,Vanderbilt,/cbb/conferences/sec/men/2014.html,SEC,5.52,L,60,64,14,8,L 1,Memorial Gymnasium,/cbb/schools/tennessee/men/2014.html,
22,/cbb/boxscores/2014-02-08-tennessee.html,"Sat, Feb 8, 2014",REG,,/cbb/schools/south-carolina/men/2014.html,South Carolina,/cbb/conferences/sec/men/2014.html,SEC,5.41,W,72,53,15,8,W 1,Thompson-Boling Arena,/cbb/schools/tennessee/men/2014.html,
23,/cbb/boxscores/2014-02-11-tennessee.html,"Tue, Feb 11, 2014",REG,,/cbb/schools/florida/men/2014.html,Florida,/cbb/conferences/sec/men/2014.html,SEC,20.69,L,58,67,15,9,L 1,Thompson-Boling Arena,/cbb/schools/tennessee/men/2014.html,
24,/cbb/boxscores/2014-02-15-missouri.html,"Sat, Feb 15, 2014",REG,@,/cbb/schools/missouri/men/2014.html,Missouri,/cbb/conferences/sec/men/2014.html,SEC,10.06,L,70,75,15,10,L 2,Mizzou Arena,/cbb/schools/tennessee/men/2014.html,
25,/cbb/boxscores/2014-02-18-tennessee.html,"Tue, Feb 18, 2014",REG,,/cbb/schools/georgia/men/2014.html,Georgia,/cbb/conferences/sec/men/2014.html,SEC,7.90,W,67,48,16,10,W 1,Thompson-Boling Arena,/cbb/schools/tennessee/men/2014.html,
26,/cbb/boxscores/2014-02-22-texas-am.html,"Sat, Feb 22, 2014",REG,@,/cbb/schools/texas-am/men/2014.html,Texas A&M,/cbb/conferences/sec/men/2014.html,SEC,5.50,L,65,68,16,11,L 1,Reed Arena,/cbb/schools/tennessee/men/2014.html,OT
27,/cbb/boxscores/2014-02-26-mississippi-state.html,"Wed, Feb 26, 2014",REG,@,/cbb/schools/mississippi-state/men/2014.html,Mississippi State,/cbb/conferences/sec/men/2014.html,SEC,-0.86,W,75,68,17,11,W 1,Humphrey Coliseum,/cbb/schools/tennessee/men/2014.html,
