,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2013-11-10-tulsa.html,"Sun, Nov 10, 2013",REG,/cbb/schools/oral-roberts/men/2014.html,Oral Roberts,/cbb/conferences/southland/men/2014.html,Southland,-2.94,L,68,74,0,1,L 1,Donald W. Reynolds Center,/cbb/schools/tulsa/men/2014.html,,
1,/cbb/boxscores/2013-11-16-missouri-state.html,"Sat, Nov 16, 2013",REG,/cbb/schools/missouri-state/men/2014.html,Missouri State,/cbb/conferences/mvc/men/2014.html,MVC,0.81,L,93,96,0,2,L 2,JQH Arena,/cbb/schools/tulsa/men/2014.html,@,
2,/cbb/boxscores/2013-11-20-tulsa.html,"Wed, Nov 20, 2013",REG,/cbb/schools/wichita-state/men/2014.html,Wichita State,/cbb/conferences/mvc/men/2014.html,MVC,16.65,L,54,77,0,3,L 3,Donald W. Reynolds Center,/cbb/schools/tulsa/men/2014.html,,
3,/cbb/boxscores/2013-11-23-creighton.html,"Sat, Nov 23, 2013",REG,/cbb/schools/creighton/men/2014.html,Creighton,/cbb/conferences/big-east/men/2014.html,Big East,18.03,L,72,82,0,4,L 4,CenturyLink Center Omaha,/cbb/schools/tulsa/men/2014.html,@,
4,/cbb/boxscores/2013-11-27-indiana-state.html,"Wed, Nov 27, 2013",REG,/cbb/schools/indiana-state/men/2014.html,Indiana State,/cbb/conferences/mvc/men/2014.html,MVC,3.29,W,63,62,1,4,W 1,Sullivan Arena,/cbb/schools/tulsa/men/2014.html,N,
5,/cbb/boxscores/2013-11-29-texas-christian.html,"Fri, Nov 29, 2013",REG,/cbb/schools/texas-christian/men/2014.html,TCU,/cbb/conferences/big-12/men/2014.html,Big 12,-1.33,L,65,72,1,5,L 1,Sullivan Arena,/cbb/schools/tulsa/men/2014.html,N,
6,/cbb/boxscores/2013-11-30-green-bay.html,"Sat, Nov 30, 2013",REG,/cbb/schools/green-bay/men/2014.html,Green Bay,/cbb/conferences/horizon/men/2014.html,Horizon,7.18,L,59,67,1,6,L 2,Sullivan Arena,/cbb/schools/tulsa/men/2014.html,N,
7,/cbb/boxscores/2013-12-04-tulsa.html,"Wed, Dec 4, 2013",REG,/cbb/schools/texas-southern/men/2014.html,Texas Southern,/cbb/conferences/swac/men/2014.html,SWAC,-8.41,W,98,71,2,6,W 1,Donald W. Reynolds Center,/cbb/schools/tulsa/men/2014.html,,
8,/cbb/boxscores/2013-12-10-tulsa.html,"Tue, Dec 10, 2013",REG,/cbb/schools/arkansas-little-rock/men/2014.html,Little Rock,/cbb/conferences/sun-belt/men/2014.html,Sun Belt,-5.39,W,78,64,3,6,W 2,Donald W. Reynolds Center,/cbb/schools/tulsa/men/2014.html,,
9,/cbb/boxscores/2013-12-14-oklahoma.html,"Sat, Dec 14, 2013",REG,/cbb/schools/oklahoma/men/2014.html,Oklahoma,/cbb/conferences/big-12/men/2014.html,Big 12,14.91,L,91,101,3,7,L 1,Lloyd Noble Center,/cbb/schools/tulsa/men/2014.html,@,
