,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2013-11-08-villanova.html,"Fri, Nov 8, 2013",REG,/cbb/schools/lafayette/men/2014.html,Lafayette,/cbb/conferences/patriot/men/2014.html,Patriot,-7.64,W,75,59,1,0,W 1,Wells Fargo Center,/cbb/schools/villanova/men/2014.html,,
1,/cbb/boxscores/2013-11-13-villanova.html,"Wed, Nov 13, 2013",REG,/cbb/schools/mount-st-marys/men/2014.html,Mount St. Mary's,/cbb/conferences/northeast/men/2014.html,NEC,-6.32,W,90,59,2,0,W 2,Wells Fargo Center,/cbb/schools/villanova/men/2014.html,,
2,/cbb/boxscores/2013-11-17-villanova.html,"Sun, Nov 17, 2013",REG,/cbb/schools/towson/men/2014.html,Towson,/cbb/conferences/colonial/men/2014.html,CAA,0.55,W,78,44,3,0,W 3,Wells Fargo Center,/cbb/schools/villanova/men/2014.html,,
3,/cbb/boxscores/2013-11-22-villanova.html,"Fri, Nov 22, 2013",REG,/cbb/schools/delaware/men/2014.html,Delaware,/cbb/conferences/colonial/men/2014.html,CAA,2.73,W,84,80,4,0,W 4,Wells Fargo Center,/cbb/schools/villanova/men/2014.html,,
4,/cbb/boxscores/2013-11-28-southern-california.html,"Thu, Nov 28, 2013",REG,/cbb/schools/southern-california/men/2014.html,Southern California,/cbb/conferences/pac-12/men/2014.html,Pac-12,2.60,W,94,79,5,0,W 5,Imperial Arena at Atlantis Resort,/cbb/schools/villanova/men/2014.html,N,
5,/cbb/boxscores/2013-11-29-kansas.html,"Fri, Nov 29, 2013",REG,/cbb/schools/kansas/men/2014.html,Kansas,/cbb/conferences/big-12/men/2014.html,Big 12,20.25,W,63,59,6,0,W 6,Imperial Arena at Atlantis Resort,/cbb/schools/villanova/men/2014.html,N,
6,/cbb/boxscores/2013-11-30-iowa.html,"Sat, Nov 30, 2013",REG,/cbb/schools/iowa/men/2014.html,Iowa,/cbb/conferences/big-ten/men/2014.html,Big Ten,18.58,W,88,83,7,0,W 7,Imperial Arena at Atlantis Resort,/cbb/schools/villanova/men/2014.html,N,OT
7,/cbb/boxscores/2013-12-04-villanova.html,"Wed, Dec 4, 2013",REG,/cbb/schools/pennsylvania/men/2014.html,Pennsylvania,/cbb/conferences/ivy/men/2014.html,Ivy,-6.59,W,77,54,8,0,W 8,Wells Fargo Center,/cbb/schools/villanova/men/2014.html,,
8,/cbb/boxscores/2013-12-07-saint-josephs.html,"Sat, Dec 7, 2013",REG,/cbb/schools/saint-josephs/men/2014.html,Saint Joseph's,/cbb/conferences/atlantic-10/men/2014.html,A-10,9.05,W,98,68,9,0,W 9,Hagan Arena,/cbb/schools/villanova/men/2014.html,@,
9,/cbb/boxscores/2013-12-15-villanova.html,"Sun, Dec 15, 2013",REG,/cbb/schools/la-salle/men/2014.html,La Salle,/cbb/conferences/atlantic-10/men/2014.html,A-10,4.10,W,73,52,10,0,W 10,Wells Fargo Center,/cbb/schools/villanova/men/2014.html,,
