,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2013-11-08-new-mexico-state.html,"Fri, Nov 8, 2013",REG,N,/cbb/schools/new-mexico-state/men/2014.html,New Mexico State,/cbb/conferences/wac/men/2014.html,WAC,6.16,W,70,64,1,0,W 1,Stan Sheriff Center,/cbb/schools/western-michigan/men/2014.html,
1,/cbb/boxscores/2013-11-10-hawaii.html,"Sun, Nov 10, 2013",REG,@,/cbb/schools/hawaii/men/2014.html,Hawaii,/cbb/conferences/big-west/men/2014.html,Big West,3.43,L,68,78,1,1,L 1,,/cbb/schools/western-michigan/men/2014.html,
2,/cbb/boxscores/2013-11-11-tennessee-state.html,"Mon, Nov 11, 2013",REG,N,/cbb/schools/tennessee-state/men/2014.html,Tennessee State,/cbb/conferences/ovc/men/2014.html,OVC,-9.82,W,63,52,2,1,W 1,Stan Sheriff Center,/cbb/schools/western-michigan/men/2014.html,
3,/cbb/boxscores/2013-11-17-western-michigan.html,"Sun, Nov 17, 2013",REG,,/cbb/schools/alabama-am/men/2014.html,Alabama A&M,/cbb/conferences/swac/men/2014.html,SWAC,-13.86,W,73,69,3,1,W 2,University Arena,/cbb/schools/western-michigan/men/2014.html,
4,/cbb/boxscores/2013-11-20-western-michigan.html,"Wed, Nov 20, 2013",REG,,/cbb/schools/north-dakota-state/men/2014.html,North Dakota State,/cbb/conferences/summit/men/2014.html,Summit,6.31,L,74,83,3,2,L 1,University Arena,/cbb/schools/western-michigan/men/2014.html,
5,/cbb/boxscores/2013-11-26-western-michigan.html,"Tue, Nov 26, 2013",REG,,/cbb/schools/oakland/men/2014.html,Oakland,/cbb/conferences/horizon/men/2014.html,Horizon,-2.23,W,99,88,4,2,W 1,University Arena,/cbb/schools/western-michigan/men/2014.html,
6,/cbb/boxscores/2013-11-29-western-michigan.html,"Fri, Nov 29, 2013",REG,,/cbb/schools/cornell/men/2014.html,Cornell,/cbb/conferences/ivy/men/2014.html,Ivy,-15.60,W,83,70,5,2,W 2,University Arena,/cbb/schools/western-michigan/men/2014.html,
7,/cbb/boxscores/2013-12-07-northwestern.html,"Sat, Dec 7, 2013",REG,@,/cbb/schools/northwestern/men/2014.html,Northwestern,/cbb/conferences/big-ten/men/2014.html,Big Ten,4.72,L,35,51,5,3,L 1,Welsh-Ryan Arena,/cbb/schools/western-michigan/men/2014.html,
8,/cbb/boxscores/2013-12-15-missouri.html,"Sun, Dec 15, 2013",REG,@,/cbb/schools/missouri/men/2014.html,Missouri,/cbb/conferences/sec/men/2014.html,SEC,10.06,L,60,66,5,4,L 2,Mizzou Arena,/cbb/schools/western-michigan/men/2014.html,
9,/cbb/boxscores/2013-12-18-drake.html,"Wed, Dec 18, 2013",REG,@,/cbb/schools/drake/men/2014.html,Drake,/cbb/conferences/mvc/men/2014.html,MVC,-0.77,L,68,71,5,5,L 3,Knapp Center,/cbb/schools/western-michigan/men/2014.html,
10,/cbb/boxscores/2013-12-21-western-michigan.html,"Sat, Dec 21, 2013",REG,,/cbb/schools/prairie-view/men/2014.html,Prairie View,/cbb/conferences/swac/men/2014.html,SWAC,-16.72,W,92,53,6,5,W 1,University Arena,/cbb/schools/western-michigan/men/2014.html,
11,/cbb/boxscores/2014-01-02-western-michigan.html,"Thu, Jan 2, 2014",REG,,,Siena Heights,,,,W,83,47,7,5,W 2,University Arena,/cbb/schools/western-michigan/men/2014.html,
12,/cbb/boxscores/2014-01-08-western-michigan.html,"Wed, Jan 8, 2014",REG,,/cbb/schools/toledo/men/2014.html,Toledo,/cbb/conferences/mac/men/2014.html,MAC,3.30,W,87,76,8,5,W 3,University Arena,/cbb/schools/western-michigan/men/2014.html,
13,/cbb/boxscores/2014-01-11-miami-oh.html,"Sat, Jan 11, 2014",REG,@,/cbb/schools/miami-oh/men/2014.html,Miami (OH),/cbb/conferences/mac/men/2014.html,MAC,-4.37,W,78,77,9,5,W 4,Millett Hall,/cbb/schools/western-michigan/men/2014.html,OT
14,/cbb/boxscores/2014-01-14-eastern-michigan.html,"Tue, Jan 14, 2014",REG,@,/cbb/schools/eastern-michigan/men/2014.html,Eastern Michigan,/cbb/conferences/mac/men/2014.html,MAC,1.79,L,37,56,9,6,L 1,Convocation Center,/cbb/schools/western-michigan/men/2014.html,
15,/cbb/boxscores/2014-01-19-western-michigan.html,"Sun, Jan 19, 2014",REG,,/cbb/schools/bowling-green-state/men/2014.html,Bowling Green State,/cbb/conferences/mac/men/2014.html,MAC,-3.45,L,64,69,9,7,L 2,University Arena,/cbb/schools/western-michigan/men/2014.html,
16,/cbb/boxscores/2014-01-23-kent-state.html,"Thu, Jan 23, 2014",REG,@,/cbb/schools/kent-state/men/2014.html,Kent State,/cbb/conferences/mac/men/2014.html,MAC,-1.81,W,75,59,10,7,W 1,Memorial Athletic & Convocation Center,/cbb/schools/western-michigan/men/2014.html,
17,/cbb/boxscores/2014-01-26-western-michigan.html,"Sun, Jan 26, 2014",REG,,/cbb/schools/ball-state/men/2014.html,Ball State,/cbb/conferences/mac/men/2014.html,MAC,-10.17,W,62,53,11,7,W 2,University Arena,/cbb/schools/western-michigan/men/2014.html,
18,/cbb/boxscores/2014-01-29-buffalo.html,"Wed, Jan 29, 2014",REG,@,/cbb/schools/buffalo/men/2014.html,Buffalo,/cbb/conferences/mac/men/2014.html,MAC,3.58,L,63,84,11,8,L 1,Alumni Arena,/cbb/schools/western-michigan/men/2014.html,
