,boxScorelink,date,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,oppLink,confLink,srs,game_location,overtimes
0,/cbb/boxscores/2013-11-09-wichita-state.html,"Sat, Nov 9, 2013",REG,Emporia State,,W,93,50,1,0,W 1,Charles Koch Arena,/cbb/schools/wichita-state/men/2014.html,,,,,
1,/cbb/boxscores/2013-11-12-wichita-state.html,"Tue, Nov 12, 2013",REG,Western Kentucky,Sun Belt,W,66,49,2,0,W 2,,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/western-kentucky/men/2014.html,/cbb/conferences/sun-belt/men/2014.html,-1.47,,
2,/cbb/boxscores/2013-11-14-wichita-state.html,"Thu, Nov 14, 2013",REG,William & Mary,CAA,W,79,62,3,0,W 3,Charles Koch Arena,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/william-mary/men/2014.html,/cbb/conferences/colonial/men/2014.html,-1.48,,
3,/cbb/boxscores/2013-11-16-wichita-state.html,"Sat, Nov 16, 2013",REG,Tennessee State,OVC,W,85,71,4,0,W 4,Charles Koch Arena,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/tennessee-state/men/2014.html,/cbb/conferences/ovc/men/2014.html,-9.82,,
4,/cbb/boxscores/2013-11-20-tulsa.html,"Wed, Nov 20, 2013",REG,Tulsa,CUSA,W,77,54,5,0,W 5,Donald W. Reynolds Center,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/tulsa/men/2014.html,/cbb/conferences/cusa/men/2014.html,6.23,@,
5,/cbb/boxscores/2013-11-25-depaul.html,"Mon, Nov 25, 2013",REG,DePaul,Big East,W,90,72,6,0,W 6,Sprint Center,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/depaul/men/2014.html,/cbb/conferences/big-east/men/2014.html,1.50,N,
6,/cbb/boxscores/2013-11-26-brigham-young.html,"Tue, Nov 26, 2013",REG,Brigham Young,WCC,W,75,62,7,0,W 7,Sprint Center,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/brigham-young/men/2014.html,/cbb/conferences/wcc/men/2014.html,11.63,N,
7,/cbb/boxscores/2013-12-01-saint-louis.html,"Sun, Dec 1, 2013",REG,Saint Louis,A-10,W,70,65,8,0,W 8,Chaifetz Arena,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/saint-louis/men/2014.html,/cbb/conferences/atlantic-10/men/2014.html,11.63,@,
8,/cbb/boxscores/2013-12-07-wichita-state.html,"Sat, Dec 7, 2013",REG,Oral Roberts,Southland,W,71,58,9,0,W 9,Charles Koch Arena,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/oral-roberts/men/2014.html,/cbb/conferences/southland/men/2014.html,-2.94,,
9,/cbb/boxscores/2013-12-14-wichita-state.html,"Sat, Dec 14, 2013",REG,Tennessee,SEC,W,70,61,10,0,W 10,Charles Koch Arena,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/tennessee/men/2014.html,/cbb/conferences/sec/men/2014.html,17.34,,
10,/cbb/boxscores/2013-12-17-alabama.html,"Tue, Dec 17, 2013",REG,Alabama,SEC,W,72,67,11,0,W 11,Coleman Coliseum,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/alabama/men/2014.html,/cbb/conferences/sec/men/2014.html,8.34,@,
11,/cbb/boxscores/2013-12-22-wichita-state.html,"Sun, Dec 22, 2013",REG,North Carolina Central,MEAC,W,77,66,12,0,W 12,Charles Koch Arena,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/north-carolina-central/men/2014.html,/cbb/conferences/meac/men/2014.html,3.97,,
12,/cbb/boxscores/2013-12-29-wichita-state.html,"Sun, Dec 29, 2013",REG,Davidson,Southern,W,81,70,13,0,W 13,Charles Koch Arena,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/davidson/men/2014.html,/cbb/conferences/southern/men/2014.html,0.81,,
13,/cbb/boxscores/2014-01-02-southern-illinois.html,"Thu, Jan 2, 2014",REG,Southern Illinois,MVC,W,82,67,14,0,W 14,SIU Arena,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/southern-illinois/men/2014.html,/cbb/conferences/mvc/men/2014.html,-0.46,@,
14,/cbb/boxscores/2014-01-05-wichita-state.html,"Sun, Jan 5, 2014",REG,Northern Iowa,MVC,W,67,53,15,0,W 15,Charles Koch Arena,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/northern-iowa/men/2014.html,/cbb/conferences/mvc/men/2014.html,5.29,,
15,/cbb/boxscores/2014-01-08-wichita-state.html,"Wed, Jan 8, 2014",REG,Illinois State,MVC,W,66,47,16,0,W 16,Charles Koch Arena,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/illinois-state/men/2014.html,/cbb/conferences/mvc/men/2014.html,1.08,,
16,/cbb/boxscores/2014-01-11-missouri-state.html,"Sat, Jan 11, 2014",REG,Missouri State,MVC,W,72,69,17,0,W 17,JQH Arena,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/missouri-state/men/2014.html,/cbb/conferences/mvc/men/2014.html,0.81,@,OT
17,/cbb/boxscores/2014-01-14-wichita-state.html,"Tue, Jan 14, 2014",REG,Bradley,MVC,W,72,50,18,0,W 18,Charles Koch Arena,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/bradley/men/2014.html,/cbb/conferences/mvc/men/2014.html,-2.72,,
18,/cbb/boxscores/2014-01-18-wichita-state.html,"Sat, Jan 18, 2014",REG,Indiana State,MVC,W,68,48,19,0,W 19,Charles Koch Arena,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/indiana-state/men/2014.html,/cbb/conferences/mvc/men/2014.html,3.29,,
19,/cbb/boxscores/2014-01-22-illinois-state.html,"Wed, Jan 22, 2014",REG,Illinois State,MVC,W,70,55,20,0,W 20,Redbird Arena,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/illinois-state/men/2014.html,/cbb/conferences/mvc/men/2014.html,1.08,@,
20,/cbb/boxscores/2014-01-25-drake.html,"Sat, Jan 25, 2014",REG,Drake,MVC,W,78,61,21,0,W 21,Knapp Center,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/drake/men/2014.html,/cbb/conferences/mvc/men/2014.html,-0.77,@,
21,/cbb/boxscores/2014-01-28-wichita-state.html,"Tue, Jan 28, 2014",REG,Loyola (IL),MVC,W,57,45,22,0,W 22,Charles Koch Arena,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/loyola-il/men/2014.html,/cbb/conferences/mvc/men/2014.html,-4.75,,
22,/cbb/boxscores/2014-02-01-wichita-state.html,"Sat, Feb 1, 2014",REG,Evansville,MVC,W,81,67,23,0,W 23,Charles Koch Arena,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/evansville/men/2014.html,/cbb/conferences/mvc/men/2014.html,-3.12,,
23,/cbb/boxscores/2014-02-05-indiana-state.html,"Wed, Feb 5, 2014",REG,Indiana State,MVC,W,65,58,24,0,W 24,Hulman Center,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/indiana-state/men/2014.html,/cbb/conferences/mvc/men/2014.html,3.29,@,
24,/cbb/boxscores/2014-02-08-northern-iowa.html,"Sat, Feb 8, 2014",REG,Northern Iowa,MVC,W,82,73,25,0,W 25,McLeod Center,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/northern-iowa/men/2014.html,/cbb/conferences/mvc/men/2014.html,5.29,@,
25,/cbb/boxscores/2014-02-11-wichita-state.html,"Tue, Feb 11, 2014",REG,Southern Illinois,MVC,W,78,67,26,0,W 26,Charles Koch Arena,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/southern-illinois/men/2014.html,/cbb/conferences/mvc/men/2014.html,-0.46,,
26,/cbb/boxscores/2014-02-16-evansville.html,"Sun, Feb 16, 2014",REG,Evansville,MVC,W,84,68,27,0,W 27,Ford Center,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/evansville/men/2014.html,/cbb/conferences/mvc/men/2014.html,-3.12,@,
27,/cbb/boxscores/2014-02-19-loyola-il.html,"Wed, Feb 19, 2014",REG,Loyola (IL),MVC,W,88,74,28,0,W 28,Joseph J. Gentile Arena,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/loyola-il/men/2014.html,/cbb/conferences/mvc/men/2014.html,-4.75,@,
28,/cbb/boxscores/2014-02-22-wichita-state.html,"Sat, Feb 22, 2014",REG,Drake,MVC,W,83,54,29,0,W 29,Charles Koch Arena,/cbb/schools/wichita-state/men/2014.html,/cbb/schools/drake/men/2014.html,/cbb/conferences/mvc/men/2014.html,-0.77,,
