,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2013-11-08-xavier.html,"Fri, Nov 8, 2013",REG,/cbb/schools/gardner-webb/men/2014.html,Gardner-Webb,/cbb/conferences/big-south/men/2014.html,Big South,-7.33,W,83,59,1,0,W 1,Cintas Center,/cbb/schools/xavier/men/2014.html,,
1,/cbb/boxscores/2013-11-12-xavier.html,"Tue, Nov 12, 2013",REG,/cbb/schools/tennessee/men/2014.html,Tennessee,/cbb/conferences/sec/men/2014.html,SEC,17.34,W,67,63,2,0,W 2,Cintas Center,/cbb/schools/xavier/men/2014.html,,
2,/cbb/boxscores/2013-11-15-xavier.html,"Fri, Nov 15, 2013",REG,/cbb/schools/morehead-state/men/2014.html,Morehead State,/cbb/conferences/ovc/men/2014.html,OVC,-1.88,W,79,56,3,0,W 3,Cintas Center,/cbb/schools/xavier/men/2014.html,,
3,/cbb/boxscores/2013-11-20-xavier.html,"Wed, Nov 20, 2013",REG,/cbb/schools/miami-oh/men/2014.html,Miami (OH),/cbb/conferences/mac/men/2014.html,MAC,-4.37,W,77,51,4,0,W 4,Cintas Center,/cbb/schools/xavier/men/2014.html,,
4,/cbb/boxscores/2013-11-25-xavier.html,"Mon, Nov 25, 2013",REG,/cbb/schools/abilene-christian/men/2014.html,Abilene Christian,/cbb/conferences/southland/men/2014.html,Southland,-19.60,W,93,65,5,0,W 5,Cintas Center,/cbb/schools/xavier/men/2014.html,,
5,/cbb/boxscores/2013-11-28-iowa.html,"Thu, Nov 28, 2013",REG,/cbb/schools/iowa/men/2014.html,Iowa,/cbb/conferences/big-ten/men/2014.html,Big Ten,18.58,L,74,77,5,1,L 1,Imperial Arena at Atlantis Resort,/cbb/schools/xavier/men/2014.html,N,OT
6,/cbb/boxscores/2013-11-29-tennessee.html,"Fri, Nov 29, 2013",REG,/cbb/schools/tennessee/men/2014.html,Tennessee,/cbb/conferences/sec/men/2014.html,SEC,17.34,L,49,64,5,2,L 2,Imperial Arena at Atlantis Resort,/cbb/schools/xavier/men/2014.html,N,
7,/cbb/boxscores/2013-11-30-southern-california.html,"Sat, Nov 30, 2013",REG,/cbb/schools/southern-california/men/2014.html,Southern California,/cbb/conferences/pac-12/men/2014.html,Pac-12,2.60,L,78,84,5,3,L 3,Imperial Arena at Atlantis Resort,/cbb/schools/xavier/men/2014.html,N,
8,/cbb/boxscores/2013-12-07-xavier.html,"Sat, Dec 7, 2013",REG,/cbb/schools/bowling-green-state/men/2014.html,Bowling Green State,/cbb/conferences/mac/men/2014.html,MAC,-3.45,W,85,73,6,3,W 1,Cintas Center,/cbb/schools/xavier/men/2014.html,,OT
9,/cbb/boxscores/2013-12-10-xavier.html,"Tue, Dec 10, 2013",REG,/cbb/schools/evansville/men/2014.html,Evansville,/cbb/conferences/mvc/men/2014.html,MVC,-3.12,W,63,60,7,3,W 2,Cintas Center,/cbb/schools/xavier/men/2014.html,,
