,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2014-11-15-providence.html,"Sat, Nov 15, 2014",7:00p,REG,@,/cbb/schools/providence/men/2015.html,Providence,/cbb/conferences/big-east/men/2015.html,Big East,13.71,L,60,64,0,1,L 1,Dunkin Donuts Center,/cbb/schools/albany-ny/men/2015.html,
1,/cbb/boxscores/2014-11-19-albany-ny.html,"Wed, Nov 19, 2014",7:00p,REG,,/cbb/schools/njit/men/2015.html,NJIT,/cbb/conferences/independent/men/2015.html,Ind,-3.21,W,65,48,1,1,W 1,SEFCU Arena,/cbb/schools/albany-ny/men/2015.html,
2,/cbb/boxscores/2014-11-22-albany-ny.html,"Sat, Nov 22, 2014",7:00p,REG,,/cbb/schools/quinnipiac/men/2015.html,Quinnipiac,/cbb/conferences/maac/men/2015.html,MAAC,-1.46,L,73,76,1,2,L 1,SEFCU Arena,/cbb/schools/albany-ny/men/2015.html,OT
3,/cbb/boxscores/2014-11-26-colgate.html,"Wed, Nov 26, 2014",7:00p,REG,@,/cbb/schools/colgate/men/2015.html,Colgate,/cbb/conferences/patriot/men/2015.html,Patriot,-2.91,W,75,71,2,2,W 1,Cotterell Court,/cbb/schools/albany-ny/men/2015.html,
4,/cbb/boxscores/2014-11-29-nevada-las-vegas.html,"Sat, Nov 29, 2014",6:30p,REG,@,/cbb/schools/nevada-las-vegas/men/2015.html,Nevada-Las Vegas,/cbb/conferences/mwc/men/2015.html,MWC,5.41,L,59,75,2,3,L 1,Thomas & Mack Center,/cbb/schools/albany-ny/men/2015.html,
5,/cbb/boxscores/2014-12-03-albany-ny.html,"Wed, Dec 3, 2014",7:00p,REG,,/cbb/schools/holy-cross/men/2015.html,Holy Cross,/cbb/conferences/patriot/men/2015.html,Patriot,-6.23,L,57,74,2,4,L 2,SEFCU Arena,/cbb/schools/albany-ny/men/2015.html,
6,/cbb/boxscores/2014-12-06-saint-francis-pa.html,"Sat, Dec 6, 2014",2:00p,REG,@,/cbb/schools/saint-francis-pa/men/2015.html,Saint Francis (PA),/cbb/conferences/northeast/men/2015.html,NEC,-5.68,L,59,69,2,5,L 3,DeGol Arena,/cbb/schools/albany-ny/men/2015.html,
7,/cbb/boxscores/2014-12-08-bucknell.html,"Mon, Dec 8, 2014",7:00p,REG,@,/cbb/schools/bucknell/men/2015.html,Bucknell,/cbb/conferences/patriot/men/2015.html,Patriot,-3.66,L,58,61,2,6,L 4,Sojka Pavilion,/cbb/schools/albany-ny/men/2015.html,
8,/cbb/boxscores/2014-12-13-siena.html,"Sat, Dec 13, 2014",7:45p,REG,@,/cbb/schools/siena/men/2015.html,Siena,/cbb/conferences/maac/men/2015.html,MAAC,-6.93,W,77,68,3,6,W 1,Times Union Center,/cbb/schools/albany-ny/men/2015.html,
9,/cbb/boxscores/2014-12-20-yale.html,"Sat, Dec 20, 2014",2:00p,REG,@,/cbb/schools/yale/men/2015.html,Yale,/cbb/conferences/ivy/men/2015.html,Ivy,3.53,W,64,60,4,6,W 2,John J. Lee Amphitheater,/cbb/schools/albany-ny/men/2015.html,
10,/cbb/boxscores/2014-12-22-albany-ny.html,"Mon, Dec 22, 2014",7:00p,REG,,/cbb/schools/fairfield/men/2015.html,Fairfield,/cbb/conferences/maac/men/2015.html,MAAC,-8.63,W,77,66,5,6,W 3,SEFCU Arena,/cbb/schools/albany-ny/men/2015.html,
11,/cbb/boxscores/2014-12-30-niagara.html,"Tue, Dec 30, 2014",7:25p,REG,@,/cbb/schools/niagara/men/2015.html,Niagara,/cbb/conferences/maac/men/2015.html,MAAC,-9.27,L,47,65,5,7,L 1,Gallagher Center,/cbb/schools/albany-ny/men/2015.html,
12,/cbb/boxscores/2015-01-03-albany-ny.html,"Sat, Jan 3, 2015",7:00p,REG,,/cbb/schools/maine/men/2015.html,Maine,/cbb/conferences/america-east/men/2015.html,AEC,-17.80,W,80,56,6,7,W 1,SEFCU Arena,/cbb/schools/albany-ny/men/2015.html,
13,/cbb/boxscores/2015-01-06-new-hampshire.html,"Tue, Jan 6, 2015",7:00p,REG,@,/cbb/schools/new-hampshire/men/2015.html,New Hampshire,/cbb/conferences/america-east/men/2015.html,AEC,-3.76,W,64,62,7,7,W 2,Lundholm Gym,/cbb/schools/albany-ny/men/2015.html,
