,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink
0,/cbb/boxscores/2014-11-14-wright-state.html,"Fri, Nov 14, 2014",7:00p,REG,@,/cbb/schools/wright-state/men/2015.html,Wright State,/cbb/conferences/horizon/men/2015.html,Horizon,-6.41,L,70,73,0,1,L 1,Nutter Center,/cbb/schools/belmont/men/2015.html
1,/cbb/boxscores/2014-11-17-lipscomb.html,"Mon, Nov 17, 2014",7:30p,REG,@,/cbb/schools/lipscomb/men/2015.html,Lipscomb,/cbb/conferences/atlantic-sun/men/2015.html,A-Sun,-10.82,W,87,62,1,1,W 1,Allen Arena,/cbb/schools/belmont/men/2015.html
2,/cbb/boxscores/2014-11-19-belmont.html,"Wed, Nov 19, 2014",8:00p,REG,,,Trevecca Nazarene,,,,W,96,76,2,1,W 2,Curb Event Center,/cbb/schools/belmont/men/2015.html
3,/cbb/boxscores/2014-11-22-western-kentucky.html,"Sat, Nov 22, 2014",8:00p,REG,@,/cbb/schools/western-kentucky/men/2015.html,Western Kentucky,/cbb/conferences/cusa/men/2015.html,CUSA,1.12,W,64,63,3,1,W 3,E. A. Diddle Arena,/cbb/schools/belmont/men/2015.html
4,/cbb/boxscores/2014-11-24-belmont.html,"Mon, Nov 24, 2014",8:00p,REG,,/cbb/schools/lipscomb/men/2015.html,Lipscomb,/cbb/conferences/atlantic-sun/men/2015.html,A-Sun,-10.82,W,82,77,4,1,W 4,Curb Event Center,/cbb/schools/belmont/men/2015.html
5,/cbb/boxscores/2014-11-26-belmont.html,"Wed, Nov 26, 2014",2:00p,REG,,/cbb/schools/denver/men/2015.html,Denver,/cbb/conferences/summit/men/2015.html,Summit,-3.96,W,78,57,5,1,W 5,Curb Event Center,/cbb/schools/belmont/men/2015.html
6,/cbb/boxscores/2014-11-29-ohio.html,"Sat, Nov 29, 2014",7:00p,REG,@,/cbb/schools/ohio/men/2015.html,Ohio,/cbb/conferences/mac/men/2015.html,MAC,-4.15,W,83,81,6,1,W 6,Convocation Center,/cbb/schools/belmont/men/2015.html
7,/cbb/boxscores/2014-12-02-belmont.html,"Tue, Dec 2, 2014",8:00p,REG,,/cbb/schools/middle-tennessee/men/2015.html,Middle Tennessee,/cbb/conferences/cusa/men/2015.html,CUSA,0.21,W,63,59,7,1,W 7,Curb Event Center,/cbb/schools/belmont/men/2015.html
8,/cbb/boxscores/2014-12-09-belmont.html,"Tue, Dec 9, 2014",8:00p,REG,,/cbb/schools/evansville/men/2015.html,Evansville,/cbb/conferences/mvc/men/2015.html,MVC,3.36,L,62,65,7,2,L 1,Curb Event Center,/cbb/schools/belmont/men/2015.html
9,/cbb/boxscores/2014-12-11-belmont.html,"Thu, Dec 11, 2014",7:00p,REG,,/cbb/schools/wright-state/men/2015.html,Wright State,/cbb/conferences/horizon/men/2015.html,Horizon,-6.41,L,71,79,7,3,L 2,Curb Event Center,/cbb/schools/belmont/men/2015.html
