,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2014-11-14-brigham-young.html,"Fri, Nov 14, 2014",7:00p,REG,/cbb/schools/long-beach-state/men/2015.html,Long Beach State,/cbb/conferences/big-west/men/2015.html,Big West,1.64,W,95,90,1,0,W 1,Marriott Center,/cbb/schools/brigham-young/men/2015.html,,
1,/cbb/boxscores/2014-11-18-brigham-young.html,"Tue, Nov 18, 2014",9:30p,REG,/cbb/schools/arkansas-little-rock/men/2015.html,Little Rock,/cbb/conferences/sun-belt/men/2015.html,Sun Belt,-5.38,W,91,62,2,0,W 2,Marriott Center,/cbb/schools/brigham-young/men/2015.html,,
2,/cbb/boxscores/2014-11-19-brigham-young.html,"Wed, Nov 19, 2014",9:00p,REG,,Southern Virginia,,,,W,101,48,3,0,W 3,Marriott Center,/cbb/schools/brigham-young/men/2015.html,,
3,/cbb/boxscores/2014-11-24-brigham-young.html,"Mon, Nov 24, 2014",11:30p,REG,/cbb/schools/san-diego-state/men/2015.html,San Diego State,/cbb/conferences/mwc/men/2015.html,MWC,11.81,L,87,92,3,1,L 1,Lahaina Civic Center,/cbb/schools/brigham-young/men/2015.html,N,2OT
4,/cbb/boxscores/2014-11-25-brigham-young.html,"Tue, Nov 25, 2014",4:30p,REG,,Chaminade,,,,W,121,85,4,1,W 1,Lahaina Civic Center,/cbb/schools/brigham-young/men/2015.html,N,
5,/cbb/boxscores/2014-11-26-brigham-young.html,"Wed, Nov 26, 2014",5:00p,REG,/cbb/schools/purdue/men/2015.html,Purdue,/cbb/conferences/big-ten/men/2015.html,Big Ten,12.93,L,85,87,4,2,L 1,Lahaina Civic Center,/cbb/schools/brigham-young/men/2015.html,N,OT
6,/cbb/boxscores/2014-11-29-brigham-young.html,"Sat, Nov 29, 2014",9:30p,REG,/cbb/schools/eastern-kentucky/men/2015.html,Eastern Kentucky,/cbb/conferences/ovc/men/2015.html,OVC,-0.03,W,90,76,5,2,W 1,Marriott Center,/cbb/schools/brigham-young/men/2015.html,,
7,/cbb/boxscores/2014-12-02-utah-state.html,"Tue, Dec 2, 2014",9:00p,REG,/cbb/schools/utah-state/men/2015.html,Utah State,/cbb/conferences/mwc/men/2015.html,MWC,2.92,W,91,81,6,2,W 2,Dee Glen Smith Spectrum,/cbb/schools/brigham-young/men/2015.html,@,
8,/cbb/boxscores/2014-12-06-brigham-young.html,"Sat, Dec 6, 2014",6:00p,REG,/cbb/schools/hawaii/men/2015.html,Hawaii,/cbb/conferences/big-west/men/2015.html,Big West,2.65,W,90,70,7,2,W 3,Vivint Arena,/cbb/schools/brigham-young/men/2015.html,N,
9,/cbb/boxscores/2014-12-10-brigham-young.html,"Wed, Dec 10, 2014",9:00p,REG,/cbb/schools/utah/men/2015.html,Utah,/cbb/conferences/pac-12/men/2015.html,Pac-12,20.98,L,61,65,7,3,L 1,Marriott Center,/cbb/schools/brigham-young/men/2015.html,,
10,/cbb/boxscores/2014-12-13-weber-state.html,"Sat, Dec 13, 2014",9:00p,REG,/cbb/schools/weber-state/men/2015.html,Weber State,/cbb/conferences/big-sky/men/2015.html,Big Sky,-7.29,W,76,60,8,3,W 1,Dee Events Center,/cbb/schools/brigham-young/men/2015.html,@,
11,/cbb/boxscores/2014-12-20-brigham-young.html,"Sat, Dec 20, 2014",11:00p,REG,/cbb/schools/stanford/men/2015.html,Stanford,/cbb/conferences/pac-12/men/2015.html,Pac-12,12.33,W,79,77,9,3,W 2,Marriott Center,/cbb/schools/brigham-young/men/2015.html,,
12,/cbb/boxscores/2014-12-23-brigham-young.html,"Tue, Dec 23, 2014",2:00p,REG,/cbb/schools/massachusetts/men/2015.html,Massachusetts,/cbb/conferences/atlantic-10/men/2015.html,A-10,3.59,W,77,71,10,3,W 3,Marriott Center,/cbb/schools/brigham-young/men/2015.html,,OT
13,/cbb/boxscores/2014-12-27-brigham-young.html,"Sat, Dec 27, 2014",6:00p,REG,/cbb/schools/gonzaga/men/2015.html,Gonzaga,/cbb/conferences/wcc/men/2015.html,WCC,21.12,L,80,87,10,4,L 1,Marriott Center,/cbb/schools/brigham-young/men/2015.html,,
14,/cbb/boxscores/2014-12-29-brigham-young.html,"Mon, Dec 29, 2014",9:00p,REG,/cbb/schools/portland/men/2015.html,Portland,/cbb/conferences/wcc/men/2015.html,WCC,3.06,W,97,88,11,4,W 1,Marriott Center,/cbb/schools/brigham-young/men/2015.html,,
15,/cbb/boxscores/2015-01-01-santa-clara.html,"Thu, Jan 1, 2015",5:00p,REG,/cbb/schools/santa-clara/men/2015.html,Santa Clara,/cbb/conferences/wcc/men/2015.html,WCC,-0.38,W,81,46,12,4,W 2,Leavey Center,/cbb/schools/brigham-young/men/2015.html,@,
16,/cbb/boxscores/2015-01-03-san-francisco.html,"Sat, Jan 3, 2015",11:00p,REG,/cbb/schools/san-francisco/men/2015.html,San Francisco,/cbb/conferences/wcc/men/2015.html,WCC,3.08,W,99,68,13,4,W 3,War Memorial Gymnasium,/cbb/schools/brigham-young/men/2015.html,@,
17,/cbb/boxscores/2015-01-08-brigham-young.html,"Thu, Jan 8, 2015",11:00p,REG,/cbb/schools/pepperdine/men/2015.html,Pepperdine,/cbb/conferences/wcc/men/2015.html,WCC,3.86,L,61,67,13,5,L 1,Marriott Center,/cbb/schools/brigham-young/men/2015.html,,
18,/cbb/boxscores/2015-01-10-brigham-young.html,"Sat, Jan 10, 2015",9:00p,REG,/cbb/schools/loyola-marymount/men/2015.html,Loyola Marymount,/cbb/conferences/wcc/men/2015.html,WCC,-4.13,W,85,72,14,5,W 1,Marriott Center,/cbb/schools/brigham-young/men/2015.html,,
19,/cbb/boxscores/2015-01-15-pacific.html,"Thu, Jan 15, 2015",11:00p,REG,/cbb/schools/pacific/men/2015.html,Pacific,/cbb/conferences/wcc/men/2015.html,WCC,-3.19,W,93,80,15,5,W 2,Alex G. Spanos Center,/cbb/schools/brigham-young/men/2015.html,@,
20,/cbb/boxscores/2015-01-17-saint-marys-ca.html,"Sat, Jan 17, 2015",11:00p,REG,/cbb/schools/saint-marys-ca/men/2015.html,Saint Mary's (CA),/cbb/conferences/wcc/men/2015.html,WCC,8.68,L,77,82,15,6,L 1,McKeon Pavilion,/cbb/schools/brigham-young/men/2015.html,@,
21,/cbb/boxscores/2015-01-24-san-diego.html,"Sat, Jan 24, 2015",4:00p,REG,/cbb/schools/san-diego/men/2015.html,San Diego,/cbb/conferences/wcc/men/2015.html,WCC,5.03,L,74,77,15,7,L 2,Jenny Craig Pavilion,/cbb/schools/brigham-young/men/2015.html,@,
22,/cbb/boxscores/2015-01-29-brigham-young.html,"Thu, Jan 29, 2015",11:00p,REG,/cbb/schools/san-francisco/men/2015.html,San Francisco,/cbb/conferences/wcc/men/2015.html,WCC,3.08,W,78,74,16,7,W 1,Marriott Center,/cbb/schools/brigham-young/men/2015.html,,
23,/cbb/boxscores/2015-01-31-brigham-young.html,"Sat, Jan 31, 2015",9:00p,REG,/cbb/schools/santa-clara/men/2015.html,Santa Clara,/cbb/conferences/wcc/men/2015.html,WCC,-0.38,W,78,57,17,7,W 2,Marriott Center,/cbb/schools/brigham-young/men/2015.html,,
24,/cbb/boxscores/2015-02-05-pepperdine.html,"Thu, Feb 5, 2015",11:00p,REG,/cbb/schools/pepperdine/men/2015.html,Pepperdine,/cbb/conferences/wcc/men/2015.html,WCC,3.86,L,74,80,17,8,L 1,Firestone Fieldhouse,/cbb/schools/brigham-young/men/2015.html,@,
