,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,oppLink,confLink,srs,game_location,overtimes
0,/cbb/boxscores/2014-11-14-california-irvine.html,"Fri, Nov 14, 2014",10:00p,REG,Chapman,,W,87,36,1,0,W 1,Bren Events Center,/cbb/schools/california-irvine/men/2015.html,,,,,
1,/cbb/boxscores/2014-11-16-california-irvine.html,"Sun, Nov 16, 2014",6:00p,REG,Pacific,WCC,W,68,50,2,0,W 2,Bren Events Center,/cbb/schools/california-irvine/men/2015.html,/cbb/schools/pacific/men/2015.html,/cbb/conferences/wcc/men/2015.html,-3.19,,
2,/cbb/boxscores/2014-11-19-arizona.html,"Wed, Nov 19, 2014",9:00p,REG,Arizona,Pac-12,L,54,71,2,1,L 1,McKale Center,/cbb/schools/california-irvine/men/2015.html,/cbb/schools/arizona/men/2015.html,/cbb/conferences/pac-12/men/2015.html,24.33,@,
3,/cbb/boxscores/2014-11-23-saint-marys-ca.html,"Sun, Nov 23, 2014",9:00p,REG,Saint Mary's (CA),WCC,L,69,72,2,2,L 2,McKeon Pavilion,/cbb/schools/california-irvine/men/2015.html,/cbb/schools/saint-marys-ca/men/2015.html,/cbb/conferences/wcc/men/2015.html,8.68,@,
4,/cbb/boxscores/2014-11-29-loyola-marymount.html,"Sat, Nov 29, 2014",11:00p,REG,Loyola Marymount,WCC,W,80,72,3,2,W 1,Gersten Pavilion,/cbb/schools/california-irvine/men/2015.html,/cbb/schools/loyola-marymount/men/2015.html,/cbb/conferences/wcc/men/2015.html,-4.13,@,
5,/cbb/boxscores/2014-12-03-fresno-state.html,"Wed, Dec 3, 2014",10:00p,REG,Fresno State,MWC,L,63,72,3,3,L 1,Save Mart Center,/cbb/schools/california-irvine/men/2015.html,/cbb/schools/fresno-state/men/2015.html,/cbb/conferences/mwc/men/2015.html,-2.23,@,
6,/cbb/boxscores/2014-12-06-california-irvine.html,"Sat, Dec 6, 2014",10:00p,REG,Sacramento State,Big Sky,W,74,62,4,3,W 1,Bren Events Center,/cbb/schools/california-irvine/men/2015.html,/cbb/schools/sacramento-state/men/2015.html,/cbb/conferences/big-sky/men/2015.html,-4.62,,
7,/cbb/boxscores/2014-12-13-california-irvine.html,"Sat, Dec 13, 2014",10:00p,REG,UT Arlington,Sun Belt,L,62,70,4,4,L 1,Bren Events Center,/cbb/schools/california-irvine/men/2015.html,/cbb/schools/texas-arlington/men/2015.html,/cbb/conferences/sun-belt/men/2015.html,-3.59,,
8,/cbb/boxscores/2014-12-16-morgan-state.html,"Tue, Dec 16, 2014",7:00p,REG,Morgan State,MEAC,L,62,63,4,5,L 2,Talmadge L. Hill Field House,/cbb/schools/california-irvine/men/2015.html,/cbb/schools/morgan-state/men/2015.html,/cbb/conferences/meac/men/2015.html,-16.19,@,
9,/cbb/boxscores/2014-12-21-bradley.html,"Sun, Dec 21, 2014",4:30p,REG,Bradley,MVC,W,55,47,5,5,W 1,South Point Arena,/cbb/schools/california-irvine/men/2015.html,/cbb/schools/bradley/men/2015.html,/cbb/conferences/mvc/men/2015.html,-4.30,N,
10,/cbb/boxscores/2014-12-22-california-irvine.html,"Mon, Dec 22, 2014",4:30p,REG,Green Bay,Horizon,W,72,70,6,5,W 2,South Point Arena,/cbb/schools/california-irvine/men/2015.html,/cbb/schools/green-bay/men/2015.html,/cbb/conferences/horizon/men/2015.html,5.70,N,
11,/cbb/boxscores/2014-12-29-oregon.html,"Mon, Dec 29, 2014",11:00p,REG,Oregon,Pac-12,L,67,69,6,6,L 1,Matthew Knight Arena,/cbb/schools/california-irvine/men/2015.html,/cbb/schools/oregon/men/2015.html,/cbb/conferences/pac-12/men/2015.html,11.43,@,OT
12,/cbb/boxscores/2014-12-31-california-irvine.html,"Wed, Dec 31, 2014",5:00p,REG,Hampden-Sydney,,W,82,53,7,6,W 1,Bren Events Center,/cbb/schools/california-irvine/men/2015.html,,,,,
13,/cbb/boxscores/2015-01-03-new-mexico-state.html,"Sat, Jan 3, 2015",9:00p,REG,New Mexico State,WAC,L,67,70,7,7,L 1,Pan American Center,/cbb/schools/california-irvine/men/2015.html,/cbb/schools/new-mexico-state/men/2015.html,/cbb/conferences/wac/men/2015.html,3.71,@,
14,/cbb/boxscores/2015-01-08-california-irvine.html,"Thu, Jan 8, 2015",10:30p,REG,Long Beach State,Big West,L,82,88,7,8,L 2,Bren Events Center,/cbb/schools/california-irvine/men/2015.html,/cbb/schools/long-beach-state/men/2015.html,/cbb/conferences/big-west/men/2015.html,1.64,,
15,/cbb/boxscores/2015-01-10-california-irvine.html,"Sat, Jan 10, 2015",10:00p,REG,UC Riverside,Big West,W,69,55,8,8,W 1,Bren Events Center,/cbb/schools/california-irvine/men/2015.html,/cbb/schools/california-riverside/men/2015.html,/cbb/conferences/big-west/men/2015.html,-4.65,,
16,/cbb/boxscores/2015-01-15-cal-state-fullerton.html,"Thu, Jan 15, 2015",10:30p,REG,Cal State Fullerton,Big West,W,63,58,9,8,W 2,Titan Gym,/cbb/schools/california-irvine/men/2015.html,/cbb/schools/cal-state-fullerton/men/2015.html,/cbb/conferences/big-west/men/2015.html,-8.58,@,
17,/cbb/boxscores/2015-01-22-cal-state-northridge.html,"Thu, Jan 22, 2015",10:00p,REG,Cal State Northridge,Big West,W,80,49,10,8,W 3,The Matadome,/cbb/schools/california-irvine/men/2015.html,/cbb/schools/cal-state-northridge/men/2015.html,/cbb/conferences/big-west/men/2015.html,-6.61,@,
18,/cbb/boxscores/2015-01-24-hawaii.html,"Sat, Jan 24, 2015",11:59p,REG,Hawaii,Big West,W,78,72,11,8,W 4,Stan Sheriff Center,/cbb/schools/california-irvine/men/2015.html,/cbb/schools/hawaii/men/2015.html,/cbb/conferences/big-west/men/2015.html,2.65,@,
19,/cbb/boxscores/2015-01-29-california-irvine.html,"Thu, Jan 29, 2015",10:00p,REG,Cal Poly,Big West,W,67,57,12,8,W 5,Bren Events Center,/cbb/schools/california-irvine/men/2015.html,/cbb/schools/cal-poly/men/2015.html,/cbb/conferences/big-west/men/2015.html,-0.57,,
20,/cbb/boxscores/2015-01-31-california-irvine.html,"Sat, Jan 31, 2015",10:00p,REG,UC Santa Barbara,Big West,W,77,55,13,8,W 6,Bren Events Center,/cbb/schools/california-irvine/men/2015.html,/cbb/schools/california-santa-barbara/men/2015.html,/cbb/conferences/big-west/men/2015.html,3.47,,
21,/cbb/boxscores/2015-02-05-california-irvine.html,"Thu, Feb 5, 2015",10:00p,REG,UC Davis,Big West,L,56,75,13,9,L 1,Bren Events Center,/cbb/schools/california-irvine/men/2015.html,/cbb/schools/california-davis/men/2015.html,/cbb/conferences/big-west/men/2015.html,2.19,,
22,/cbb/boxscores/2015-02-07-long-beach-state.html,"Sat, Feb 7, 2015",7:00p,REG,Long Beach State,Big West,W,56,55,14,9,W 1,The Pyramid,/cbb/schools/california-irvine/men/2015.html,/cbb/schools/long-beach-state/men/2015.html,/cbb/conferences/big-west/men/2015.html,1.64,@,
23,/cbb/boxscores/2015-02-14-california-riverside.html,"Sat, Feb 14, 2015",8:00p,REG,UC Riverside,Big West,L,63,70,14,10,L 1,UC Riverside Student Recreation Center,/cbb/schools/california-irvine/men/2015.html,/cbb/schools/california-riverside/men/2015.html,/cbb/conferences/big-west/men/2015.html,-4.65,@,
24,/cbb/boxscores/2015-02-19-california-irvine.html,"Thu, Feb 19, 2015",10:30p,REG,Hawaii,Big West,W,75,60,15,10,W 1,Bren Events Center,/cbb/schools/california-irvine/men/2015.html,/cbb/schools/hawaii/men/2015.html,/cbb/conferences/big-west/men/2015.html,2.65,,
25,/cbb/boxscores/2015-02-21-california-irvine.html,"Sat, Feb 21, 2015",10:00p,REG,Cal State Northridge,Big West,W,67,58,16,10,W 2,Bren Events Center,/cbb/schools/california-irvine/men/2015.html,/cbb/schools/cal-state-northridge/men/2015.html,/cbb/conferences/big-west/men/2015.html,-6.61,,
