,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2014-11-14-cincinnati.html,"Fri, Nov 14, 2014",8:00p,REG,/cbb/schools/saint-francis-pa/men/2015.html,Saint Francis (PA),/cbb/conferences/northeast/men/2015.html,NEC,-5.68,W,52,37,1,0,W 1,Fifth Third Arena,/cbb/schools/cincinnati/men/2015.html,,
1,/cbb/boxscores/2014-11-19-cincinnati.html,"Wed, Nov 19, 2014",7:00p,REG,/cbb/schools/morehead-state/men/2015.html,Morehead State,/cbb/conferences/ovc/men/2015.html,OVC,-0.66,W,69,61,2,0,W 2,Fifth Third Arena,/cbb/schools/cincinnati/men/2015.html,,
2,/cbb/boxscores/2014-11-23-cincinnati.html,"Sun, Nov 23, 2014",5:00p,REG,/cbb/schools/eastern-illinois/men/2015.html,Eastern Illinois,/cbb/conferences/ovc/men/2015.html,OVC,-5.52,W,54,49,3,0,W 3,Fifth Third Arena,/cbb/schools/cincinnati/men/2015.html,,
3,/cbb/boxscores/2014-11-25-cincinnati.html,"Tue, Nov 25, 2014",7:00p,REG,/cbb/schools/north-carolina-central/men/2015.html,North Carolina Central,/cbb/conferences/meac/men/2015.html,MEAC,0.66,W,59,50,4,0,W 4,Fifth Third Arena,/cbb/schools/cincinnati/men/2015.html,,
4,/cbb/boxscores/2014-11-28-cincinnati.html,"Fri, Nov 28, 2014",6:00p,REG,/cbb/schools/middle-tennessee/men/2015.html,Middle Tennessee,/cbb/conferences/cusa/men/2015.html,CUSA,0.21,W,69,51,5,0,W 5,The Arena at Northwest Florida State College,/cbb/schools/cincinnati/men/2015.html,N,
5,/cbb/boxscores/2014-11-29-cincinnati.html,"Sat, Nov 29, 2014",9:00p,REG,/cbb/schools/mississippi/men/2015.html,Mississippi,/cbb/conferences/sec/men/2015.html,SEC,11.39,L,54,66,5,1,L 1,The Arena at Northwest Florida State College,/cbb/schools/cincinnati/men/2015.html,N,
6,/cbb/boxscores/2014-12-02-cincinnati.html,"Tue, Dec 2, 2014",7:00p,REG,/cbb/schools/stony-brook/men/2015.html,Stony Brook,/cbb/conferences/america-east/men/2015.html,AEC,-0.03,W,78,52,6,1,W 1,Fifth Third Arena,/cbb/schools/cincinnati/men/2015.html,,
7,/cbb/boxscores/2014-12-13-nebraska.html,"Sat, Dec 13, 2014",9:00p,REG,/cbb/schools/nebraska/men/2015.html,Nebraska,/cbb/conferences/big-ten/men/2015.html,Big Ten,5.90,L,55,56,6,2,L 1,Pinnacle Bank Arena,/cbb/schools/cincinnati/men/2015.html,@,2OT
8,/cbb/boxscores/2014-12-17-cincinnati.html,"Wed, Dec 17, 2014",9:00p,REG,/cbb/schools/san-diego-state/men/2015.html,San Diego State,/cbb/conferences/mwc/men/2015.html,MWC,11.81,W,71,62,7,2,W 1,Fifth Third Arena,/cbb/schools/cincinnati/men/2015.html,,OT
9,/cbb/boxscores/2014-12-20-cincinnati.html,"Sat, Dec 20, 2014",12:00p,REG,/cbb/schools/virginia-commonwealth/men/2015.html,Virginia Commonwealth,/cbb/conferences/atlantic-10/men/2015.html,A-10,12.79,L,47,68,7,3,L 1,Fifth Third Arena,/cbb/schools/cincinnati/men/2015.html,,
10,/cbb/boxscores/2014-12-23-cincinnati.html,"Tue, Dec 23, 2014",7:00p,REG,/cbb/schools/wagner/men/2015.html,Wagner,/cbb/conferences/northeast/men/2015.html,NEC,-11.47,W,72,48,8,3,W 1,Fifth Third Arena,/cbb/schools/cincinnati/men/2015.html,,
11,/cbb/boxscores/2014-12-30-north-carolina-state.html,"Tue, Dec 30, 2014",4:00p,REG,/cbb/schools/north-carolina-state/men/2015.html,NC State,/cbb/conferences/acc/men/2015.html,ACC,14.11,W,76,60,9,3,W 2,PNC Arena,/cbb/schools/cincinnati/men/2015.html,@,
12,/cbb/boxscores/2015-01-03-cincinnati.html,"Sat, Jan 3, 2015",11:00a,REG,/cbb/schools/southern-methodist/men/2015.html,Southern Methodist,/cbb/conferences/aac/men/2015.html,AAC,12.94,W,56,50,10,3,W 3,Fifth Third Arena,/cbb/schools/cincinnati/men/2015.html,,
13,/cbb/boxscores/2015-01-06-cincinnati.html,"Tue, Jan 6, 2015",7:00p,REG,/cbb/schools/east-carolina/men/2015.html,East Carolina,/cbb/conferences/aac/men/2015.html,AAC,-2.84,W,69,48,11,3,W 4,Fifth Third Arena,/cbb/schools/cincinnati/men/2015.html,,
14,/cbb/boxscores/2015-01-10-connecticut.html,"Sat, Jan 10, 2015",11:00a,REG,/cbb/schools/connecticut/men/2015.html,Connecticut,/cbb/conferences/aac/men/2015.html,AAC,8.28,L,56,62,11,4,L 1,Harry A. Gampel Pavilion,/cbb/schools/cincinnati/men/2015.html,@,
15,/cbb/boxscores/2015-01-15-memphis.html,"Thu, Jan 15, 2015",7:00p,REG,/cbb/schools/memphis/men/2015.html,Memphis,/cbb/conferences/aac/men/2015.html,AAC,7.15,L,50,63,11,5,L 2,FedExForum,/cbb/schools/cincinnati/men/2015.html,@,
16,/cbb/boxscores/2015-01-17-cincinnati.html,"Sat, Jan 17, 2015",7:30p,REG,/cbb/schools/temple/men/2015.html,Temple,/cbb/conferences/aac/men/2015.html,AAC,8.20,W,84,53,12,5,W 1,Fifth Third Arena,/cbb/schools/cincinnati/men/2015.html,,
