,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs,overtimes
0,/cbb/boxscores/2014-11-14-georgia-state.html,"Fri, Nov 14, 2014",7:00p,REG,Tennessee Temple,,W,115,55,1,0,W 1,GSU Sports Arena,/cbb/schools/georgia-state/men/2015.html,,,,,
1,/cbb/boxscores/2014-11-17-iowa-state.html,"Mon, Nov 17, 2014",9:00p,REG,Iowa State,Big 12,L,58,81,1,1,L 1,James H. Hilton Coliseum,/cbb/schools/georgia-state/men/2015.html,@,/cbb/schools/iowa-state/men/2015.html,/cbb/conferences/big-12/men/2015.html,17.94,
2,/cbb/boxscores/2014-11-21-colorado-state.html,"Fri, Nov 21, 2014",9:00p,REG,Colorado State,MWC,L,70,80,1,2,L 2,Moby Arena,/cbb/schools/georgia-state/men/2015.html,@,/cbb/schools/colorado-state/men/2015.html,/cbb/conferences/mwc/men/2015.html,8.12,
3,/cbb/boxscores/2014-11-24-chicago-state.html,"Mon, Nov 24, 2014",4:30p,REG,Chicago State,WAC,W,69,46,2,2,W 1,Athletics Center O''rena,/cbb/schools/georgia-state/men/2015.html,N,/cbb/schools/chicago-state/men/2015.html,/cbb/conferences/wac/men/2015.html,-14.76,
4,/cbb/boxscores/2014-11-25-georgia-state.html,"Tue, Nov 25, 2014",4:30p,REG,Western Carolina,Southern,W,85,70,3,2,W 2,Athletics Center O''rena,/cbb/schools/georgia-state/men/2015.html,N,/cbb/schools/western-carolina/men/2015.html,/cbb/conferences/southern/men/2015.html,-5.83,
5,/cbb/boxscores/2014-11-26-oakland.html,"Wed, Nov 26, 2014",7:00p,REG,Oakland,Horizon,W,83,78,4,2,W 3,Athletics Center O''rena,/cbb/schools/georgia-state/men/2015.html,@,/cbb/schools/oakland/men/2015.html,/cbb/conferences/horizon/men/2015.html,-1.28,
6,/cbb/boxscores/2014-11-29-iupui.html,"Sat, Nov 29, 2014",1:00p,REG,IUPUI,Summit,W,66,63,5,2,W 4,IUPUI Gymnasium,/cbb/schools/georgia-state/men/2015.html,@,/cbb/schools/iupui/men/2015.html,/cbb/conferences/summit/men/2015.html,-8.28,
7,/cbb/boxscores/2014-12-04-georgia-state.html,"Thu, Dec 4, 2014",7:00p,REG,Green Bay,Horizon,W,72,48,6,2,W 5,GSU Sports Arena,/cbb/schools/georgia-state/men/2015.html,,/cbb/schools/green-bay/men/2015.html,/cbb/conferences/horizon/men/2015.html,5.70,
8,/cbb/boxscores/2014-12-17-old-dominion.html,"Wed, Dec 17, 2014",8:00p,REG,Old Dominion,CUSA,L,54,58,6,3,L 1,Ted Constant Convocaation Center,/cbb/schools/georgia-state/men/2015.html,@,/cbb/schools/old-dominion/men/2015.html,/cbb/conferences/cusa/men/2015.html,7.68,OT
9,/cbb/boxscores/2014-12-21-georgia-state.html,"Sun, Dec 21, 2014",2:00p,REG,Southern Mississippi,CUSA,W,68,55,7,3,W 1,GSU Sports Arena,/cbb/schools/georgia-state/men/2015.html,,/cbb/schools/southern-mississippi/men/2015.html,/cbb/conferences/cusa/men/2015.html,-10.03,
10,/cbb/boxscores/2014-12-27-green-bay.html,"Sat, Dec 27, 2014",1:00p,REG,Green Bay,Horizon,L,61,78,7,4,L 1,Resch Center,/cbb/schools/georgia-state/men/2015.html,@,/cbb/schools/green-bay/men/2015.html,/cbb/conferences/horizon/men/2015.html,5.70,
11,/cbb/boxscores/2014-12-30-georgia-state.html,"Tue, Dec 30, 2014",7:33p,REG,Louisiana-Monroe,Sun Belt,W,65,45,8,4,W 1,GSU Sports Arena,/cbb/schools/georgia-state/men/2015.html,,/cbb/schools/louisiana-monroe/men/2015.html,/cbb/conferences/sun-belt/men/2015.html,-1.99,
12,/cbb/boxscores/2015-01-03-georgia-state.html,"Sat, Jan 3, 2015",2:00p,REG,Little Rock,Sun Belt,W,82,69,9,4,W 2,GSU Sports Arena,/cbb/schools/georgia-state/men/2015.html,,/cbb/schools/arkansas-little-rock/men/2015.html,/cbb/conferences/sun-belt/men/2015.html,-5.38,
13,/cbb/boxscores/2015-01-05-georgia-state.html,"Mon, Jan 5, 2015",7:25p,REG,Texas State,Sun Belt,L,74,77,9,5,L 1,GSU Sports Arena,/cbb/schools/georgia-state/men/2015.html,,/cbb/schools/texas-state/men/2015.html,/cbb/conferences/sun-belt/men/2015.html,-5.25,2OT
14,/cbb/boxscores/2015-01-08-louisiana-lafayette.html,"Thu, Jan 8, 2015",8:30p,REG,Louisiana,Sun Belt,L,80,84,9,6,L 2,Cajundome,/cbb/schools/georgia-state/men/2015.html,@,/cbb/schools/louisiana-lafayette/men/2015.html,/cbb/conferences/sun-belt/men/2015.html,0.82,
15,/cbb/boxscores/2015-01-10-georgia-state.html,"Sat, Jan 10, 2015",2:20p,REG,Troy,Sun Belt,W,77,72,10,6,W 1,GSU Sports Arena,/cbb/schools/georgia-state/men/2015.html,,/cbb/schools/troy/men/2015.html,/cbb/conferences/sun-belt/men/2015.html,-8.72,
16,/cbb/boxscores/2015-01-15-georgia-state.html,"Thu, Jan 15, 2015",7:25p,REG,UT Arlington,Sun Belt,W,83,62,11,6,W 2,GSU Sports Arena,/cbb/schools/georgia-state/men/2015.html,,/cbb/schools/texas-arlington/men/2015.html,/cbb/conferences/sun-belt/men/2015.html,-3.59,
17,/cbb/boxscores/2015-01-17-appalachian-state.html,"Sat, Jan 17, 2015",3:30p,REG,Appalachian State,Sun Belt,L,69,74,11,7,L 1,George M. Holmes Convocation Center,/cbb/schools/georgia-state/men/2015.html,@,/cbb/schools/appalachian-state/men/2015.html,/cbb/conferences/sun-belt/men/2015.html,-9.81,
18,/cbb/boxscores/2015-01-19-arkansas-state.html,"Mon, Jan 19, 2015",8:30p,REG,Arkansas State,Sun Belt,W,60,54,12,7,W 1,Convocation Center,/cbb/schools/georgia-state/men/2015.html,@,/cbb/schools/arkansas-state/men/2015.html,/cbb/conferences/sun-belt/men/2015.html,-10.10,
19,/cbb/boxscores/2015-01-24-georgia-state.html,"Sat, Jan 24, 2015",2:30p,REG,Louisiana,Sun Belt,W,75,64,13,7,W 2,GSU Sports Arena,/cbb/schools/georgia-state/men/2015.html,,/cbb/schools/louisiana-lafayette/men/2015.html,/cbb/conferences/sun-belt/men/2015.html,0.82,
20,/cbb/boxscores/2015-01-29-texas-arlington.html,"Thu, Jan 29, 2015",8:35p,REG,UT Arlington,Sun Belt,W,88,74,14,7,W 3,College Park Center,/cbb/schools/georgia-state/men/2015.html,@,/cbb/schools/texas-arlington/men/2015.html,/cbb/conferences/sun-belt/men/2015.html,-3.59,
21,/cbb/boxscores/2015-01-31-georgia-state.html,"Sat, Jan 31, 2015",2:25p,REG,Arkansas State,Sun Belt,W,74,43,15,7,W 4,GSU Sports Arena,/cbb/schools/georgia-state/men/2015.html,,/cbb/schools/arkansas-state/men/2015.html,/cbb/conferences/sun-belt/men/2015.html,-10.10,
22,/cbb/boxscores/2015-02-05-georgia-southern.html,"Thu, Feb 5, 2015",7:30p,REG,Georgia Southern,Sun Belt,L,54,58,15,8,L 1,Hanner Fieldhouse,/cbb/schools/georgia-state/men/2015.html,@,/cbb/schools/georgia-southern/men/2015.html,/cbb/conferences/sun-belt/men/2015.html,-0.40,
23,/cbb/boxscores/2015-02-07-south-alabama.html,"Sat, Feb 7, 2015",5:25p,REG,South Alabama,Sun Belt,W,65,54,16,8,W 1,Mitchell Center,/cbb/schools/georgia-state/men/2015.html,@,/cbb/schools/south-alabama/men/2015.html,/cbb/conferences/sun-belt/men/2015.html,-9.46,
