,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2014-11-14-gonzaga.html,"Fri, Nov 14, 2014",9:00p,REG,/cbb/schools/sacramento-state/men/2015.html,Sacramento State,/cbb/conferences/big-sky/men/2015.html,Big Sky,-4.62,W,104,58,1,0,W 1,McCarthey Athletic Center,/cbb/schools/gonzaga/men/2015.html,,
1,/cbb/boxscores/2014-11-17-gonzaga.html,"Mon, Nov 17, 2014",11:00p,REG,/cbb/schools/southern-methodist/men/2015.html,Southern Methodist,/cbb/conferences/aac/men/2015.html,AAC,12.94,W,72,56,2,0,W 2,McCarthey Athletic Center,/cbb/schools/gonzaga/men/2015.html,,
2,/cbb/boxscores/2014-11-19-gonzaga.html,"Wed, Nov 19, 2014",11:00p,REG,/cbb/schools/saint-josephs/men/2015.html,Saint Joseph's,/cbb/conferences/atlantic-10/men/2015.html,A-10,-0.23,W,94,42,3,0,W 3,McCarthey Athletic Center,/cbb/schools/gonzaga/men/2015.html,,
3,/cbb/boxscores/2014-11-22-gonzaga.html,"Sat, Nov 22, 2014",9:00p,REG,,St. Thomas Aquinas,,,,W,109,55,4,0,W 4,McCarthey Athletic Center,/cbb/schools/gonzaga/men/2015.html,,
4,/cbb/boxscores/2014-11-26-georgia.html,"Wed, Nov 26, 2014",9:45p,REG,/cbb/schools/georgia/men/2015.html,Georgia,/cbb/conferences/sec/men/2015.html,SEC,12.42,W,88,76,5,0,W 5,Madison Square Garden (IV),/cbb/schools/gonzaga/men/2015.html,N,
5,/cbb/boxscores/2014-11-28-gonzaga.html,"Fri, Nov 28, 2014",7:00p,REG,/cbb/schools/st-johns-ny/men/2015.html,St. John's (NY),/cbb/conferences/big-east/men/2015.html,Big East,11.85,W,73,66,6,0,W 6,Madison Square Garden (IV),/cbb/schools/gonzaga/men/2015.html,@,
6,/cbb/boxscores/2014-12-02-gonzaga.html,"Tue, Dec 2, 2014",9:00p,REG,/cbb/schools/southeastern-louisiana/men/2015.html,Southeastern Louisiana,/cbb/conferences/southland/men/2015.html,Southland,-10.97,W,76,57,7,0,W 7,McCarthey Athletic Center,/cbb/schools/gonzaga/men/2015.html,,
7,/cbb/boxscores/2014-12-06-arizona.html,"Sat, Dec 6, 2014",5:15p,REG,/cbb/schools/arizona/men/2015.html,Arizona,/cbb/conferences/pac-12/men/2015.html,Pac-12,24.33,L,63,66,7,1,L 1,McKale Center,/cbb/schools/gonzaga/men/2015.html,@,OT
8,/cbb/boxscores/2014-12-10-gonzaga.html,"Wed, Dec 10, 2014",11:00p,REG,/cbb/schools/washington-state/men/2015.html,Washington State,/cbb/conferences/pac-12/men/2015.html,Pac-12,0.14,W,81,66,8,1,W 1,Spokane Veterans Memorial Arena,/cbb/schools/gonzaga/men/2015.html,N,
9,/cbb/boxscores/2014-12-13-ucla.html,"Sat, Dec 13, 2014",10:00p,REG,/cbb/schools/ucla/men/2015.html,UCLA,/cbb/conferences/pac-12/men/2015.html,Pac-12,12.07,W,87,74,9,1,W 2,Pauley Pavilion,/cbb/schools/gonzaga/men/2015.html,@,
