,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs,overtimes
0,/cbb/boxscores/2014-11-14-harvard.html,"Fri, Nov 14, 2014",7:00p,REG,Massachusetts Institute of Technology,,W,73,52,1,0,W 1,Lavietes Pavilion,/cbb/schools/harvard/men/2015.html,,,,,
1,/cbb/boxscores/2014-11-16-harvard.html,"Sun, Nov 16, 2014",5:55p,REG,Holy Cross,Patriot,L,57,58,1,1,L 1,TD Garden,/cbb/schools/harvard/men/2015.html,N,/cbb/schools/holy-cross/men/2015.html,/cbb/conferences/patriot/men/2015.html,-6.23,
2,/cbb/boxscores/2014-11-20-harvard.html,"Thu, Nov 20, 2014",8:00p,REG,Florida Atlantic,CUSA,W,71,49,2,1,W 1,Lavietes Pavilion,/cbb/schools/harvard/men/2015.html,,/cbb/schools/florida-atlantic/men/2015.html,/cbb/conferences/cusa/men/2015.html,-7.80,
3,/cbb/boxscores/2014-11-25-harvard.html,"Tue, Nov 25, 2014",7:00p,REG,Houston,AAC,W,84,63,3,1,W 2,Lavietes Pavilion,/cbb/schools/harvard/men/2015.html,,/cbb/schools/houston/men/2015.html,/cbb/conferences/aac/men/2015.html,-2.06,
4,/cbb/boxscores/2014-11-29-harvard.html,"Sat, Nov 29, 2014",2:00p,REG,Massachusetts,A-10,W,75,73,4,1,W 3,Lavietes Pavilion,/cbb/schools/harvard/men/2015.html,,/cbb/schools/massachusetts/men/2015.html,/cbb/conferences/atlantic-10/men/2015.html,3.59,
5,/cbb/boxscores/2014-12-03-harvard.html,"Wed, Dec 3, 2014",7:00p,REG,Northeastern,CAA,W,60,46,5,1,W 4,Lavietes Pavilion,/cbb/schools/harvard/men/2015.html,,/cbb/schools/northeastern/men/2015.html,/cbb/conferences/colonial/men/2015.html,2.03,
6,/cbb/boxscores/2014-12-06-vermont.html,"Sat, Dec 6, 2014",7:00p,REG,Vermont,AEC,W,64,52,6,1,W 5,Roy L. Patrick Gymnasium,/cbb/schools/harvard/men/2015.html,@,/cbb/schools/vermont/men/2015.html,/cbb/conferences/america-east/men/2015.html,1.21,2OT
7,/cbb/boxscores/2014-12-08-harvard.html,"Mon, Dec 8, 2014",7:00p,REG,Boston University,Patriot,W,70,56,7,1,W 6,Lavietes Pavilion,/cbb/schools/harvard/men/2015.html,,/cbb/schools/boston-university/men/2015.html,/cbb/conferences/patriot/men/2015.html,-5.63,
8,/cbb/boxscores/2014-12-21-virginia.html,"Sun, Dec 21, 2014",12:00p,REG,Virginia,ACC,L,27,76,7,2,L 1,John Paul Jones Arena,/cbb/schools/harvard/men/2015.html,@,/cbb/schools/virginia/men/2015.html,/cbb/conferences/acc/men/2015.html,21.73,
9,/cbb/boxscores/2014-12-28-arizona-state.html,"Sun, Dec 28, 2014",2:00p,REG,Arizona State,Pac-12,L,46,56,7,3,L 2,Wells Fargo Arena,/cbb/schools/harvard/men/2015.html,@,/cbb/schools/arizona-state/men/2015.html,/cbb/conferences/pac-12/men/2015.html,9.52,
10,/cbb/boxscores/2014-12-30-grand-canyon.html,"Tue, Dec 30, 2014",8:00p,REG,Grand Canyon,WAC,W,72,59,8,3,W 1,Grand Canyon University Arena,/cbb/schools/harvard/men/2015.html,@,/cbb/schools/grand-canyon/men/2015.html,/cbb/conferences/wac/men/2015.html,-6.62,
11,/cbb/boxscores/2015-01-05-harvard.html,"Mon, Jan 5, 2015",7:00p,REG,Saint Rose,,W,84,38,9,3,W 2,Lavietes Pavilion,/cbb/schools/harvard/men/2015.html,,,,,
12,/cbb/boxscores/2015-01-10-dartmouth.html,"Sat, Jan 10, 2015",7:00p,REG,Dartmouth,Ivy,W,57,46,10,3,W 3,Leede Arena,/cbb/schools/harvard/men/2015.html,@,/cbb/schools/dartmouth/men/2015.html,/cbb/conferences/ivy/men/2015.html,-3.11,
13,/cbb/boxscores/2015-01-14-boston-college.html,"Wed, Jan 14, 2015",7:00p,REG,Boston College,ACC,L,57,64,10,4,L 1,Silvio O. Conte Forum,/cbb/schools/harvard/men/2015.html,@,/cbb/schools/boston-college/men/2015.html,/cbb/conferences/acc/men/2015.html,6.32,OT
14,/cbb/boxscores/2015-01-20-bryant.html,"Tue, Jan 20, 2015",5:30p,REG,Bryant,NEC,W,66,57,11,4,W 1,Chase Athletic Center,/cbb/schools/harvard/men/2015.html,@,/cbb/schools/bryant/men/2015.html,/cbb/conferences/northeast/men/2015.html,-6.28,
15,/cbb/boxscores/2015-01-24-harvard.html,"Sat, Jan 24, 2015",2:00p,REG,Dartmouth,Ivy,L,61,70,11,5,L 1,Lavietes Pavilion,/cbb/schools/harvard/men/2015.html,,/cbb/schools/dartmouth/men/2015.html,/cbb/conferences/ivy/men/2015.html,-3.11,
