,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes,game_location
0,/cbb/boxscores/2014-11-15-louisiana-state.html,"Sat, Nov 15, 2014",1:00p,REG,/cbb/schools/gardner-webb/men/2015.html,Gardner-Webb,/cbb/conferences/big-south/men/2015.html,Big South,-5.24,W,93,82,1,0,W 1,Maravich Assembly Center,/cbb/schools/louisiana-state/men/2015.html,,
1,/cbb/boxscores/2014-11-18-louisiana-state.html,"Tue, Nov 18, 2014",9:30p,REG,/cbb/schools/texas-tech/men/2015.html,Texas Tech,/cbb/conferences/big-12/men/2015.html,Big 12,3.77,W,69,64,2,0,W 2,Maravich Assembly Center,/cbb/schools/louisiana-state/men/2015.html,OT,
2,/cbb/boxscores/2014-11-21-louisiana-state.html,"Fri, Nov 21, 2014",6:30p,REG,/cbb/schools/old-dominion/men/2015.html,Old Dominion,/cbb/conferences/cusa/men/2015.html,CUSA,7.68,L,61,70,2,1,L 1,Virgin Islands Sport & Fitness Center,/cbb/schools/louisiana-state/men/2015.html,,N
3,/cbb/boxscores/2014-11-22-louisiana-state.html,"Sat, Nov 22, 2014",5:00p,REG,/cbb/schools/weber-state/men/2015.html,Weber State,/cbb/conferences/big-sky/men/2015.html,Big Sky,-7.29,W,72,58,3,1,W 1,Virgin Islands Sport & Fitness Center,/cbb/schools/louisiana-state/men/2015.html,,N
4,/cbb/boxscores/2014-11-24-clemson.html,"Mon, Nov 24, 2014",4:00p,REG,/cbb/schools/clemson/men/2015.html,Clemson,/cbb/conferences/acc/men/2015.html,ACC,7.73,L,61,64,3,2,L 1,Virgin Islands Sport & Fitness Center,/cbb/schools/louisiana-state/men/2015.html,,N
5,/cbb/boxscores/2014-11-29-louisiana-state.html,"Sat, Nov 29, 2014",8:00p,REG,/cbb/schools/mcneese-state/men/2015.html,McNeese State,/cbb/conferences/southland/men/2015.html,Southland,-10.05,W,83,72,4,2,W 1,Maravich Assembly Center,/cbb/schools/louisiana-state/men/2015.html,,
6,/cbb/boxscores/2014-12-02-louisiana-state.html,"Tue, Dec 2, 2014",7:00p,REG,/cbb/schools/massachusetts/men/2015.html,Massachusetts,/cbb/conferences/atlantic-10/men/2015.html,A-10,3.59,W,82,60,5,2,W 2,Maravich Assembly Center,/cbb/schools/louisiana-state/men/2015.html,,
7,/cbb/boxscores/2014-12-04-west-virginia.html,"Thu, Dec 4, 2014",7:00p,REG,/cbb/schools/west-virginia/men/2015.html,West Virginia,/cbb/conferences/big-12/men/2015.html,Big 12,15.12,W,74,73,6,2,W 3,WVU Coliseum,/cbb/schools/louisiana-state/men/2015.html,,@
8,/cbb/boxscores/2014-12-13-louisiana-state.html,"Sat, Dec 13, 2014",7:00p,REG,/cbb/schools/sam-houston-state/men/2015.html,Sam Houston,/cbb/conferences/southland/men/2015.html,Southland,2.97,W,76,67,7,2,W 4,Maravich Assembly Center,/cbb/schools/louisiana-state/men/2015.html,,
9,/cbb/boxscores/2014-12-18-alabama-birmingham.html,"Thu, Dec 18, 2014",9:00p,REG,/cbb/schools/alabama-birmingham/men/2015.html,UAB,/cbb/conferences/cusa/men/2015.html,CUSA,1.94,W,79,70,8,2,W 5,Bartow Arena,/cbb/schools/louisiana-state/men/2015.html,,@
10,/cbb/boxscores/2014-12-22-louisiana-state.html,"Mon, Dec 22, 2014",9:00p,REG,/cbb/schools/college-of-charleston/men/2015.html,College of Charleston,/cbb/conferences/colonial/men/2015.html,CAA,-7.23,W,71,47,9,2,W 6,Maravich Assembly Center,/cbb/schools/louisiana-state/men/2015.html,,
11,/cbb/boxscores/2014-12-29-louisiana-state.html,"Mon, Dec 29, 2014",7:00p,REG,/cbb/schools/southern-mississippi/men/2015.html,Southern Mississippi,/cbb/conferences/cusa/men/2015.html,CUSA,-10.03,W,87,67,10,2,W 7,Maravich Assembly Center,/cbb/schools/louisiana-state/men/2015.html,,
12,/cbb/boxscores/2015-01-03-louisiana-state.html,"Sat, Jan 3, 2015",7:00p,REG,/cbb/schools/savannah-state/men/2015.html,Savannah State,/cbb/conferences/meac/men/2015.html,MEAC,-18.17,W,75,59,11,2,W 8,Maravich Assembly Center,/cbb/schools/louisiana-state/men/2015.html,,
13,/cbb/boxscores/2015-01-08-missouri.html,"Thu, Jan 8, 2015",7:00p,REG,/cbb/schools/missouri/men/2015.html,Missouri,/cbb/conferences/sec/men/2015.html,SEC,1.13,L,67,74,11,3,L 1,Mizzou Arena,/cbb/schools/louisiana-state/men/2015.html,OT,@
14,/cbb/boxscores/2015-01-10-louisiana-state.html,"Sat, Jan 10, 2015",9:00p,REG,/cbb/schools/georgia/men/2015.html,Georgia,/cbb/conferences/sec/men/2015.html,SEC,12.42,W,87,84,12,3,W 1,Maravich Assembly Center,/cbb/schools/louisiana-state/men/2015.html,2OT,
15,/cbb/boxscores/2015-01-14-mississippi.html,"Wed, Jan 14, 2015",7:00p,REG,/cbb/schools/mississippi/men/2015.html,Mississippi,/cbb/conferences/sec/men/2015.html,SEC,11.39,W,75,71,13,3,W 2,C.M. Tad Smith Coliseum,/cbb/schools/louisiana-state/men/2015.html,,@
16,/cbb/boxscores/2015-01-17-louisiana-state.html,"Sat, Jan 17, 2015",12:00p,REG,/cbb/schools/texas-am/men/2015.html,Texas A&M,/cbb/conferences/sec/men/2015.html,SEC,10.73,L,64,67,13,4,L 1,Maravich Assembly Center,/cbb/schools/louisiana-state/men/2015.html,,
17,/cbb/boxscores/2015-01-20-florida.html,"Tue, Jan 20, 2015",7:00p,REG,/cbb/schools/florida/men/2015.html,Florida,/cbb/conferences/sec/men/2015.html,SEC,13.27,W,79,61,14,4,W 1,Stephen C. O''Connell Center,/cbb/schools/louisiana-state/men/2015.html,,@
18,/cbb/boxscores/2015-01-24-vanderbilt.html,"Sat, Jan 24, 2015",6:00p,REG,/cbb/schools/vanderbilt/men/2015.html,Vanderbilt,/cbb/conferences/sec/men/2015.html,SEC,11.89,W,79,75,15,4,W 2,Memorial Gymnasium,/cbb/schools/louisiana-state/men/2015.html,OT,@
19,/cbb/boxscores/2015-01-28-louisiana-state.html,"Wed, Jan 28, 2015",7:00p,REG,/cbb/schools/south-carolina/men/2015.html,South Carolina,/cbb/conferences/sec/men/2015.html,SEC,10.55,W,64,58,16,4,W 3,Maravich Assembly Center,/cbb/schools/louisiana-state/men/2015.html,,
20,/cbb/boxscores/2015-01-31-mississippi-state.html,"Sat, Jan 31, 2015",2:00p,REG,/cbb/schools/mississippi-state/men/2015.html,Mississippi State,/cbb/conferences/sec/men/2015.html,SEC,2.53,L,67,73,16,5,L 1,Humphrey Coliseum,/cbb/schools/louisiana-state/men/2015.html,,@
21,/cbb/boxscores/2015-02-05-louisiana-state.html,"Thu, Feb 5, 2015",7:00p,REG,/cbb/schools/auburn/men/2015.html,Auburn,/cbb/conferences/sec/men/2015.html,SEC,3.27,L,77,81,16,6,L 2,Maravich Assembly Center,/cbb/schools/louisiana-state/men/2015.html,,
22,/cbb/boxscores/2015-02-07-louisiana-state.html,"Sat, Feb 7, 2015",6:00p,REG,/cbb/schools/alabama/men/2015.html,Alabama,/cbb/conferences/sec/men/2015.html,SEC,10.52,W,71,60,17,6,W 1,Maravich Assembly Center,/cbb/schools/louisiana-state/men/2015.html,,
