,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,overtimes,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2014-11-14-mississippi.html,"Fri, Nov 14, 2014",7:00p,REG,/cbb/schools/charleston-southern/men/2015.html,Charleston Southern,/cbb/conferences/big-south/men/2015.html,Big South,-4.48,L,65,66,OT,0,1,L 1,C.M. Tad Smith Coliseum,/cbb/schools/mississippi/men/2015.html,
1,/cbb/boxscores/2014-11-17-troy.html,"Mon, Nov 17, 2014",8:00p,REG,/cbb/schools/troy/men/2015.html,Troy,/cbb/conferences/sun-belt/men/2015.html,Sun Belt,-8.72,W,74,64,,1,1,W 1,Trojan Arena,/cbb/schools/mississippi/men/2015.html,@
2,/cbb/boxscores/2014-11-20-mississippi.html,"Thu, Nov 20, 2014",8:30p,REG,/cbb/schools/southern/men/2015.html,Southern,/cbb/conferences/swac/men/2015.html,SWAC,-9.95,W,69,38,,2,1,W 2,C.M. Tad Smith Coliseum,/cbb/schools/mississippi/men/2015.html,
3,/cbb/boxscores/2014-11-23-mississippi.html,"Sun, Nov 23, 2014",8:00p,REG,/cbb/schools/northern-arizona/men/2015.html,Northern Arizona,/cbb/conferences/big-sky/men/2015.html,Big Sky,-3.48,W,80,74,,3,1,W 3,C.M. Tad Smith Coliseum,/cbb/schools/mississippi/men/2015.html,
4,/cbb/boxscores/2014-11-28-creighton.html,"Fri, Nov 28, 2014",8:30p,REG,/cbb/schools/creighton/men/2015.html,Creighton,/cbb/conferences/big-east/men/2015.html,Big East,7.48,W,75,68,,4,1,W 4,The Arena at Northwest Florida State College,/cbb/schools/mississippi/men/2015.html,N
5,/cbb/boxscores/2014-11-29-cincinnati.html,"Sat, Nov 29, 2014",9:00p,REG,/cbb/schools/cincinnati/men/2015.html,Cincinnati,/cbb/conferences/aac/men/2015.html,AAC,10.72,W,66,54,,5,1,W 5,The Arena at Northwest Florida State College,/cbb/schools/mississippi/men/2015.html,N
6,/cbb/boxscores/2014-12-04-mississippi.html,"Thu, Dec 4, 2014",9:00p,REG,/cbb/schools/texas-christian/men/2015.html,TCU,/cbb/conferences/big-12/men/2015.html,Big 12,11.10,L,54,66,,5,2,L 1,C.M. Tad Smith Coliseum,/cbb/schools/mississippi/men/2015.html,
7,/cbb/boxscores/2014-12-07-oregon.html,"Sun, Dec 7, 2014",4:00p,REG,/cbb/schools/oregon/men/2015.html,Oregon,/cbb/conferences/pac-12/men/2015.html,Pac-12,11.43,W,79,73,,6,2,W 1,Matthew Knight Arena,/cbb/schools/mississippi/men/2015.html,@
8,/cbb/boxscores/2014-12-13-mississippi.html,"Sat, Dec 13, 2014",4:30p,REG,/cbb/schools/western-kentucky/men/2015.html,Western Kentucky,/cbb/conferences/cusa/men/2015.html,CUSA,1.12,L,74,81,,6,3,L 1,C.M. Tad Smith Coliseum,/cbb/schools/mississippi/men/2015.html,
9,/cbb/boxscores/2014-12-18-mississippi.html,"Thu, Dec 18, 2014",8:00p,REG,/cbb/schools/coastal-carolina/men/2015.html,Coastal Carolina,/cbb/conferences/big-south/men/2015.html,Big South,-1.02,W,71,68,,7,3,W 1,C.M. Tad Smith Coliseum,/cbb/schools/mississippi/men/2015.html,
10,/cbb/boxscores/2014-12-22-mississippi.html,"Mon, Dec 22, 2014",8:00p,REG,/cbb/schools/southeast-missouri-state/men/2015.html,Southeast Missouri State,/cbb/conferences/ovc/men/2015.html,OVC,-5.23,W,82,51,,8,3,W 2,Lander's Center,/cbb/schools/mississippi/men/2015.html,N
