,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2014-11-14-purdue.html,"Fri, Nov 14, 2014",7:00p,REG,/cbb/schools/samford/men/2015.html,Samford,/cbb/conferences/southern/men/2015.html,Southern,-9.41,W,80,40,1,0,W 1,Mackey Arena,/cbb/schools/purdue/men/2015.html,,
1,/cbb/boxscores/2014-11-16-purdue.html,"Sun, Nov 16, 2014",3:00p,REG,/cbb/schools/iupui/men/2015.html,IUPUI,/cbb/conferences/summit/men/2015.html,Summit,-8.28,W,77,57,2,0,W 2,Mackey Arena,/cbb/schools/purdue/men/2015.html,,
2,/cbb/boxscores/2014-11-20-purdue.html,"Thu, Nov 20, 2014",7:00p,REG,/cbb/schools/grambling/men/2015.html,Grambling,/cbb/conferences/swac/men/2015.html,SWAC,-30.67,W,82,30,3,0,W 3,Mackey Arena,/cbb/schools/purdue/men/2015.html,,
3,/cbb/boxscores/2014-11-24-kansas-state.html,"Mon, Nov 24, 2014",2:30p,REG,/cbb/schools/kansas-state/men/2015.html,Kansas State,/cbb/conferences/big-12/men/2015.html,Big 12,8.48,L,79,88,3,1,L 1,Lahaina Civic Center,/cbb/schools/purdue/men/2015.html,N,
4,/cbb/boxscores/2014-11-25-missouri.html,"Tue, Nov 25, 2014",2:00p,REG,/cbb/schools/missouri/men/2015.html,Missouri,/cbb/conferences/sec/men/2015.html,SEC,1.13,W,82,61,4,1,W 1,Lahaina Civic Center,/cbb/schools/purdue/men/2015.html,N,
5,/cbb/boxscores/2014-11-26-brigham-young.html,"Wed, Nov 26, 2014",5:00p,REG,/cbb/schools/brigham-young/men/2015.html,Brigham Young,/cbb/conferences/wcc/men/2015.html,WCC,13.53,W,87,85,5,1,W 2,Lahaina Civic Center,/cbb/schools/purdue/men/2015.html,N,OT
6,/cbb/boxscores/2014-12-02-purdue.html,"Tue, Dec 2, 2014",9:00p,REG,/cbb/schools/north-carolina-state/men/2015.html,NC State,/cbb/conferences/acc/men/2015.html,ACC,14.11,W,66,61,6,1,W 3,Mackey Arena,/cbb/schools/purdue/men/2015.html,,
7,/cbb/boxscores/2014-12-06-purdue.html,"Sat, Dec 6, 2014",2:00p,REG,/cbb/schools/north-florida/men/2015.html,North Florida,/cbb/conferences/atlantic-sun/men/2015.html,A-Sun,-0.82,L,70,73,6,2,L 1,Mackey Arena,/cbb/schools/purdue/men/2015.html,,
8,/cbb/boxscores/2014-12-08-purdue.html,"Mon, Dec 8, 2014",7:00p,REG,/cbb/schools/ipfw/men/2015.html,Purdue Fort Wayne,/cbb/conferences/summit/men/2015.html,Summit,-3.13,W,63,43,7,2,W 1,Mackey Arena,/cbb/schools/purdue/men/2015.html,,
9,/cbb/boxscores/2014-12-10-purdue.html,"Wed, Dec 10, 2014",7:00p,REG,/cbb/schools/arkansas-state/men/2015.html,Arkansas State,/cbb/conferences/sun-belt/men/2015.html,Sun Belt,-10.10,W,87,46,8,2,W 2,Mackey Arena,/cbb/schools/purdue/men/2015.html,,
