,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2014-11-14-robert-morris.html,"Fri, Nov 14, 2014",7:00p,REG,/cbb/schools/lafayette/men/2015.html,Lafayette,/cbb/conferences/patriot/men/2015.html,Patriot,-3.37,L,50,77,0,1,L 1,Charles L. Sewall Center,/cbb/schools/robert-morris/men/2015.html,,
1,/cbb/boxscores/2014-11-16-north-carolina.html,"Sun, Nov 16, 2014",6:00p,REG,/cbb/schools/north-carolina/men/2015.html,North Carolina,/cbb/conferences/acc/men/2015.html,ACC,20.63,L,59,103,0,2,L 2,Dean Smith Center,/cbb/schools/robert-morris/men/2015.html,@,
2,/cbb/boxscores/2014-11-19-bradley.html,"Wed, Nov 19, 2014",8:00p,REG,/cbb/schools/bradley/men/2015.html,Bradley,/cbb/conferences/mvc/men/2015.html,MVC,-4.30,W,68,61,1,2,W 1,Carver Arena,/cbb/schools/robert-morris/men/2015.html,@,
3,/cbb/boxscores/2014-11-22-georgetown.html,"Sat, Nov 22, 2014",12:00p,REG,/cbb/schools/georgetown/men/2015.html,Georgetown,/cbb/conferences/big-east/men/2015.html,Big East,15.48,L,66,80,1,3,L 1,Verizon Center,/cbb/schools/robert-morris/men/2015.html,@,
4,/cbb/boxscores/2014-11-26-chattanooga.html,"Wed, Nov 26, 2014",12:00p,REG,/cbb/schools/chattanooga/men/2015.html,Chattanooga,/cbb/conferences/southern/men/2015.html,Southern,-1.63,L,46,61,1,4,L 2,McKenzie Arena,/cbb/schools/robert-morris/men/2015.html,@,
5,/cbb/boxscores/2014-11-27-louisiana-monroe.html,"Thu, Nov 27, 2014",12:00p,REG,/cbb/schools/louisiana-monroe/men/2015.html,Louisiana-Monroe,/cbb/conferences/sun-belt/men/2015.html,Sun Belt,-1.99,W,71,54,2,4,W 1,McKenzie Arena,/cbb/schools/robert-morris/men/2015.html,N,
6,/cbb/boxscores/2014-12-02-robert-morris.html,"Tue, Dec 2, 2014",7:00p,REG,/cbb/schools/youngstown-state/men/2015.html,Youngstown State,/cbb/conferences/horizon/men/2015.html,Horizon,-7.63,L,81,89,2,5,L 1,Charles L. Sewall Center,/cbb/schools/robert-morris/men/2015.html,,
7,/cbb/boxscores/2014-12-07-robert-morris.html,"Sun, Dec 7, 2014",1:00p,REG,/cbb/schools/buffalo/men/2015.html,Buffalo,/cbb/conferences/mac/men/2015.html,MAC,7.93,L,59,74,2,6,L 2,Charles L. Sewall Center,/cbb/schools/robert-morris/men/2015.html,,
8,/cbb/boxscores/2014-12-13-robert-morris.html,"Sat, Dec 13, 2014",4:00p,REG,/cbb/schools/duquesne/men/2015.html,Duquesne,/cbb/conferences/atlantic-10/men/2015.html,A-10,-2.93,W,75,59,3,6,W 1,Charles L. Sewall Center,/cbb/schools/robert-morris/men/2015.html,,
9,/cbb/boxscores/2014-12-17-toledo.html,"Wed, Dec 17, 2014",7:00p,REG,/cbb/schools/toledo/men/2015.html,Toledo,/cbb/conferences/mac/men/2015.html,MAC,4.86,L,57,83,3,7,L 1,Savage Arena,/cbb/schools/robert-morris/men/2015.html,@,
10,/cbb/boxscores/2014-12-22-robert-morris.html,"Mon, Dec 22, 2014",7:00p,REG,/cbb/schools/delaware/men/2015.html,Delaware,/cbb/conferences/colonial/men/2015.html,CAA,-7.76,W,84,81,4,7,W 1,Charles L. Sewall Center,/cbb/schools/robert-morris/men/2015.html,,
11,/cbb/boxscores/2014-12-30-clemson.html,"Tue, Dec 30, 2014",7:00p,REG,/cbb/schools/clemson/men/2015.html,Clemson,/cbb/conferences/acc/men/2015.html,ACC,7.73,L,57,64,4,8,L 1,Littlejohn Coliseum,/cbb/schools/robert-morris/men/2015.html,@,
12,/cbb/boxscores/2015-01-03-robert-morris.html,"Sat, Jan 3, 2015",4:00p,REG,/cbb/schools/mount-st-marys/men/2015.html,Mount St. Mary's,/cbb/conferences/northeast/men/2015.html,NEC,-6.14,W,70,45,5,8,W 1,Charles L. Sewall Center,/cbb/schools/robert-morris/men/2015.html,,
