,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2014-11-14-st-johns-ny.html,"Fri, Nov 14, 2014",7:00p,REG,/cbb/schools/njit/men/2015.html,NJIT,/cbb/conferences/independent/men/2015.html,Ind,-3.21,W,77,58,1,0,W 1,Carnesecca Arena,/cbb/schools/st-johns-ny/men/2015.html,,
1,/cbb/boxscores/2014-11-17-st-johns-ny.html,"Mon, Nov 17, 2014",7:30p,REG,,Franklin Pierce,,,,W,94,81,2,0,W 2,Carnesecca Arena,/cbb/schools/st-johns-ny/men/2015.html,,
2,/cbb/boxscores/2014-11-19-st-johns-ny.html,"Wed, Nov 19, 2014",7:30p,REG,/cbb/schools/long-island-university/men/2015.html,Long Island University,/cbb/conferences/northeast/men/2015.html,NEC,-9.09,W,66,53,3,0,W 3,Carnesecca Arena,/cbb/schools/st-johns-ny/men/2015.html,,
3,/cbb/boxscores/2014-11-26-minnesota.html,"Wed, Nov 26, 2014",7:00p,REG,/cbb/schools/minnesota/men/2015.html,Minnesota,/cbb/conferences/big-ten/men/2015.html,Big Ten,12.34,W,70,61,4,0,W 4,Madison Square Garden (IV),/cbb/schools/st-johns-ny/men/2015.html,,
4,/cbb/boxscores/2014-11-28-gonzaga.html,"Fri, Nov 28, 2014",7:00p,REG,/cbb/schools/gonzaga/men/2015.html,Gonzaga,/cbb/conferences/wcc/men/2015.html,WCC,21.12,L,66,73,4,1,L 1,Madison Square Garden (IV),/cbb/schools/st-johns-ny/men/2015.html,,
5,/cbb/boxscores/2014-12-02-st-johns-ny.html,"Tue, Dec 2, 2014",7:00p,REG,/cbb/schools/niagara/men/2015.html,Niagara,/cbb/conferences/maac/men/2015.html,MAAC,-9.27,W,70,57,5,1,W 1,Carnesecca Arena,/cbb/schools/st-johns-ny/men/2015.html,,
6,/cbb/boxscores/2014-12-06-syracuse.html,"Sat, Dec 6, 2014",5:15p,REG,/cbb/schools/syracuse/men/2015.html,Syracuse,/cbb/conferences/acc/men/2015.html,ACC,11.91,W,69,57,6,1,W 2,Carrier Dome,/cbb/schools/st-johns-ny/men/2015.html,@,
7,/cbb/boxscores/2014-12-10-st-johns-ny.html,"Wed, Dec 10, 2014",8:00p,REG,/cbb/schools/fairleigh-dickinson/men/2015.html,FDU,/cbb/conferences/northeast/men/2015.html,NEC,-12.22,W,74,52,7,1,W 3,Carnesecca Arena,/cbb/schools/st-johns-ny/men/2015.html,,
8,/cbb/boxscores/2014-12-14-st-johns-ny.html,"Sun, Dec 14, 2014",2:30p,REG,/cbb/schools/fordham/men/2015.html,Fordham,/cbb/conferences/atlantic-10/men/2015.html,A-10,-2.15,W,74,53,8,1,W 4,Madison Square Garden (IV),/cbb/schools/st-johns-ny/men/2015.html,,
9,/cbb/boxscores/2014-12-19-st-johns-ny.html,"Fri, Dec 19, 2014",7:00p,REG,/cbb/schools/saint-marys-ca/men/2015.html,Saint Mary's (CA),/cbb/conferences/wcc/men/2015.html,WCC,8.68,W,53,47,9,1,W 5,Carnesecca Arena,/cbb/schools/st-johns-ny/men/2015.html,,
10,/cbb/boxscores/2014-12-22-st-johns-ny.html,"Mon, Dec 22, 2014",7:30p,REG,/cbb/schools/long-beach-state/men/2015.html,Long Beach State,/cbb/conferences/big-west/men/2015.html,Big West,1.64,W,66,49,10,1,W 6,Carnesecca Arena,/cbb/schools/st-johns-ny/men/2015.html,,
11,/cbb/boxscores/2014-12-28-st-johns-ny.html,"Sun, Dec 28, 2014",12:00p,REG,/cbb/schools/tulane/men/2015.html,Tulane,/cbb/conferences/aac/men/2015.html,AAC,-1.51,W,82,57,11,1,W 7,Barclays Center,/cbb/schools/st-johns-ny/men/2015.html,N,
12,/cbb/boxscores/2014-12-31-seton-hall.html,"Wed, Dec 31, 2014",12:00p,REG,/cbb/schools/seton-hall/men/2015.html,Seton Hall,/cbb/conferences/big-east/men/2015.html,Big East,7.95,L,67,78,11,2,L 1,Prudential Center,/cbb/schools/st-johns-ny/men/2015.html,@,
13,/cbb/boxscores/2015-01-03-st-johns-ny.html,"Sat, Jan 3, 2015",4:00p,REG,/cbb/schools/butler/men/2015.html,Butler,/cbb/conferences/big-east/men/2015.html,Big East,16.64,L,69,73,11,3,L 2,Carnesecca Arena,/cbb/schools/st-johns-ny/men/2015.html,,
14,/cbb/boxscores/2015-01-06-st-johns-ny.html,"Tue, Jan 6, 2015",9:00p,REG,/cbb/schools/villanova/men/2015.html,Villanova,/cbb/conferences/big-east/men/2015.html,Big East,23.13,L,72,90,11,4,L 3,Madison Square Garden (IV),/cbb/schools/st-johns-ny/men/2015.html,,
15,/cbb/boxscores/2015-01-14-providence.html,"Wed, Jan 14, 2015",7:00p,REG,/cbb/schools/providence/men/2015.html,Providence,/cbb/conferences/big-east/men/2015.html,Big East,13.71,W,83,70,12,4,W 1,Dunkin Donuts Center,/cbb/schools/st-johns-ny/men/2015.html,@,
16,/cbb/boxscores/2015-01-18-depaul.html,"Sun, Jan 18, 2015",2:30p,REG,/cbb/schools/depaul/men/2015.html,DePaul,/cbb/conferences/big-east/men/2015.html,Big East,3.30,L,67,71,12,5,L 1,Allstate Arena,/cbb/schools/st-johns-ny/men/2015.html,@,OT
17,/cbb/boxscores/2015-01-21-st-johns-ny.html,"Wed, Jan 21, 2015",7:00p,REG,/cbb/schools/marquette/men/2015.html,Marquette,/cbb/conferences/big-east/men/2015.html,Big East,7.08,W,60,57,13,5,W 1,Madison Square Garden (IV),/cbb/schools/st-johns-ny/men/2015.html,,
18,/cbb/boxscores/2015-01-25-st-johns-ny.html,"Sun, Jan 25, 2015",2:00p,REG,/cbb/schools/duke/men/2015.html,Duke,/cbb/conferences/acc/men/2015.html,ACC,24.97,L,68,77,13,6,L 1,Madison Square Garden (IV),/cbb/schools/st-johns-ny/men/2015.html,,
19,/cbb/boxscores/2015-01-28-creighton.html,"Wed, Jan 28, 2015",9:00p,REG,/cbb/schools/creighton/men/2015.html,Creighton,/cbb/conferences/big-east/men/2015.html,Big East,7.48,L,74,77,13,7,L 2,CenturyLink Center Omaha,/cbb/schools/st-johns-ny/men/2015.html,@,
20,/cbb/boxscores/2015-01-31-st-johns-ny.html,"Sat, Jan 31, 2015",12:00p,REG,/cbb/schools/providence/men/2015.html,Providence,/cbb/conferences/big-east/men/2015.html,Big East,13.71,W,75,66,14,7,W 1,Madison Square Garden (IV),/cbb/schools/st-johns-ny/men/2015.html,,
21,/cbb/boxscores/2015-02-03-butler.html,"Tue, Feb 3, 2015",7:00p,REG,/cbb/schools/butler/men/2015.html,Butler,/cbb/conferences/big-east/men/2015.html,Big East,16.64,L,62,85,14,8,L 1,Hinkle Fieldhouse,/cbb/schools/st-johns-ny/men/2015.html,@,
22,/cbb/boxscores/2015-02-07-st-johns-ny.html,"Sat, Feb 7, 2015",12:00p,REG,/cbb/schools/creighton/men/2015.html,Creighton,/cbb/conferences/big-east/men/2015.html,Big East,7.48,W,84,66,15,8,W 1,Madison Square Garden (IV),/cbb/schools/st-johns-ny/men/2015.html,,
23,/cbb/boxscores/2015-02-11-st-johns-ny.html,"Wed, Feb 11, 2015",9:00p,REG,/cbb/schools/depaul/men/2015.html,DePaul,/cbb/conferences/big-east/men/2015.html,Big East,3.30,W,86,78,16,8,W 2,Carnesecca Arena,/cbb/schools/st-johns-ny/men/2015.html,,
24,/cbb/boxscores/2015-02-14-xavier.html,"Sat, Feb 14, 2015",12:30p,REG,/cbb/schools/xavier/men/2015.html,Xavier,/cbb/conferences/big-east/men/2015.html,Big East,15.42,W,78,70,17,8,W 3,Cintas Center,/cbb/schools/st-johns-ny/men/2015.html,@,
25,/cbb/boxscores/2015-02-17-georgetown.html,"Tue, Feb 17, 2015",7:00p,REG,/cbb/schools/georgetown/men/2015.html,Georgetown,/cbb/conferences/big-east/men/2015.html,Big East,15.48,L,57,79,17,9,L 1,Verizon Center,/cbb/schools/st-johns-ny/men/2015.html,@,
26,/cbb/boxscores/2015-02-21-st-johns-ny.html,"Sat, Feb 21, 2015",12:00p,REG,/cbb/schools/seton-hall/men/2015.html,Seton Hall,/cbb/conferences/big-east/men/2015.html,Big East,7.95,W,85,72,18,9,W 1,Carnesecca Arena,/cbb/schools/st-johns-ny/men/2015.html,,
